ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
au81,.,5562.8017,.,.,.,.,.,4276.201,.31211276,.,.,.,.,.,.,.18647829,.,.18647829,.,.32688081,.,.,.,.40440541,.35367443,.32757131,.2822265,.32688081,.,.
au85,.,7817.8192,.,.,.,.,.,6213.8989,.32362822,.,.,.,.,.,.,.19233419,.,.19233419,.,.3422255,.,.,.,.43905703,.37891359,.34918647,.29531632,.3422255,.,.
au89,.,10964.158,2363.8144,6057.0383,.,.,8425.194,8909.307,.33016825,.,.,.,.,.,.,.19587076,.1994134,.19587076,.1994134,.34785024,.34708333,.,.,.43853642,.38740007,.35523459,.30474321,.34785024,.34713955,.
au95,.,12281.119,1416.4067,1416.4345,.,.,10010.159,10556.14,.32329047,.,.,.,.,.,.,.19037309,.19678609,.19037309,.19678609,.34143825,.34026726,.,.,.47788987,.4114231,.35719355,.30837649,.34143825,.34030923,.
au01,.,16246.105,1820.4336,1820.4526,.,.,13407.794,14127.49,.33209047,.,.,.,.,.,.,.19570002,.20230336,.19570002,.20230336,.3523882,.35124288,.,.,.49405331,.42413769,.36786775,.31920675,.3523882,.35129131,.
au03,.,17742.085,2059.2933,2059.3111,.,.,15108.486,15871.467,.33181305,.,.,.,.,.,.,.19544252,.20052857,.19544252,.20052857,.35341162,.35244621,.,.,.48335107,.41577337,.36386371,.31522866,.35341162,.35249559,.
au08,.,28295.514,2975.5382,10360.246,.,.,21604.474,22747.964,.3529966,.,.,.,.,.,.,.20400333,.21100011,.20400333,.21100011,.37132024,.37029857,.,.,.48920845,.43056981,.3862311,.34081043,.37132024,.37033523,.
au10,36222.306,29520.786,4000.7195,13018.701,22420.935,23653.804,22420.935,23653.802,.34547054,.18155532,.19575826,.18155532,.19575826,.36650781,.3646047,.20174728,.21054248,.20174728,.21054248,.36277253,.36283597,.3682847,.36668748,.49023243,.42301779,.37330358,.3343382,.36277253,.36287048,.34656291
at87,.,107967.34,.,.,.,.,.,.,.23045189,.,.,.,.,.,.,.13429431,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at97,.,147776.26,18566.976,18567.22,.,.,119449.31,123482.58,.30129001,.,.,.,.,.,.,.17694356,.17832714,.17694356,.17832714,.32896839,.32849353,.,.,.43592801,.31178453,.27219441,.,.32896839,.32854166,.
at00,.,162709.3,12453.428,12453.815,.,.,131864.55,136065,.28770056,.,.,.,.,.,.,.16836273,.16951893,.16836273,.16951893,.31372918,.31333672,.,.,.43202696,.29917989,.25964395,.,.31372918,.31339811,.
at04,.,14003.849,2787.7953,5805.1767,.,.,11551.874,11925.098,.29958391,.,.,.,.,.,.,.17356883,.17683468,.17356883,.17683469,.32753809,.32666322,.,.,.45781435,.34034245,.31310143,.2724487,.32753809,.32666976,.
at07,.,15222.927,3030.6052,4894.9447,.,.,12103.844,12519.39,.30591491,.,.,.,.,.,.,.17967176,.18381155,.17967176,.18381155,.33163603,.3306541,.,.,.49269088,.36963341,.33291278,.28880083,.33163603,.33066053,.
