ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
au81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au89,.,18845.353,2387.4991,6117.4779,.,.,14481.347,15313.447,.30178171,.,.,.,.,.,.,.18408503,.18608659,.18408502,.18608658,.31727799,.3167486,.,.,.3179947,.31738908,.
au95,.,21207.107,1416.4067,1416.4345,.,.,17285.6,18228.404,.30430273,.,.,.,.,.,.,.14425066,.15125385,.14425066,.15125385,.32615533,.32484177,.,.,.3278051,.32614353,.
au01,.,27418.532,1820.4336,1820.4526,.,.,22628.316,23842.948,.31412391,.,.,.,.,.,.,.14789264,.15437736,.14789264,.15437736,.33886257,.33769737,.,.,.34071359,.33916115,.
au03,.,29554.82,2059.2933,2059.3111,.,.,25167.761,26438.738,.30989152,.,.,.,.,.,.,.14727277,.1527568,.14727277,.1527568,.33564732,.33458741,.,.,.33772745,.33626025,.
au08,.,47415.62,2975.5382,10360.246,.,.,36203.25,38119.429,.33322525,.,.,.,.,.,.,.18193134,.19007693,.18193134,.19007693,.35183183,.35066757,.,.,.3520075,.35086272,.
au10,36222.306,49668.353,4000.7195,13018.701,37722.943,39797.229,37722.94,39797.226,.3308726,.19683324,.21604863,.19683324,.21604863,.34700881,.34455432,.18308839,.19084243,.18308839,.19084243,.34866347,.34755774,.3485977,.34637353,.34881544,.34771949,.3308726
at87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
