quantile,ccyy,hmc,dhi,hmchous,dhi_percentile,itrc_ours,itrc_carey,itrc_euro,hmc_medianized_predict,hmc_wor_pred_scaled
1,fr10,11421.871,6374.7852,2159.9573,2.9983997,.16878769,.13645656,.20968141,.70041549,11733.603
2,fr10,11294.464,10383.413,2169.5273,8.0039759,.16978881,.13745768,.21068253,.70707011,11849.609
3,fr10,12275.843,12378.842,2372.9304,13.006957,.17078941,.13845828,.21168312,.70133716,11662.217
4,fr10,12874.781,13947.264,2427.5017,17.997236,.17178746,.13945633,.21268117,.8179754,13742.257
5,fr10,14091.591,15299.753,2567.2,22.99781,.17278758,.14045645,.2136813,.85562241,14363.181
6,fr10,14410.166,16621.352,2468.0393,28.001152,.17378823,.14145711,.21468195,.90257353,15250.523
7,fr10,14820.668,17798.939,2364.2209,32.996239,.17478725,.14245613,.21568097,.94621921,16080.203
8,fr10,15778.51,18907.443,2537.5999,37.996964,.1757874,.14345628,.21668112,.98404461,16690.426
9,fr10,16764.57,19999.729,2490.012,42.999802,.17678797,.14445685,.21768169,1.0160046,17286.217
10,fr10,17124.42,21168.213,2416.9348,47.991257,.17778626,.14545514,.21867998,1.0615617,18137.652
11,fr10,17188.482,22389.479,2397.9417,53.000427,.1787881,.14645697,.21968181,1.0878437,18619.275
12,fr10,18292.303,23708.346,2388.3921,58.002308,.17978847,.14745735,.22068219,1.1469742,19689.145
13,fr10,19070.496,25072.105,2297.3665,62.988708,.18078576,.14845464,.22167948,1.1872816,20453.361
14,fr10,19868.816,26601.496,2353.8779,67.995499,.1817871,.14945598,.22268082,1.2181983,20987.332
15,fr10,20298.916,28292.234,2552.8291,72.996979,.1827874,.15045628,.22368112,1.2752682,21933.902
16,fr10,21397.555,30332.523,2584.3779,77.998283,.18378767,.15145655,.22468139,1.3325824,22954.045
17,fr10,22832.43,33036.086,2372.6128,83.000435,.18478809,.15245697,.22568181,1.4097173,24432.025
18,fr10,24598.381,37048.246,2669.3022,87.998772,.18578777,.15345664,.22668149,1.4954267,25854.48
19,fr10,27581.893,43456.254,2655.115,93.000587,.18678813,.154457,.22768185,1.6692132,28993.119
20,fr10,33761.465,72383.531,3653.7424,97.99575,.18778716,.15545604,.22868088,2.1775277,37743.66

