ccyy,scope,error0_mean,error1_mean,error2_mean,corr0_mean,corr1_mean,corr2_mean,R2_0_mean,R2_1_mean,R2_2_mean,non_missing_hmc_mean,non_missing_hmc_pred0_mean,non_missing_hmc_pred1_mean,non_missing_hmc_pred2_mean,gini_dhi_scope_hmc
au81,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au85,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au89,.9880087,.,.,.,.,.,.,.,.,.,0,1,1,1,.
au95,.99049611,.,.,.,.,.,.,.,.,.,0,1,1,1,.
au01,.99147268,.,.,.,.,.,.,.,.,.,0,1,1,1,.
au03,.99126352,.,.,.,.,.,.,.,.,.,0,1,1,1,.
au08,.99646838,.,.,.,.,.,.,.,.,.,0,1,1,1,.
au10,.54339115,.35100337,.33500635,.32746563,.59352338,.60259378,.62361389,.35227001,.36311927,.38889429,1,1,1,1,.3308726
at87,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at97,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at00,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at04,.99954769,.,.,.,.,.,.,.,.,.,0,1,1,1,.
at07,.99847607,.,.,.,.,.,.,.,.,.,0,1,1,1,.
at10,.99916975,.,.,.,.,.,.,.,.,.,0,1,1,1,.
at13,.9996824,.,.,.,.,.,.,.,.,.,0,1,1,1,.
be85,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
be88,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
be92,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
be97,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
br06,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
br09,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
br11,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
br13,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca71,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca75,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca81,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca87,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca91,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca94,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca97,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca98,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca00,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca04,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca07,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca10,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ca13,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
cn02,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
co07,.88296978,.,.,.,.,.,.,.,.,.,0,1,1,1,.
cz92,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
cz96,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
cz02,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
cz04,.23507863,.,.,.,.,.,.,.,.,.,0,1,1,1,.
cz07,.99971646,.,.,.,.,.,.,.,.,.,0,1,1,1,.
cz10,.99985384,.,.,.,.,.,.,.,.,.,0,1,1,1,.
cz13,.99926921,.,.,.,.,.,.,.,.,.,0,1,1,1,.
dk87,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
dk92,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
dk95,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
dk00,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
dk04,.99691994,.,.,.,.,.,.,.,.,.,0,1,1,1,.
dk07,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
dk10,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
