    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    de00               1          .   5819.085    6598.319                   .5529269                13226.21  
    de00               2          .   9751.734    5924.907                   .6501103                16162.62  
    de00               3          .   11812.89    6270.178                   .6887221                17177.43  
    de00               4          .   13150.72    6275.075                   .7055386                17592.35  
    de00               5          .   14292.55    6880.514                   .7323873                 18136.5  
    de00               6          .   15384.08      5935.5                   .7427658                18815.78  
    de00               7          .   16159.42    6411.877                   .7513037                18900.43  
    de00               8          .   16931.53    6454.818                   .7630285                19252.89  
    de00               9          .   17594.57    7054.576                     .76803                19061.85  
    de00              10          .   18350.29    6571.226                   .7770047                19547.74  
    de00              11          .   19111.05     6362.74                   .7866212                19901.86  
    de00              12          .   19783.45    6001.942                   .7990581                20396.78  
    de00              13          .   20282.69    6135.278                   .8018794                20431.89  
    de00              14          .   20748.06    6297.822                   .8130032                20694.71  
    de00              15          .   21173.55    6767.365                   .8227971                20763.96  
    de00              16          .   21622.09    6742.544                   .8323033                21084.87  
    de00              17          .   22095.37    6260.275                   .8471755                21667.43  
    de00              18          .   22529.97    5737.836                   .8571141                22153.74  
    de00              19          .   22990.87    5650.553                   .8663645                22446.18  
    de00              20          .   23422.27    5611.298                   .8700474                22575.08  
    de00              21          .   23775.36    6065.453                   .8828701                22759.28  
    de00              22          .   24119.92    5720.681                   .8873729                23032.19  
    de00              23          .   24500.96    6693.226                   .9022843                23053.35  
    de00              24          .   24892.76    7252.074                   .9063374                22923.51  
    de00              25          .   25290.98    5469.579                   .9171442                23968.87  
    de00              26          .   25652.76    5981.975                   .9198124                23848.13  
    de00              27          .   25964.65    6017.477                   .9334648                24207.64  
    de00              28          .   26296.36    6190.685                   .9390385                24315.21  
    de00              29          .   26674.44    6319.964                   .9482224                24550.86  
    de00              30          .   27065.71    5661.828                    .954765                24965.37  
    de00              31          .   27435.37    7169.416                   .9623767                24588.34  
    de00              32          .   27698.22    5299.298                   .9681616                25496.52  
    de00              33          .   27925.01    6077.567                   .9728727                25298.32  
    de00              34          .   28184.59    7498.589                    .979843                24927.82  
    de00              35          .   28560.58    6010.862                   .9836575                25645.07  
    de00              36          .    28909.7    6088.981                   .9962452                25961.57  
    de00              37          .   29198.04    6122.033                   .9973598                26021.79  
    de00              38          .   29481.84     5907.05                   1.007431                 26368.1  
    de00              39          .    29823.1     6313.78                   1.007751                26201.83  
    de00              40          .   30133.74    6404.105                   1.013478                26330.97  
    de00              41          .   30462.59    5847.505                   1.024661                 26922.6  
    de00              42          .   30839.72    5348.704                    1.02893                27189.84  
    de00              43          .   31191.94    7069.125                    1.03879                26778.34  
    de00              44          .   31542.08    5912.942                   1.045791                27452.56  
    de00              45          .   31908.15    5618.625                   1.050182                27722.63  
    de00              46          .   32241.79    14435.11                    1.05939                24488.71  
    de00              47          .   32544.22    5395.299                   1.065402                28219.63  
    de00              48          .   32870.45    6466.841                   1.067515                27912.95  
    de00              49          .   33232.23    10430.23                   1.071478                26465.67  
    de00              50          .    33571.3    5824.194                   1.085308                28598.26  
    de00              51          .   33891.74    7159.185                   1.089759                28214.94  
    de00              52          .   34294.32    7258.268                   1.098116                28414.65  
    de00              53          .   34638.41    5873.285                   1.104001                 29159.3  
    de00              54          .   35031.91    7164.368                   1.109516                28795.64  
    de00              55          .   35424.31    6234.399                   1.118937                29448.47  
    de00              56          .   35776.21    6161.965                   1.120013                29489.71  
    de00              57          .   36160.32    6203.943                   1.131634                29818.16  
    de00              58          .   36578.02    6559.975                   1.135672                29777.03  
    de00              59          .   36988.07    5827.471                   1.146689                30344.86  
    de00              60          .   37422.11    6853.683                   1.153503                 30175.7  
    de00              61          .   37800.76    5742.277                   1.163935                30880.72  
    de00              62          .   38225.64    7053.222                   1.169348                30530.97  
    de00              63          .    38694.6    7375.801                   1.170736                30466.01  
    de00              64          .   39119.65    6638.808                   1.187097                31207.16  
    de00              65          .   39595.22    6504.191                   1.191235                31349.91  
    de00              66          .   40071.15    6769.988                   1.202175                31560.34  
    de00              67          .   40514.81    6366.925                   1.200558                31649.28  
    de00              68          .   40955.99    6079.886                   1.215342                32220.56  
    de00              69          .   41490.63    7602.933                   1.226116                31934.31  
    de00              70          .   42018.45    5920.121                   1.236316                32901.24  
    de00              71          .   42507.09    6221.735                   1.249127                33137.23  
    de00              72          .   43027.43    6311.565                   1.246193                33013.92  
    de00              73          .   43639.35    7289.056                   1.260173                33033.94  
    de00              74          .   44213.68    6815.835                    1.27477                33643.73  
    de00              75          .    44869.1    6267.877                   1.281274                34012.27  
    de00              76          .   45495.16    7275.784                   1.290772                33949.27  
    de00              77          .    46133.3    7523.143                    1.29885                34108.56  
    de00              78          .   46726.09    6249.715                   1.309432                34976.99  
    de00              79          .   47390.91    5436.142                   1.326982                35617.54  
    de00              80          .   48075.36    6615.758                   1.334164                35423.13  
    de00              81          .   48757.28    6986.437                   1.347889                35666.95  
    de00              82          .   49430.85    12399.92                    1.35568                33728.09  
    de00              83          .   50210.55        6605                   1.365169                36284.61  
    de00              84          .   51149.82    7639.925                   1.384157                36421.98  
    de00              85          .   52065.29    6643.159                   1.399776                37311.78  
    de00              86          .   53141.67    7951.224                   1.413366                37136.21  
    de00              87          .   54234.59    7112.247                   1.431203                37920.27  
    de00              88          .   55629.82    7619.119                   1.451318                38343.95  
    de00              89          .   57065.34    8592.277                   1.470266                38522.29  
    de00              90          .   58492.64    6294.733                   1.491823                40047.05  
    de00              91          .    59997.8    7433.365                   1.514744                 40208.8  
    de00              92          .   61865.82    6733.781                   1.543397                41273.29  
    de00              93          .   63980.32    7419.051                   1.572712                41877.31  
    de00              94          .   66346.01    7351.942                    1.60408                 42780.3  
    de00              95          .   69064.36    10374.86                    1.64294                42707.67  
    de00              96          .   72735.38    7771.161                    1.69287                45131.68  
    de00              97          .    77750.3    8007.369                   1.755705                46865.41  
    de00              98          .   84984.85    7067.305                   1.854581                50067.64  
    de00              99          .   97078.52    9635.423                   2.001253                53217.66  
    de00             100          .   144098.4    9085.676                   2.474427                67348.72  
    de04               1          .   3015.107     3397.34                    .551256                7069.971  
    de04               2          .   5361.605    3345.726                   .6536838                8754.134  
    de04               3          .   6491.798     3315.24                   .6921009                9313.753  
    de04               4          .   7185.201    3090.118                   .7087694                9648.216  
    de04               5          .     7649.2    3511.996                   .7193711                9677.415  
    de04               6          .   8065.953    3389.156                   .7348665                9942.316  
    de04               7          .   8467.885    3797.732                   .7451675                9942.658  
    de04               8          .   8866.847    3495.835                   .7557443                10213.91  
    de04               9          .   9209.533    3455.395                   .7593689                10297.72  
    de04              10          .   9596.264    3280.326                   .7658107                10454.52  
    de04              11          .   9923.617    3417.745                    .781825                10668.99  
    de04              12          .   10176.72    3774.151                   .7811584                10493.63  
    de04              13          .   10428.93    3470.203                   .7868354                10702.12  
    de04              14          .   10740.35     4104.01                   .8011661                10689.49  
    de04              15          .   10997.81    3847.745                   .8024179                10805.95  
    de04              16          .   11292.63    3368.865                   .8147749                11177.36  
    de04              17          .   11535.43    3580.884                   .8216362                 11231.1  
    de04              18          .   11755.56    3542.066                   .8376027                11459.58  
    de04              19          .   12017.38    3489.281                   .8507671                11675.93  
    de04              20          .   12277.13    3503.648                   .8556472                 11750.6  
    de04              21          .   12536.72    3286.456                   .8709925                12067.14  
    de04              22          .   12751.23    3000.093                   .8798172                12302.89  
    de04              23          .   12954.58    3203.249                   .8820202                12252.38  
    de04              24          .   13179.21    3278.565                   .8958668                12447.84  
    de04              25          .   13377.28    3226.241                   .8998512                12524.51  
    de04              26          .    13569.2    3464.919                   .9154481                12699.15  
    de04              27          .   13746.88    3836.307                   .9168356                12570.18  
    de04              28          .   13935.75    3545.272                   .9229761                12749.71  
    de04              29          .   14130.99    3686.817                    .926432                12763.39  
    de04              30          .   14349.13    3261.781                   .9452257                13215.35  
    de04              31          .   14542.34    3514.537                   .9504768                13197.88  
    de04              32          .    14751.1     3315.99                   .9580691                13339.99  
    de04              33          .   14940.59    3702.721                   .9658048                13363.76  
    de04              34          .   15151.79    3415.059                   .9748211                13589.63  
    de04              35          .   15359.35    3051.599                   .9794314                13802.23  
    de04              36          .    15556.2    3664.812                   .9901842                13747.75  
    de04              37          .   15783.52    3460.573                   .9984809                13954.35  
    de04              38          .   15966.17    3287.744                   1.000981                14052.62  
    de04              39          .    16185.7    2976.664                   1.016793                 14380.8  
    de04              40          .   16387.43    3438.482                   1.020003                14289.81  
    de04              41          .   16560.12    2927.318                   1.023837                14529.63  
    de04              42          .   16763.94    4041.433                   1.030683                14223.45  
    de04              43          .   16977.58    3892.992                   1.042876                14463.62  
    de04              44          .   17134.52    3128.406                   1.045658                14795.57  
    de04              45          .   17277.71    3481.516                   1.052879                 14773.9  
    de04              46          .   17474.77    3313.826                   1.059826                 14941.4  
    de04              47          .   17661.02    4273.164                   1.068823                14707.53  
    de04              48          .      17841    3373.391                   1.068919                15074.85  
    de04              49          .   18022.32     3324.24                   1.073601                15150.05  
    de04              50          .    18177.9    4054.956                   1.083677                15074.95  
    de04              51          .   18382.71    3808.558                   1.092891                15256.79  
    de04              52          .   18598.35    4355.699                   1.099501                15177.27  
    de04              53          .   18772.83    3744.013                    1.10752                15493.07  
    de04              54          .   18937.59    3164.551                   1.108694                15748.23  
    de04              55          .   19154.83    3568.816                   1.112172                15643.19  
    de04              56          .   19343.27    3547.729                   1.125301                15844.33  
    de04              57          .   19570.57    3387.902                   1.128846                15979.52  
    de04              58          .   19785.53    3085.461                   1.139594                   16240  
    de04              59          .   19941.88    3278.678                   1.138871                16153.46  
    de04              60          .   20190.17    3588.975                   1.153275                16250.25  
    de04              61          .   20422.22    3740.649                   1.158278                16276.19  
    de04              62          .   20625.86    4183.405                    1.16763                16264.43  
    de04              63          .   20820.09    3238.442                   1.174096                16739.84  
    de04              64          .   21046.56    3103.324                   1.179446                16839.51  
    de04              65          .    21301.7    4601.801                   1.191212                16455.01  
    de04              66          .   21584.03    3841.076                   1.195411                16815.49  
    de04              67          .   21838.57      3475.5                   1.206068                17103.35  
    de04              68          .   22132.59    3669.946                   1.209081                17088.65  
    de04              69          .   22445.99    4268.807                   1.220689                17051.32  
    de04              70          .   22770.42    4357.231                   1.236095                17233.43  
    de04              71          .   23066.39    3437.412                   1.243655                17686.61  
    de04              72          .   23318.62    3064.796                   1.255271                18018.88  
    de04              73          .   23549.11    3520.056                   1.255124                17872.39  
    de04              74          .   23881.74    3831.024                   1.268726                17926.77  
    de04              75          .   24243.17    3115.863                   1.276244                18364.03  
    de04              76          .   24612.18    3723.868                   1.288903                18279.03  
    de04              77          .   24985.28    3093.064                   1.304672                18758.62  
    de04              78          .   25406.38    4117.835                   1.315017                18529.85  
    de04              79          .   25854.22    3169.889                   1.320684                18980.37  
    de04              80          .   26203.21    4025.737                   1.341598                18988.44  
    de04              81          .   26608.09    3715.696                   1.354082                19278.87  
    de04              82          .   27021.96    3818.431                   1.361428                19357.54  
    de04              83          .   27491.17    4166.816                   1.375649                19440.32  
    de04              84          .   28106.65    4384.341                   1.396415                19677.22  
    de04              85          .   28710.81    4024.211                   1.414294                20086.03  
    de04              86          .   29269.61     4418.46                   1.423981                20117.86  
    de04              87          .    29921.2    6598.471                   1.444473                19574.89  
    de04              88          .   30639.07    4316.878                   1.463358                20713.46  
    de04              89          .   31440.15    3804.314                   1.488165                   21297  
    de04              90          .   32333.24    4014.015                   1.510062                21566.05  
    de04              91          .   33304.33    6910.232                   1.535769                20847.81  
    de04              92          .   34469.76    4530.842                   1.567093                22234.03  
    de04              93          .   35719.25    3898.763                    1.59898                22973.87  
    de04              94          .   37265.89     5833.66                   1.640436                 22860.3  
    de04              95          .   38955.39    4586.867                   1.676862                 23956.8  
    de04              96          .   40865.68    4394.088                    1.73315                24824.41  
    de04              97          .   44181.07    5377.746                   1.808875                25580.84  
    de04              98          .   48365.55    5464.344                   1.904194                27036.22  
    de04              99          .   55917.75    4965.109                   2.070194                29811.52  
    de04             100          .   96818.84    6640.929                   2.698888                37484.36  
    de07               1          .   3490.846    3532.269                   .5715427                7912.667  
    de07               2          .   5690.554    3798.074                   .6600022                 9350.31  
    de07               3          .   6801.607    3661.861                   .6888385                9882.076  
    de07               4          .   7492.391    3623.948                   .7096071                10243.32  
    de07               5          .   7959.934    3496.028                   .7198424                10452.36  
    de07               6          .   8368.063    3869.217                   .7267411                10430.19  
    de07               7          .   8796.729    3854.266                   .7423811                10705.66  
    de07               8          .   9224.253    4291.683                   .7550377                 10736.5  
    de07               9          .   9641.589    4023.226                   .7574128                10893.88  
    de07              10          .   9963.774    3770.561                   .7664027                11120.41  
    de07              11          .   10301.26    3470.653                   .7753503                11374.82  
    de07              12          .   10659.09    3773.085                   .7832757                11404.38  
    de07              13          .   10959.03    3603.236                   .7852538                11495.44  
    de07              14          .   11229.35    3398.449                   .7965199                11743.75  
    de07              15          .   11506.97    3884.701                   .7998661                11614.53  
    de07              16          .   11717.45    3743.132                   .8038059                11774.84  
    de07              17          .   11954.04    3588.604                   .8132674                11957.17  
    de07              18          .   12176.61    3912.403                   .8244685                12009.16  
    de07              19          .   12434.26    3486.609                   .8379758                12402.45  
    de07              20          .   12711.65    4027.466                   .8465027                12336.06  
    de07              21          .   12934.59    3433.656                   .8618389                12810.19  
    de07              22          .   13183.84    3651.317                   .8652808                12781.37  
    de07              23          .   13449.56    3685.404                   .8793532                13001.17  
    de07              24          .   13702.35    4162.011                   .8874137                12956.69  
    de07              25          .   13889.13    3488.879                   .8972546                13372.25  
    de07              26          .   14140.66    3730.603                   .9056304                13425.83  
    de07              27          .   14337.73    3853.957                   .9124585                13473.16  
    de07              28          .   14516.34    3565.982                   .9229644                13761.44  
    de07              29          .    14720.4    4226.777                    .924048                13543.62  
    de07              30          .   14927.24    3803.013                   .9335381                13835.14  
    de07              31          .   15122.16    3668.578                   .9451198                14081.97  
    de07              32          .   15317.29    3607.341                   .9466561                14139.36  
    de07              33          .   15522.69    3062.905                   .9535509                14459.34  
    de07              34          .   15739.96    3187.694                   .9632196                14582.72  
    de07              35          .   15964.66    4108.721                   .9704134                14336.93  
    de07              36          .    16170.5    3529.564                   .9796348                14740.86  
    de07              37          .   16377.06    3813.133                   .9890648                14779.08  
    de07              38          .    16576.3    3611.752                   .9932053                 14897.1  
    de07              39          .   16797.94    3336.282                   1.003801                15188.61  
    de07              40          .   16987.71    3770.744                   1.010391                15126.88  
    de07              41          .   17236.61    3913.084                   1.018281                15169.22  
    de07              42          .   17474.72    3628.915                   1.026567                15445.94  
    de07              43          .   17660.57    3323.396                   1.027807                 15544.9  
    de07              44          .   17820.84    3831.094                   1.041175                15602.03  
