    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    au81       .2806993              .                          .1578798                  .                       .                     .                   .2951364                         .                              .                       .                     .1578798                           .                                .                    .    .4044054    .3528119    .3267872    .2812441                 .               .2951414                     .                          .   9810.939             .     13.3462          .               7541.802                 .                          .                     .              .    11235.84    11973.98    12450.89    9756.727     .9983251  
    au85       .2915426              .                          .1630591                  .                       .                     .                   .3097418                         .                              .                       .                     .1630591                           .                                .                    .     .439057    .3773652    .3478074    .2936599                 .                .309748                     .                          .    13353.7             .     34.9305          .               10614.03                 .                          .                     .              .    15239.66    16395.41    17109.43    13281.35     .9979807  
    au89       .3024854              .                          .1694866                  .                .1704835                     .                   .3199964                         .                       .3195618                       .                     .1694866                           .                         .1704835                    .    .4385364     .385588    .3536201    .3028252                 .               .3200018                     .                   .3196245   18798.42      6057.038    52.16582          .               15275.31                 .                   14445.29                     .       2363.814    21557.79    22964.07    23925.38    18764.26     .9979368  
    au95       .3043027              .                          .1702539                  .                .1786753                     .                    .322605                         .                       .3211618                       .                     .1702539                           .                         .1786753                    .    .4778899    .4079871    .3542808    .3049238                 .               .3226115                     .                   .3212234   21207.11      1416.435    119.8809          .                18228.4                 .                    17285.6                     .       1416.407    22671.29     24692.8    26387.46    21097.89     .9904961  
    au01       .3141239              .                           .175336                  .                .1832938                     .                   .3347784                         .                       .3334302                       .                      .175336                           .                         .1832938                    .    .4940533    .4194648    .3639747    .3146903                 .               .3347865                     .                   .3335036   27418.53      1820.453    188.1917          .               23842.95                 .                   22628.32                     .       1820.434    28873.69    31617.87    33765.96       27386     .9914727  
    au03       .3098915              .                          .1738335                  .                .1806588                     .                   .3314406                         .                       .3302022                       .                     .1738335                           .                         .1806588                    .    .4835178    .4137664    .3647899    .3105161                 .                .331449                     .                    .330273   29554.82      2059.311    219.0015          .               26438.74                 .                   25167.76                     .       2059.293    33524.25    36530.58    38699.15    29495.79     .9912635  
    au08       .3332253              .                          .1828024                  .                .1909941                     .                   .3517247                         .                       .3505558                       .                     .1828024                           .                         .1909941                    .    .4886345    .4241046    .3827727    .3332824                 .               .3517299                     .                   .3506053   47415.62      10360.25    761.3362          .               38119.43                 .                   36203.25                     .       2975.538    52442.39    57042.71     59977.3    47412.06     .9964684  
    au10       .3308726       .1968332                          .1836101           .2160486                .1913989              .3470451                   .3486257                   .344585                       .3475287                .1968332                     .1836101                    .2160486                         .1913989             .3308726    .4927183    .4193896    .3720584    .3273597          .3486408                .348631              .3464121                   .3475764   49767.94       13018.7    738.6381    36222.3               39877.02          39877.02                   37798.58              37798.58       4000.719    53172.87    58361.59    61747.46    49982.56     .9894075  
    at87       .2272546              .                          .1286049                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   172301.5             .           .          .                      .                 .                          .                     .              .           .           .           .           .            1  
    at97       .2647885              .                          .1472943                  .                .1489357                     .                    .290981                         .                       .2905157                       .                     .1472943                           .                         .1489357                    .    .4361154    .3029981    .2645138           .                 .               .2910018                     .                   .2905844   241983.7      18567.22    3184.322          .               202202.7                 .                   195598.3                     .       18566.98    172535.7    222843.3    240753.1           .     .9010766  
    at00       .2562159              .                          .1428444                  .                 .147556                     .                   .2809432                         .                       .2797866                       .                     .1428444                           .                          .147556                    .     .432027    .2954562    .2569213           .                 .               .2809628                     .                   .2798896   263713.9      12453.82    3418.961          .               220529.7                 .                   213721.8                     .       12453.43    187664.7    241960.6    263347.4           .     .9076501  
    at04       .2684039              .                          .1481237                  .                .1522237                     .                   .2950859                         .                       .2940341                       .                     .1481237                           .                         .1522237                    .    .4578143    .3368939    .3101777    .2686187                 .               .2951041                     .                   .2940629   22561.14      5805.177    181.0898          .               19212.13                 .                   18610.85                     .       2787.795    27525.01    33867.86    35750.75    22549.44     .9995477  
    at07       .2842839              .                          .1581706                  .                .1633872                     .                    .309974                         .                       .3087558                       .                     .1581706                           .                         .1633872                    .     .483903    .3678367    .3380716    .2844822                 .               .3099873                     .                   .3087787   24575.44      4894.945    238.8732          .               20210.93                 .                   19540.08                     .       3030.605    31037.16    36969.54    39148.21    24506.15     .9996731  
    at10       .2792102              .                          .1565186                  .                .1618679                     .                   .3046087                         .                       .3033174                       .                     .1565186                           .                         .1618679                    .    .4998029    .3686503    .3250631    .2792113                 .               .3046232                     .                    .303343   27366.04      5921.444    263.4007          .               23179.08                 .                   22318.97                     .       3491.274    26600.67    33470.27    36220.35    27313.22     .9991698  
    at13       .2804496              .                           .155979                  .                .1620129                     .                   .3077205                         .                       .3061904                       .                      .155979                           .                         .1620129                    .     .498194    .3676159    .3341645    .2810524                 .                .307736                     .                    .306221   29111.97      5923.832    272.5468          .               25290.42                 .                      24301                     .       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824  
    be85       .2264945              .                          .1283424                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4191912    .2979523    .2264945           .                 .                      .                     .                          .     395384             .    1300.301          .                      .                 .                          .                     .              .    288365.9    344046.4      395384           .     .9981444  
    be88        .232142              .                          .1306796                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .     .426566    .3033635    .2311825           .                 .                      .                     .                          .   432344.6             .    1369.518          .                      .                 .                          .                     .              .    308435.4    373108.8    429908.2           .     .9960505  
