    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    at10       .2792102              .                          .1441886                  .                .1490627                     .                   .3071612                         .                       .3059482                       .                     .1441886                           .                         .1490627                    .    .4998029    .3686503    .3250631    .2792113                 .               .3074827                     .                   .3062621   27366.04      5921.444    263.4007          .               23179.08                 .                   22318.97                     .       3491.274    26600.67    33470.27    36220.35    27313.22     .9991698  
    au10       .3308726       .1968332                          .1762944           .2160486                .1836597              .3470451                   .3495639                   .344585                        .348453                .1968332                     .1762944                    .2160486                         .1836597             .3308726    .4927183    .4193896    .3720584    .3273597          .3486408               .3497121              .3464121                   .3486303   49767.94       13018.7    738.6381    36222.3               39877.02          39877.02                   37798.58              37798.58       4000.719    53172.87    58361.59    61747.46    49982.56     .9894075  
    ch04       .2628068       .1382533                          .1229188           .1591944                       .               .276332                   .2779971                         .                              .                .1382533                     .1229188                           .                                .             .2628068    .4064886    .2900663     .263052    .2629113          .2785806               .2787134                     .                          .   50353.64      7805.196    1155.609   36143.63               44725.27          44725.27                          .                     .       7805.195    54521.11    64842.65    67803.91    50362.24     .9933079  
    ch10       .2978778              .                          .1362804                  .                       .                     .                   .3158732                         .                              .                       .                     .1362804                           .                                .                    .    .4256004    .3189882    .3011309    .2983504                 .                .316046                     .                          .   60222.53      11611.36    908.0199          .               51770.68                 .                          .                     .       9578.575    72226.74    83639.69    86728.63    60175.82     .9988927  
    cz10         .25633              .                          .1273366                  .                .1309273                     .                   .2848924                         .                        .283841                       .                     .1273366                           .                         .1309273                    .     .459274    .3384139    .3196689      .25633                 .               .2854348                     .                   .2842729   245798.6       45813.7    5701.814          .               223130.8                 .                   214490.4                     .       44104.71    293532.4    345329.9    358760.3    245798.6     .9998538  
    de10       .2839654              .                          .1431111                  .                .1525961                     .                   .3067286                         .                       .3049873                       .                     .1431111                           .                         .1525961                    .    .5127597    .3851044    .3476541    .2839654                 .               .3071046                     .                   .3052504   23071.25      5525.064    179.3888          .               19417.34                 .                   17862.36                     .       4499.337    28009.28    33268.17    35264.07    23071.25     .9979269  
    dk04       .2284362              .                          .1378535                  .                .1562774                     .                    .267405                         .                        .258763                       .                     .1378535                           .                         .1562774                    .    .4522499    .3313069    .2708351    .2291761                 .               .2703795                     .                   .2612015   203321.5      37729.47    1273.913          .               204477.6                 .                   188540.7                     .       19095.57    231115.5    271803.2    299698.8      201215     .9969199  
    ee00       .3602241       .2731975                          .2202688           .2877059                .2209661               .386244                    .402069                  .3818734                       .4017976                .2731975                     .2202688                    .2877059                         .2209661             .3602241    .5058233    .3861964    .3606686    .3415066          .3943915                .406853              .3904748                   .4062544    46053.3      6640.982    255.5905   45220.17               47637.77          47637.77                   46861.22              46861.22       5990.598    34491.13    41240.32     44665.8    39275.21     .9940083  
    ee10       .3189225              .                           .168793                  .                .1708806                     .                   .3647917                         .                       .3640194                       .                      .168793                           .                         .1708806                    .    .4829049    .3830864    .3655624    .3181769                 .               .3648145                     .                   .3640018   115392.6      25626.52    1215.119          .                 109822                 .                     107982                     .       13964.72    144472.5      164599    174364.3    115155.4     .9984698  
    es10        .327381              .                          .1528357                  .                .1563233                     .                   .3544813                         .                        .353824                       .                     .1528357                           .                         .1563233                    .     .502379    .3942112    .3659477    .3329431                 .               .3563539                     .                   .3556883   16399.19      4895.533    53.94839          .               15130.02                 .                   14724.28                     .       1803.497    18207.14    21570.75    22686.94    16255.99     .9854361  
    fr10       .2868017       .1676935                          .1657707           .1900377                .1727155              .3073621                    .307694                  .3032973                       .3062502                .1676935                     .1657707                    .1900377                         .1727155             .2868017    .5036921    .3882028    .3519119    .2868017          .3109408               .3079827              .3076713                   .3065485   24254.89      7114.379    904.6234   18013.19               20037.99          20037.99                   19027.97              19027.97       2594.991    30223.21    36300.56    38454.18    24254.89     .9768795  
    gr10       .3218823              .                           .166438                  .                .1697107                     .                   .3533736                         .                       .3525397                       .                      .166438                           .                         .1697107                    .    .5208095    .3725926    .3611271     .315405                 .               .3466561                     .                   .3458221   14764.76      5728.047    213.4243          .                14771.1                 .                   14230.57                     .       3280.079    17029.35    21627.64    22129.56    14507.23     .9907124  
    gr95       .3479954              .                          .1913774                  .                       .                     .                   .3741815                         .                              .                       .                     .1913774                           .                                .                    .     .471191     .353173    .3478386           .                 .               .3741894                     .                          .    2244726             .    23792.57          .                1905280                 .                          .                     .              .     1746116     2211549     2238109           .     .9771756  
    is10       .2438957              .                           .138637                  .                .1452206                     .                   .2787952                         .                       .2757187                       .                      .138637                           .                         .1452206                    .    .4017136    .3222908    .2906106    .2444215                 .               .2802411                     .                   .2767295    3888528       1056373    60623.36          .                4756998                 .                    4494604                     .       486422.1     4708085     5328620     5634431     3876983     .9988746  
