    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    at13       .2804496              .                          .1396204                  .                .1449883                     .                   .3080508                         .                       .3067828                       .                     .1555713                           .                         .1603455                    .     .498194    .3676159    .3341645    .2810524                 .               .3083548                     .                   .3070647   29111.97      5923.832    272.5468          0               25290.42                 0                      24301                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824  
    cz13       .2587313              .                          .1261107                  .                .1297486                     .                   .2887302                         .                        .287678                       .                     .1415393                           .                         .1447171                    .    .4701174    .3436319    .3234977    .2587313                 .               .2893743                     .                   .2882107   257867.2      49681.03    6428.209          0               241127.2                 0                   232838.3                     0       46675.68    307294.2      362929    375280.6    257867.2     .9992692  
    dk13       .2505052              .                          .1415016                  .                .1255184                     .                     .28795                         .                        .293133                       .                     .1530751                           .                          .136311                    .    .4847886    .3476737    .2904432    .2537107                 .               .2879964                     .                   .2938645   258096.8      26010.28    2591.489          0               253810.7                 0                     231661                     0        12903.6    287665.7    347787.9    378921.3    255966.8     .9985921  
    ee13       .3510275              .                          .1794353                  .                .1823574                     .                    .403102                         .                       .4020399                       .                     .1932593                           .                         .1959067                    .    .5271606    .4220746    .4101454    .3516743                 .               .4041938                     .                   .4030609   9752.055             0    78.11605          0               9959.335                 0                   9753.258                     0       1089.327    11339.16    13004.91    13619.66     9727.44      .954864  
    fi13        .260871              .                          .1460093                  .                .1435224                     .                    .291727                         .                        .291943                       .                     .1586513                           .                         .1554718                    .    .4978559     .370591    .3231433    .2608847                 .               .2917502                     .                    .292134   28632.07      3865.259    205.6196          0               25554.24                 0                   23716.18                     0       1963.433    33669.82    40506.61    43731.56    28638.03     .9997375  
    fr10       .2868017       .1676935                          .1657707           .1900377                .1727155              .3044104                   .3047114                  .3005267                       .3034303                .1859726                      .184236                    .2072936                         .1903689             .2868017    .5036922    .3882028    .3519119    .2868017          .3080755               .3050051              .3050111                   .3037335   24254.89             0    904.6234   18013.19               20037.99          20037.99                   19027.97              19027.97       2594.991    30223.21    36300.56    38454.18    24254.89     .9768795  
    de13       .2892449              .                           .151122                  .                 .159962                     .                   .3093497                         .                       .3079389                       .                     .1708172                           .                          .178338                    .    .5291283    .3949061    .3564766    .2892449                 .               .3097941                     .                   .3082507   23995.86      5584.093    168.8369          0               20410.68                 0                   19015.42                     0       4449.379    28957.62    34603.93    36669.17    23995.86     .9206033  
    gr13       .3335077              .                          .1681402                  .                .1721586                     .                   .3746597                         .                       .3735609                       .                     .1851486                           .                         .1884729                    .    .5658458    .3934283    .3809656    .3335074                 .               .3749868                     .                   .3738833   10580.17      5108.659    194.4134          0               11685.19                 0                   11199.85                     0       3059.824       11476    15275.68    15608.54    10579.86     .9829276  
    is10       .2438957              .                           .138637                  .                .1452206                     .                   .2737489                         .                       .2710218                       .                     .1547566                           .                         .1606222                    .    .4017136    .3222908    .2906106    .2444215                 .               .2752534                     .                   .2720677    3906905             0    61053.38          0                4769741                 0                    4494604                     0       486422.1     4737704     5359513     5665964     3895142     .9796832  
    ie10       .2933041              .                          .1668948                  .                 .176521                     .                   .3172982                         .                       .3151483                       .                     .1829614                           .                         .1918814                    .    .5781953    .4908323    .3650865    .3038145                 .               .3173168                     .                   .3152142   25430.46             0    227.2058          0                22567.5                 0                   21600.08                     0       2494.443    25096.88    29003.52     37415.3    29048.58     .9927444  
    nl13       .2613804              .                          .1169089                  .                .1320506                     .                   .2876569                         .                       .2840486                       .                      .134861                           .                         .1489944                    .    .4763199    .3561285    .3182774    .2614244                 .               .2882183                     .                   .2843947   25810.58      4514.255    302.3761          0               23430.29                 0                   21806.44                     0       3365.906    32639.73    39334.13    41499.23    25808.13     .9919506  
    no04       .2816497              .                          .1452287                  .                .1409271                     .                   .3200927                         .                       .3210556                       .                     .1576829                           .                         .1530521                    .    .4782079    .3737814    .3190058    .2814992                 .               .3201235                     .                   .3211999   264268.3      2121.474    175.5889          0               235632.1                 0                   226826.1                     0       1052.456    300653.9      344967    380980.6    263970.8     .9981881  
    es13       .3405693              .                          .1630519                  .                .1669554                     .                    .369433                         .                       .3687041                       .                     .1830539                           .                           .18637                    .    .5250527    .4163377     .383748    .3409735                 .               .3695355                     .                   .3687979   17535.73             0    130.3172          0               16387.47                 0                   15900.04                     0       1881.303    18878.98    23134.76    24686.86    17524.87     .9921033  
    uk13       .3307284              .                          .1902461                  .                .2074595                     .                   .3537122                         .                       .3504192                       .                      .210294                           .                         .2260162                    .    .5602099    .4603913    .3804558    .3307283                 .               .3540452                     .                   .3510178   22344.03             0    224.9257          0               21821.87                 0                   20247.08                     0       1078.804    22430.99    26292.67    28722.86    22344.04     .9955069  
    au10       .3307087              .                          .1788103                  .                       .                     .                    .346292                         .                              .                       .                     .2032744                           .                                .             .3308726    .4897411    .4173017    .3706866    .3273645                 .                .346379                     .                          .   49767.94             0    738.6381          0               39877.02                 0                          0                     0              0    53172.87    58361.59    61747.46    49982.56     .9894075  
    se05       .2380164              .                          .1348836                  .                       .                     .                   .2647254                         .                              .                       .                     .1488782                           .                                .                    .    .4832166    .3584923    .3035725    .2387846                 .               .2647513                     .                          .   204117.6             0    1534.295          0               201328.1                 0                          0                     0              0    261871.5    312771.3    345273.1    203303.2     .9992529  
    us13       .3790969              .                          .1920329                  .                       .                     .                   .3885198                         .                              .                       .                     .2385336                           .                                .                    .    .5211166    .4495241    .4239166    .3803546                 .               .3888053                     .                          .   39464.83             0    501.4346          0               34914.77                 0                          0                     0              0     44831.1    50572.54    52218.54    39349.66     .9940466  
