    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    at00               1          .   36933.98    8846.937                   .5498293                103928.1  
    at00               2          .   57441.25    8671.264                   .6197502                117855.5  
    at00               3          .   83498.76    8972.951                   .6888981                131369.1  
    at00               4          .   95967.63    11372.34                   .7151976                135259.8  
    at00               5          .   105690.6    11631.47                   .7295786                  137963  
    at00               6          .     112124    16611.03                   .7456045                138410.9  
    at00               7          .   116645.4    7870.252                    .746118                143290.8  
    at00               8          .     120693    10739.14                   .7663525                145725.2  
    at00               9          .   126101.9     24446.6                   .7716996                139289.4  
    at00              10          .   130210.6    5756.506                   .7770462                150564.4  
    at00              11          .   134265.6    9815.459                   .7839007                149701.4  
    at00              12          .   136978.3    12401.43                   .7867718                148855.7  
    at00              13          .   141166.2    9366.692                   .7925639                151660.5  
    at00              14          .   145722.5    7129.543                   .8134596                  157017  
    at00              15          .   148093.1    13710.39                   .8218884                155086.7  
    at00              16          .   150890.5    16497.08                   .8174494                152685.2  
    at00              17          .   153527.2    8315.957                   .8314294                  159923  
    at00              18          .   157553.4    8543.722                   .8469146                162861.8  
    at00              19          .   160273.8    12403.22                   .8480032                160967.2  
    at00              20          .   162627.8    13196.95                   .8669275                164276.8  
    at00              21          .   165485.8    13371.42                   .8718377                165152.8  
    at00              22          .   168261.4    6190.769                   .8880591                  172287  
    at00              23          .   171286.4    16103.15                   .8765351                164588.6  
    at00              24          .     174812    17142.78                   .9066333                169974.1  
    at00              25          .   178633.7    17694.88                   .9030566                168964.8  
    at00              26          .   181204.9    9466.975                   .9207479                176962.4  
    at00              27          .   183294.1    11106.49                   .9272287                177348.1  
    at00              28          .     185562    19412.64                   .9152554                170438.8  
    at00              29          .     187229    10644.43                   .9391015                179949.3  
    at00              30          .   188903.9    23469.61                   .9460251                174307.7  
    at00              31          .   191598.5    14339.62                   .9541534                180906.7  
    at00              32          .   193543.5    27316.18                   .9502686                173044.3  
    at00              33          .     195490    10055.53                   .9486637                182162.8  
    at00              34          .   197422.2    15238.87                   .9610248                181774.4  
    at00              35          .   200091.2    12120.24                   .9757343                  186389  
    at00              36          .   202715.3    17502.87                   .9752725                183355.1  
    at00              37          .   204594.5    10999.29                   .9882999                189487.5  
    at00              38          .   207925.4    2721.976                   .9826854                192901.8  
    at00              39          .     211503    8444.919                   1.001306                193456.8  
    at00              40          .   215023.8    11980.21                    1.00657                192565.4  
    at00              41          .   218129.8    23251.47                   1.011759                  187430  
    at00              42          .   220861.5       12096                   1.031016                197337.8  
    at00              43          .   222752.3    7474.585                    1.03817                201279.4  
    at00              44          .   225077.5    12728.42                   1.038309                198434.8  
    at00              45          .   227977.9    23131.42                   1.039215                  192927  
    at00              46          .   230033.7    12094.87                   1.056247                202329.5  
    at00              47          .     233032    6645.135                   1.054978                205057.8  
    at00              48          .   235408.2    13183.98                   1.062791                203028.7  
    at00              49          .   238046.4    7710.447                   1.073109                  208062  
    at00              50          .   240297.1    12029.45                   1.061889                203481.4  
    at00              51          .   242712.2    8686.735                   1.086553                210187.6  
    at00              52          .     244677     16897.5                    1.10548                209443.1  
    at00              53          .     247593    11279.76                   1.098127                211059.5  
    at00              54          .   249601.7    7490.538                   1.099017                213307.1  
    at00              55          .   251710.1     15082.3                   1.108517                211036.2  
    at00              56          .   254492.9    11255.17                   1.118366                215076.7  
    at00              57          .   257174.9    12289.42                   1.130123                216836.9  
    at00              58          .     259989    10133.47                   1.117854                215588.6  
    at00              59          .   262116.1       10113                   1.134764                218944.7  
    at00              60          .   266134.6    11727.47                   1.140905                  219277  
    at00              61          .   270234.5    19627.56                   1.162612                219252.3  
    at00              62          .     273238    18928.07                   1.154663                218062.2  
    at00              63          .   276035.6    9354.361                   1.165243                225388.6  
    at00              64          .   279595.8    8219.523                   1.185076                229932.3  
    at00              65          .   281855.8    8896.582                   1.181044                228764.7  
    at00              66          .   284491.3    18084.55                   1.193622                  226230  
    at00              67          .   286798.8    19380.49                   1.194918                225777.8  
    at00              68          .   289856.5     4537.65                   1.193427                233597.1  
    at00              69          .   294509.8    4540.499                   1.203677                235623.2  
    at00              70          .   298726.4    17372.76                   1.232056                234221.9  
    at00              71          .   302239.4    19576.99                   1.240729                234732.6  
    at00              72          .   305331.7    12117.07                   1.245444                239743.4  
    at00              73          .   308348.2     11167.5                   1.216564                234549.7  
    at00              74          .   310852.5    15853.63                   1.264686                241507.2  
    at00              75          .   314301.5    16210.54                   1.238579                236147.6  
    at00              76          .   317623.5    9272.052                   1.270661                246286.9  
    at00              77          .   322384.4    11319.61                   1.277451                246510.8  
    at00              78          .   328442.3    9888.423                   1.280495                247895.4  
    at00              79          .   333928.8    18141.14                   1.318583                250918.1  
    at00              80          .   339899.5    21045.79                   1.321004                249809.3  
    at00              81          .     345857    7181.552                   1.332559                259674.1  
    at00              82          .   351742.7    9899.183                   1.341314                259920.3  
    at00              83          .   357968.5    12770.73                   1.349953                260059.5  
    at00              84          .   363803.3    2149.452                   1.372047                270236.3  
    at00              85          .   370024.1    12367.97                   1.381499                266519.9  
    at00              86          .   376876.4    10401.82                   1.396464                270555.2  
    at00              87          .   382776.5     18403.7                   1.416322                270108.8  
    at00              88          .   390411.1    5535.546                   1.430826                280012.7  
    at00              89          .   399805.5    6412.061                   1.454126                284142.6  
    at00              90          .   410397.1    14568.92                   1.473482                283512.3  
    at00              91          .   420533.7    15458.44                   1.496413                287562.1  
    at00              92          .   428547.5    9405.778                   1.513699                294290.4  
    at00              93          .     440078    11541.69                   1.529422                  296233  
    at00              94          .   459260.5    6090.597                   1.577255                  308675  
    at00              95          .   484068.7    9911.351                   1.617374                314522.5  
    at00              96          .   511612.8    12230.19                   1.664952                322666.5  
    at00              97          .   538426.6    9218.318                   1.700294                331304.2  
    at00              98          .   600623.9    12358.79                   1.835087                356251.5  
    at00              99          .   695183.4    22727.06                   1.997048                382621.7  
    at00             100          .   941059.9    10175.99                   2.346385                458587.1  
    at04               1          .    2701.08    3159.835                    .757926                 12330.7  
    at04               2          .    5560.05    2860.565                   .7499978                12259.13  
    at04               3          .   7117.359    2942.329                   .7655261                12508.09  
    at04               4          .    8103.91    2880.849                   .7728066                12646.34  
    at04               5          .   8969.109    2683.529                   .7359318                12055.83  
    at04               6          .   9497.584    3085.451                   .7660502                12486.22  
    at04               7          .   9956.538    2483.807                   .7417657                12199.06  
    at04               8          .   10245.01    2443.695                   .7430636                   12230  
    at04               9          .    10626.4    2953.908                   .8186113                13416.97  
    at04              10          .   10951.39    2769.046                   .7970643                13086.92  
    at04              11          .   11273.62    2592.858                   .7665873                12601.69  
    at04              12          .   11607.33    2627.549                   .8033226                13224.88  
    at04              13          .   11900.91      2417.4                   .8188876                13537.43  
    at04              14          .   12140.97    2612.471                   .7986104                13147.23  
    at04              15          .   12424.12    2640.049                   .8088142                13316.47  
    at04              16          .   12667.54     2757.51                   .8091918                13297.62  
    at04              17          .   12953.52     2566.84                   .8523294                14079.33  
    at04              18          .   13245.98    2591.186                   .8510457                14052.04  
    at04              19          .   13466.17    2612.254                   .8061256                 13276.3  
    at04              20          .   13712.75    2555.058                   .8892721                14716.12  
    at04              21          .   13932.88    2794.645                   .8782764                14475.66  
    at04              22          .   14129.01    2799.581                    .878703                14481.92  
    at04              23          .   14343.74    2788.105                   .9057575                14948.88  
    at04              24          .    14558.1    2669.027                   .9005906                14885.85  
    at04              25          .   14818.08     2151.24                    .880836                14658.38  
    at04              26          .   15050.64    2661.167                   .9008494                14891.99  
    at04              27          .   15283.17    2565.651                   .9656677                16025.41  
    at04              28          .   15498.77    2802.357                   .9404044                15540.63  
    at04              29          .   15731.49    2415.751                   .9083105                15073.02  
    at04              30          .   15948.84    2940.439                   .9184784                15134.41  
    at04              31          .   16169.85    2402.358                   .9784873                16280.72  
    at04              32          .   16394.81     2590.34                   .9321691                15444.97  
    at04              33          .   16576.74    2705.927                   .9300535                15383.72  
    at04              34          .   16781.32    2734.463                   .9660415                15995.41  
    at04              35          .   16939.54    2719.835                   .9810022                16255.42  
