    ccyy   agecat      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    at00        1          .   226231.6    20182.84                   1.032731                193256.2  
    at00       30          .   257347.7    13422.74                   1.104914                211230.6  
    at00       50          .   302148.6    10788.69                   1.206424                232750.8  
    at00       65          .   246656.3    9281.892                   1.059527                204516.1  
    at04        1          .    18513.2    3186.896                   1.008391                16569.73  
    at04       30          .   22230.78    2691.575                   1.145014                19014.67  
    at04       50          .    25556.3    2793.643                     1.2234                20334.12  
    at04       65          .   21457.51    2855.297                   .9574829                15770.04  
    at07        1          .   18980.52    3532.347                   .9791027                17064.85  
    at07       30          .   24990.02    2930.457                   1.149565                20305.09  
    at07       50          .   28152.96    3029.604                   1.195633                21124.95  
    at07       65          .   20764.67    3078.717                   .9182762                16056.33  
    at10        1          .   19828.99    4143.584                   .9396517                18681.55  
    at10       30          .   27171.29    3399.498                   1.130904                22874.98  
    at10       50          .   31943.45     3509.82                   1.210138                24509.16  
    at10       65          .   24410.87    3387.339                   .9479162                19041.14  
    at13        1          .   21625.69    4464.433                   .9755525                21111.32  
    at13       30          .   28093.73    3625.328                   1.116161                24544.62  
    at13       50          .   33471.43    3726.039                   1.204662                26539.95  
    at13       65          .   27497.95    3829.857                   .9795411                21369.57  
    at87        1          .   154996.4           .                   1.045145                       .  
    at87       30          .   181028.6           .                   1.139811                       .  
    at87       50          .   196879.5           .                     1.1887                       .  
    at87       65          .   138689.3           .                   .9781291                       .  
    at97        1          .   200413.7     27652.7                   1.017514                173885.4  
    at97       30          .   232554.5    22404.68                   1.101434                190659.7  
    at97       50          .   282368.1    15637.53                   1.225836                215132.2  
    at97       65          .     231728    9889.965                   1.082159                  191959  
    au01        1          .   27932.32    3706.162                   1.725792                29112.27  
    au01       30          .   27445.07    1824.556                   1.339606                23299.82  
    au01       50          .   31853.03    1422.579                   1.296644                22781.75  
    au01       65          .   19355.34    1047.185                   .8543652                14937.72  
    au03        1          .   30011.97    4347.028                   1.774159                 33174.5  
    au03       30          .   29567.29    2052.885                   1.343154                 25879.4  
    au03       50          .   33927.22    1569.538                   1.288508                25073.26  
    au03       65          .   21472.84    1226.454                   .8647126                16719.71  
    au08        1          .   47289.71    6621.579                   1.126179                 32578.1  
    au08       30          .   48448.13    3065.757                   1.187658                36879.21  
    au08       50          .   54553.31    2042.553                   1.280303                40568.96  
    au08       65          .   31372.61    1613.428                   .9130795                28831.82  
    au10        1   38349.91   49841.71    8015.792                   1.142348                34614.08  
    au10       30   36485.24   50276.86    4253.565                   1.174171                38067.48  
    au10       50   40450.75   57562.47    2843.953                   1.269342                42669.13  
    au10       65    26085.8   33920.02    2089.118                   .9368628                30665.15  
    au81        1          .   9713.819           .                   1.106791                       .  
    au81       30          .   9568.954           .                   1.104934                       .  
    au81       50          .   11693.24           .                   1.238155                       .  
    au81       65          .   7381.387           .                   .9556876                       .  
    au85        1          .   13012.39           .                   1.098945                       .  
    au85       30          .   13402.56           .                   1.126522                       .  
    au85       50          .   15765.02           .                   1.227396                       .  
    au85       65          .    9606.62           .                   .9384116                       .  
    au89        1          .    17981.8    3724.303                    1.04175                12637.13  
    au89       30          .    18877.7    2857.691                   1.200595                15067.73  
    au89       50          .   22093.58    1267.529                   1.233079                16060.93  
    au89       65          .    14057.4    367.9286                    .840065                11115.93  
    au95        1          .   21793.77    2891.813                   1.675654                22159.65  
    au95       30          .   21536.73    1381.189                   1.296592                17716.84  
    au95       50          .      23921    1038.235                    1.23285                17028.93  
    au95       65          .   15171.77    896.5596                   .8606663                11773.76  
    be85        1          .   379314.3           .                   1.092634                       .  
    be85       30          .   404161.2           .                   1.124757                       .  
    be85       50          .   419416.4           .                   1.144544                       .  
    be85       65          .   327945.5           .                   .9979126                       .  
    be88        1          .     425591           .                    1.10865                       .  
    be88       30          .   439487.1           .                   1.126836                       .  
    be88       50          .     462135           .                   1.151184                       .  
    be88       65          .   364426.7           .                   1.004889                       .  
    be92        1          .   504224.9    3825.171                   1.098328                       .  
    be92       30          .   531131.4    1592.355                    1.13171                       .  
    be92       50          .   545678.4    1091.965                    1.14467                       .  
    be92       65          .   426660.1    1486.818                   .9964248                       .  
    be97        1          .   549486.6     4316.49                   1.022283                467147.4  
    be97       30          .   671070.6    7987.747                    1.14161                511254.2  
    be97       50          .     703052      9382.7                   1.164237                517318.5  
    be97       65          .   544483.8    9254.016                   1.007523                443951.9  
    br06        1          .   6937.633    436.7281                   1.052496                       .  
    br06       30          .    9809.96    272.3842                   1.236891                       .  
    br06       50          .   13094.65    177.5168                   1.429864                       .  
    br06       65          .   12016.09    126.1226                   1.378515                       .  
    br09        1          .   9452.084     627.048                   1.056965                       .  
    br09       30          .   12220.56    354.2701                   1.200368                       .  
    br09       50          .   16478.07    252.2207                   1.395721                       .  
    br09       65          .   15614.75    155.0763                   1.358417                       .  
    br11        1          .   11187.62    794.1143                   1.049683                       .  
    br11       30          .   14706.33    473.1905                   1.197474                       .  
    br11       50          .    18979.9    304.8921                    1.36151                       .  
    br11       65          .   18177.78    212.4105                   1.330237                       .  
    br13        1          .   13424.75    1072.177                   1.035245                       .  
    br13       30          .    18120.7    642.7037                   1.189255                       .  
    br13       50          .   22925.88    430.4621                   1.338819                       .  
    br13       65          .   22341.98    277.3898                   1.320647                       .  
    ca00        1          .   23167.84           .                   .9956695                       .  
    ca00       30          .   29103.23           .                   1.139988                       .  
    ca00       50          .   34528.45           .                   1.249461                       .  
    ca00       65          .   24666.91           .                   1.045546                       .  
    ca04        1          .   26992.68           .                    .992879                       .  
    ca04       30          .   34260.27           .                    1.14282                       .  
    ca04       50          .   39588.33           .                   1.237278                       .  
    ca04       65          .   28965.68           .                    1.04635                       .  
    ca07        1          .   30166.52           .                   .9754439                       .  
    ca07       30          .   38980.39           .                   1.133691                       .  
    ca07       50          .   46799.81           .                   1.245751                       .  
    ca07       65          .   34798.06           .                    1.06215                       .  
