   ccyy   agecat      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    at04        1          .    18513.2    3186.896                   1.008391                16569.73  
    at04       30          .   22230.78    2691.575                   1.145014                19014.67  
    at04       50          .    25556.3    2793.643                     1.2234                20334.12  
    at04       65          .   21457.51    2855.297                   .9574829                15770.04  
    at07        1          .   18985.68    3532.347                   .9791059                17070.26  
    at07       30          .   24990.02    2930.457                   1.149565                20311.58  
    at07       50          .   28157.77    3029.604                   1.195748                 21131.7  
    at07       65          .   20768.93    3078.717                   .9182682                16061.43  
    at10        1          .   19828.99    4143.584                   .9396517                18681.55  
    at10       30          .   27171.29    3399.498                   1.130904                22874.98  
    at10       50          .   31943.45     3509.82                   1.210138                24509.16  
    at10       65          .   24410.87    3387.339                   .9479162                19041.14  
    at13        1          .   21625.69    4464.433                   .9755525                21111.32  
    at13       30          .   28093.73    3625.328                   1.116161                24544.62  
    at13       50          .   33471.43    3726.039                   1.204662                26539.95  
    at13       65          .   27497.95    3829.857                   .9795411                21369.57  
    au01        1          .   27932.32    3706.162                   1.725792                29112.27  
    au01       30          .   27445.07    1824.556                   1.339606                23299.82  
    au01       50          .   31853.03    1422.579                   1.296644                22781.75  
    au01       65          .   19355.34    1047.185                   .8543652                14937.72  
    au03        1          .   30011.97    4347.028                   1.774159                 33174.5  
    au03       30          .   29567.29    2052.885                   1.343154                 25879.4  
    au03       50          .   33927.22    1569.538                   1.288508                25073.26  
    au03       65          .   21472.84    1226.454                   .8647126                16719.71  
    au08        1          .   47289.71    6621.579                   1.126179                 32578.1  
    au08       30          .   48448.13    3065.757                   1.187658                36879.21  
    au08       50          .   54553.31    2042.553                   1.280303                40568.96  
    au08       65          .   31372.61    1613.428                   .9130795                28831.82  
    au10        1   38349.91   49998.53    8015.792                   1.137339                34527.68  
    au10       30   36485.24   49915.71    4253.565                   1.181796                37990.42  
    au10       50   40450.75   57885.49    2843.953                   1.295551                42590.33  
    au10       65    26085.8   33829.88    2089.118                   .9317617                30608.35  
    au89        1          .    18063.9    3779.237                   1.043816                12668.69  
    au89       30          .   18920.17    2880.875                   1.202538                15108.48  
    au89       50          .    22140.6    1283.174                   1.234787                16097.42  
    au89       65          .    14093.5    371.4396                   .8401698                11127.79  
    au95        1          .   21793.77    2891.813                   1.675654                22159.65  
    au95       30          .   21536.73    1381.189                   1.296592                17716.84  
    au95       50          .      23921    1038.235                    1.23285                17028.93  
    au95       65          .   15171.77    896.5596                   .8606663                11773.76  
    ch00        1   37078.74   47884.18    10587.04                   1.299228                       .  
    ch00       30   33118.32    48942.7    7484.828                    1.10429                       .  
    ch00       50    38350.4   56499.99     6895.49                   1.070367                       .  
    ch00       65   33041.19   40098.63    7777.974                   .8490204                       .  
    ch02        1   35011.02   50999.45    10159.05                   1.272601                       .  
    ch02       30   34460.33   52424.48    7334.745                   1.106555                       .  
    ch02       50   38032.54    58044.7    7029.552                   1.080792                       .  
    ch02       65   32744.34    42040.7    8020.813                   .8633826                       .  
    ch04        1   38372.68   49063.43    11063.04                    1.29967                       .  
    ch04       30   35375.38   49734.76    7870.192                   1.098601                       .  
    ch04       50   39468.97   57322.77    6778.364                   1.055083                       .  
    ch04       65   32252.01   42035.45    7479.233                   .8419425                       .  
    ch07        1          .   46950.83    12169.49                   .9682682                       .  
    ch07       30          .   56331.29    12306.69                   1.149129                       .  
    ch07       50          .   68625.92    12534.25                   1.256879                       .  
    ch07       65          .   50032.57    10931.19                   .9088438                       .  
    ch10        1          .   50263.06    12695.16                   1.110332                       .  
    ch10       30          .   60618.15     10015.2                   1.146097                       .  
    ch10       50          .   69026.32    8580.463                   1.144561                       .  
    ch10       65          .   48725.15    9039.913                   .9179874                       .  
    ch13        1          .   50279.87    13019.45                   1.108067                       .  
    ch13       30          .   59913.64    9632.709                    1.12786                       .  
    ch13       50          .   70314.38    8752.989                   1.162846                       .  
    ch13       65          .   52370.18    8918.976                   .9547659                       .  
    ch92        1          .   39185.28    8876.527                   1.088298                       .  
    ch92       30          .   40183.55    8892.591                   1.158356                       .  
    ch92       50          .   47486.64    9008.244                   1.216224                       .  
    ch92       65          .    39204.7    7881.929                   .8877687                       .  
    co07        1          .    4934840    631368.4                   1.224725                       .  
    co07       30          .    6236918    514080.8                   1.442418                       .  
    co07       50          .    7633211    344480.8                   1.558531                       .  
    co07       65          .    6901501    186867.1                   1.356059                       .  
    cz04        1          .   153418.2    40038.93                   1.119037                143464.7  
    cz04       30          .   148831.1    34256.82                   1.075511                138544.8  
    cz04       50          .   175524.1    34704.29                   1.106918                142676.9  
    cz04       65          .   121906.4    32884.07                   .8142076                103798.1  
    cz07        1          .   204435.3    40815.39                   1.107665                192354.9  
    cz07       30          .   220405.4    37539.79                   1.152931                201128.6  
    cz07       50          .   246227.2    41042.16                   1.210724                210911.3  
    cz07       65          .   160916.7    38083.39                   .8643818                148955.9  
    cz10        1          .   232797.7    50356.62                   1.153368                  218860  
    cz10       30          .     249320    41601.68                   1.149683                219844.3  
    cz10       50          .   270976.8    46798.19                   1.203217                229442.7  
    cz10       65          .   194887.7    44616.04                   .9022772                170190.6  
    cz13        1          .   236674.3    56714.79                   1.139368                235584.1  
    cz13       30          .   264910.6    44701.38                   1.160032                242167.1  
    cz13       50          .   282973.9    47563.09                   1.184451                246924.5  
    cz13       65          .   207933.9    47735.91                   .9095854                187636.9  
    de00        1          .   27922.76    6911.544                   .9850768                25680.05  
    de00       30          .    37637.6    6544.506                   1.109805                 29418.1  
    de00       50          .   42438.12    7107.133                   1.224176                32493.57  
    de00       65          .   33118.11    6887.159                   .9782128                 25491.8  
    de04        1          .    14307.2    4137.726                   .9769524                13564.55  
    de04       30          .   20520.42    3630.926                   1.112325                15847.67  
    de04       50          .      23653    3877.607                   1.236266                17672.48  
    de04       65          .   18892.62    3929.629                   .9969845                13952.12  
    de07        1          .   15610.65     4157.65                   .9758142                14643.69  
    de07       30          .   21867.05    3742.882                   1.099752                16855.14  
    de07       50          .   25690.76    4183.788                   1.251833                19214.58  
    de07       65          .    19848.9     4133.68                   1.000721                15065.97  
    de10        1          .   15843.25      4766.3                   .9649244                 15348.3  
    de10       30          .   23697.26     4306.49                   1.109607                18053.21  
    de10       50          .   25654.53    4505.159                   1.199151                19561.23  
    de10       65          .   20229.98    4775.206                   .9866624                 15727.9  
    de13        1          .   17428.67    4730.924                   .9777043                16380.76  
    de13       30          .   24049.82     4329.48                   1.111849                 18997.4  
    de13       50          .   27636.89    4382.335                   1.214106                20865.96  
    de13       65          .    21648.9    4628.524                    .992408                16688.09  
    de84        1          .   19528.88    3401.617                   1.115184                       .  
    de84       30          .    23744.1    2624.511                   1.090111                       .  
    de84       50          .   25643.36    2723.499                   1.177713                       .  
    de84       65          .   20153.38    2964.901                    .943768                       .  
    de89        1          .   25335.71    4896.065                   1.088626                       .  
    de89       30          .   28726.11    4213.917                   1.109616                       .  
    de89       50          .   30182.51    4390.606                   1.159833                       .  
    de89       65          .   24705.27    4834.461                   .9493044                       .  
    de94        1          .   27479.84    6235.942                   1.062761                       .  
    de94       30          .   32980.74    6101.889                   1.131361                       .  
    de94       50          .   36893.87    6078.619                   1.229842                       .  
    de94       65          .   28506.05    6315.285                   .9651237                       .  
    dk04        1          .   163282.3    21211.35                   .9495758                  156193  
    dk04       30          .   209486.3    16778.93                   1.143127                195337.1  
    dk04       50          .     242668    19057.17                   1.277552                  218053  
    dk04       65          .   157661.3    24336.41                   .9282024                149670.7  
    do07        1   80861.63   77328.94     5171.55                   1.107549                       .  
    do07       30   103661.8   112734.1    8541.912                   1.470509                       .  
    do07       50   103022.3   124777.2    7523.454                    1.52184                       .  
    do07       65   78183.45   93778.52    6738.347                   1.145301                       .  
    ee00        1   50044.61   52186.36    6763.171                   1.226222                50824.91  
    ee00       30   48554.91   49372.44    5595.266                   1.185419                49255.85  
    ee00       50    46318.9   46455.53     6904.07                    1.18287                 48978.8  
    ee00       65   29719.15   31169.96    5465.503                   .8210286                33908.85  
    ee04        1          .   73419.45    8586.331                   1.167849                77954.02  
    ee04       30          .   72614.95    8681.617                   1.227016                81948.51  
    ee04       50          .   68369.12     9036.55                   1.177801                78568.27  
    ee04       65          .   42419.11    7804.587                    .789783                52452.88  
    ee07        1          .   125062.5    11999.62                   1.157712                124423.3  
    ee07       30          .   124556.4    10887.93                   1.215123                  131075  
    ee07       50          .   112603.6    11033.87                   1.146402                123447.2  
    ee07       65          .    67560.3    10069.91                   .7931637                84722.54  
    ee10        1          .     115829    14989.14                   1.133621                108268.1  
    ee10       30          .   129402.6    13599.33                   1.233279                118144.1  
    ee10       50          .   112943.5    14378.31                   1.142955                109256.7  
    ee10       65          .   81639.88    13263.94                    .834722                79426.77  
    ee13        1          .   9817.676    1172.686                   1.148247                9837.717  
    ee13       30          .   11180.74    1056.225                   1.266781                10899.19  
    ee13       50          .   10189.33    1077.783                     1.1679                10028.32  
    ee13       65          .   6012.887    1001.318                    .799287                6812.198  
    es04        1          .   14359.82    2045.783                   1.227855                13872.57  
    es04       30          .   14621.31    1626.033                   1.230633                13974.49  
    es04       50          .   16051.74    1205.939                   1.202055                13713.52  
    es04       65          .   11535.09     1046.86                   .9124444                10387.67  
    es07        1          .   15993.97    2367.135                   1.155631                16477.63  
    es07       30          .    16829.2    1536.597                   1.168133                16849.98  
    es07       50          .   18967.34      1381.5                   1.179074                17046.22  
    es07       65          .   14221.76     1314.33                   .9355898                13476.65  
    es10        1          .   14243.77    2817.341                   1.086177                13951.73  
    es10       30          .   16079.51    1840.269                   1.168155                15272.81  
    es10       50          .   18536.68     1719.55                   1.191181                15609.24  
    es10       65          .   14569.09    1624.045                   .9545944                12453.57  
    es13        1          .   13645.76    2974.576                   1.039343                14380.96  
    es13       30          .   16144.12    1953.255                   1.128632                15947.22  
    es13       50          .   19784.03    1763.134                   1.195469                16970.81  
    es13       65          .    18011.3    1738.647                   1.041147                14727.45  
    es80        1     493518   370886.2    86052.74                   1.273028                       .  
    es80       30   479919.6   345441.3    84279.93                   1.244716                       .  
    es80       50     493258   374149.6    87835.41                   1.238212                       .  
    es80       65   369508.4   286588.1    83501.03                   .9577981                       .  
    es85        1   684690.5   618149.9    68597.66                   1.184311                       .  
    es85       30   709312.4   588433.2    58502.43                   1.229029                       .  
    es85       50     705873   631421.8    57138.39                   1.207788                       .  
    es85       65   568153.1   555763.6    61920.55                    1.02237                       .  
    es90        1    1175385   997091.7    155485.7                   1.130801                       .  
    es90       30    1122713    1011489    126940.7                   1.218126                       .  
    es90       50    1159235    1144959    122515.6                   1.248766                       .  
    es90       65   788078.5   946524.5    126917.2                    1.01048                       .  
    fi91        1          .   78276.51    12684.47                   1.058867                       .  
    fi91       30          .    93653.3    9609.707                   1.165881                       .  
    fi91       50          .   96145.03    5619.412                   1.126417                       .  
    fi91       65          .   69478.55    4715.566                   .8257676                       .  
    fr00        1   106980.6   88845.58     21782.4                   1.289884                90303.76  
    fr00       30   102419.5   112164.4    11154.74                   1.248332                92741.04  
    fr00       50   102995.4   131999.6    3644.768                    1.29042                100115.5  
    fr00       65   68323.57   106120.5   -2465.745                   .9927369                79858.48  
    fr05        1   17045.28   15229.95    4233.186                   1.060989                14280.86  
    fr05       30   16120.95   18780.31    2645.371                   1.133447                15774.32  
    fr05       50   17126.85   22275.03    2756.984                   1.236993                17251.29  
    fr05       65   12121.24   19948.25      2808.5                   1.049111                14501.22  
    fr10        1   16750.88   19529.52    3351.504                   .9717806                15968.37  
    fr10       30   18408.18   24783.85    2326.301                   1.172907                19983.52  
    fr10       50   19912.81   27865.51    2387.512                   1.251184                21356.03  
    fr10       65   16468.66   23149.65    2612.477                   1.016681                17075.53  
    fr84        1   73341.55   67989.79    21444.49                   1.208226                57150.01  
    fr84       30   84513.61   73347.99     23416.5                   1.298762                61396.77  
    fr84       50   83842.91   71932.16    19917.92                   1.158788                54874.89  
    fr84       65   61099.93    57065.8    16420.53                   .8643392                40778.52  
    fr89        1   90000.93   74773.28    26140.43                   1.152751                67435.43  
    fr89       30   103679.4   84723.46    30008.31                   1.274911                74469.54  
    fr89       50   111232.6   87892.86    26968.26                   1.185871                69365.09  
    fr89       65   80064.12   74085.31    21193.82                   .8779734                51229.76  
    fr94        1   101670.9    82493.9    26509.12                   1.099596                78963.82  
    fr94       30   120889.2   105799.6    29674.22                   1.268383                91218.17  
    fr94       50     126383     116069    25348.96                    1.16233                83863.44  
    fr94       65   100525.2   97843.02    18602.21                   .8542566                61639.73  
    gr04        1          .   13321.46    2550.213                   1.154256                12069.42  
    gr04       30          .   13305.09    2568.274                   1.227259                 12855.6  
    gr04       50          .   14962.14    2562.964                     1.2453                13051.44  
    gr04       65          .   10848.44    2230.017                   .9223216                9613.573  
    gr07        1          .   11178.81     5470.02                   1.072676                12935.27  
    gr07       30          .   14741.55    3393.013                   1.183546                14636.49  
    gr07       50          .    17024.9    3224.368                   1.219193                15114.66  
    gr07       65          .   13357.95    2718.895                   .9543432                11804.37  
    gr10        1          .   9201.532    4316.767                    .914805                11353.23  
    gr10       30          .   13753.42    3400.656                   1.141667                14496.09  
    gr10       50          .   16693.41    3275.525                   1.209481                15411.05  
    gr10       65          .   14562.77    2975.539                   .9985408                12678.57  
    gr13        1          .   8573.205    3883.552                   1.022825                 10034.6  
    gr13       30          .   9933.368    3160.996                   1.138328                11351.93  
    gr13       50          .   11701.92    3041.218                   1.203382                12048.33  
    gr13       65          .   10309.62    2842.922                   1.006681                10031.56  
    gt06        1   15178.91   16507.81    1902.208                   1.210514                       .  
    gt06       30   16449.94   20662.94    1825.228                   1.349668                       .  
    gt06       50   19044.93   25099.05    2094.925                   1.524396                       .  
    gt06       65    16533.3   23418.88    2029.743                   1.332696                       .  
    gt11        1          .   16074.24    683.0978                   1.217162                       .  
    gt11       30          .   22653.92    505.6231                   1.338914                       .  
    gt11       50          .   26367.81    460.7657                    1.48298                       .  
    gt11       65          .   21195.22    302.3485                   1.297781                       .  
    gt14        1   18153.81   18913.81    2514.167                   1.132418                       .  
    gt14       30   19955.38   22655.63    2442.022                   1.216477                       .  
    gt14       50   21091.38   28543.27    2613.274                   1.358229                       .  
    gt14       65   18504.31   24344.61    2569.079                   1.167787                       .  
    hu91        1   124140.4   176044.3    39250.85                   1.044834                       .  
    hu91       30   135621.8   220862.3    44084.64                   1.246024                       .  
    hu91       50   115469.4   210535.1    36907.55                   1.104324                       .  
    hu91       65   111146.5   155663.8    32838.84                   .8230764                       .  
    hu94        1   227481.2   265782.7    69953.49                   1.069538                       .  
    hu94       30   241978.2   336017.5    74680.37                   1.212446                       .  
    hu94       50   221424.2   330227.3    72442.82                   1.148497                       .  
    hu94       65   183749.8   234803.1    64174.96                   .8321813                       .  
    ie04        1          .   21054.14    3867.596                   .9929076                19522.79  
    ie04       30          .   25373.69    1937.907                   1.147278                23375.08  
    ie04       50          .   29056.01     1768.09                   1.229904                25158.42  
    ie04       65          .    17644.3    1985.349                   .9035381                18260.82  
    il01        1   51519.76   54565.36    7494.281                   1.049684                       .  
    il01       30   53922.14   60410.87    5365.682                   1.148527                       .  
    il01       50   61638.83   76510.94    4896.413                   1.296271                       .  
    il01       65   46249.33   57227.14    5081.491                    1.03237                       .  
    il05        1   50384.16   50017.77     8388.53                   1.007311                       .  
    il05       30   59286.36   65818.15    6754.063                   1.174812                       .  
    il05       50   65854.82   80495.64    6197.391                   1.298057                       .  
    il05       65   48880.25   60325.45    6809.346                    1.03703                       .  
    il07        1   56155.64   57857.98     9976.02                   1.032757                       .  
    il07       30   62941.13   72094.59      7269.5                   1.177613                       .  
    il07       50   69210.78   87872.57    6735.684                   1.296009                       .  
    il07       65   54782.34   68684.97    6784.393                    1.05931                       .  
    il10        1   60602.85   65200.74    11349.98                   1.005369                       .  
    il10       30   72200.48   82396.66    8466.712                   1.158051                       .  
    il10       50   77230.13     105339    7936.656                   1.293736                       .  
    il10       65   61111.49   81023.56    7679.736                   1.047871                       .  
    il12        1   67560.78    72177.8    13966.63                   .9894762                       .  
    il12       30   75343.01   91210.81    9808.394                   1.151877                       .  
    il12       50   80379.92   110746.6     8328.84                   1.262879                       .  
    il12       65   69005.47   94436.11    8692.239                   1.083164                       .  
    il92        1   30689.89   22983.13    4606.632                   1.010227                       .  
    il92       30   37977.19   28800.63    4473.462                   1.209891                       .  
    il92       50   39180.92   31997.14    4389.333                   1.239321                       .  
    il92       65   27259.69   26873.75    4812.194                   1.023017                       .  
    il97        1   55896.98   41550.58    8339.589                   1.067622                       .  
    il97       30   63907.53   48188.89    6933.275                   1.177313                       .  
    il97       50   71023.83   57485.79    6843.693                   1.249773                       .  
