    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    ch00               1   25870.22   6069.761    5313.065   .4526232          .482842                   .7200919                       .               .493824  
    ch00               2   19108.04   11608.56    4962.321   .0402345         .0623537                   .8096371                       .              .2804139  
    ch00               3   20834.56   15342.83    5683.992          0         .0131937                   .6930414                       .                     0  
    ch00               4   21163.66   17429.63    5020.829          0         .0240094                   .5788529                       .                     0  
    ch00               5   28666.43   18999.92    5454.739   .0519755         .0811044                   .7624382                       .                     0  
    ch00               6   21487.16   20090.12    5666.601          0                0                   .7183548                       .                     0  
    ch00               7   20124.21   20829.89    7354.543          0                0                    .802465                       .                     0  
    ch00               8   25213.54   21624.26    5696.378          0                0                   .7127408                       .                     0  
    ch00               9   24709.84   22506.13    7785.063          0                0                   .6504211                       .                     0  
    ch00              10   20641.94   23227.77    5668.845          0                0                   .6929703                       .                     0  
    ch00              11   20062.69   23906.87     7058.43          0                0                   .9021327                       .                     0  
    ch00              12   22625.94   24487.26    5289.737          0                0                   .8653316                       .                     0  
    ch00              13   25069.82    25111.4    7506.902          0                0                    .816051                       .                     0  
    ch00              14   26243.01   25786.48     7106.41          0                0                   .8868783                       .                     0  
    ch00              15   26948.19   26407.28    8462.334          0                0                   .8100662                       .                     0  
    ch00              16   29765.05   26940.96     7733.07          0         .0365983                   .8264046                       .                     0  
    ch00              17   23843.81   27513.98    7058.718          0                0                   .7420043                       .                     0  
    ch00              18   23699.01   27931.83    8013.525          0                0                   .8461823                       .                     0  
    ch00              19   24088.67   28371.48    6637.418          0                0                     .83537                       .                     0  
    ch00              20   27491.08   28803.32    6885.976          0                0                   .8490491                       .                     0  
    ch00              21   24619.91   29364.59    6471.891          0                0                   .9620638                       .                     0  
    ch00              22   27987.48   29925.78    7483.501   .0191731         .0191731                    .821837                       .                     0  
    ch00              23   26452.51   30432.75    7826.493   .0089389         .0089389                   .8401501                       .                     0  
    ch00              24   24298.41   30910.22    7426.999          0                0                   .9266208                       .                     0  
    ch00              25   27387.94   31410.08    8009.782          0                0                   1.137252                       .                     0  
    ch00              26   30303.66   31923.32    7552.064          0         .0255441                    .926946                       .                     0  
    ch00              27   27825.91   32378.65    6059.411          0                0                   .9346169                       .                     0  
    ch00              28   29671.72   32804.01    6984.195          0                0                   1.024661                       .                     0  
    ch00              29   28620.93   33323.94     7755.58          0                0                   .9180597                       .                     0  
    ch00              30   28736.88   33791.68    6631.308    .024737          .024737                   .8820052                       .                     0  
    ch00              31   33009.78   34359.68     8521.79   .0120496         .0120496                   1.042386                       .                     0  
    ch00              32   28972.88   34794.07    6804.768          0         .0245773                   .6653571                       .                     0  
    ch00              33    34814.3   35146.92    6169.196   .0309969         .0309969                   .8621467                       .                     0  
    ch00              34   26894.82   35604.08    6913.038          0                0                   1.060921                       .                     0  
    ch00              35   26193.34   36076.71    6498.347          0                0                   .8571694                       .                     0  
    ch00              36   27898.38   36545.86    7709.021          0                0                   .9467246                       .                     0  
    ch00              37   28034.82   37020.39    7215.213          0                0                   .9457844                       .                     0  
    ch00              38   28850.26   37424.93    7549.619          0                0                   1.015015                       .                     0  
    ch00              39   25210.29   37896.56    6184.307          0                0                   .8829762                       .                     0  
    ch00              40   29797.82   38305.04    6946.435          0                0                   .8695777                       .                     0  
    ch00              41   28466.53   38721.72    7110.112          0                0                   .9097668                       .                     0  
    ch00              42   27325.96   39197.16    6782.552          0                0                   .9344704                       .                     0  
    ch00              43   32910.74   39598.12    9210.557          0                0                   .9712663                       .                     0  
    ch00              44   25774.56   39994.82    5329.452          0                0                   .8683743                       .                     0  
    ch00              45   34130.37   40351.79    7673.583          0                0                   1.062343                       .                     0  
    ch00              46   29218.85   40909.03    6829.712          0                0                   1.073013                       .                     0  
    ch00              47   34183.71   41365.98    5576.044          0                0                   .9185773                       .                     0  
    ch00              48    29458.2   41756.09    6017.785          0                0                   .9489381                       .                     0  
    ch00              49   32215.98   42224.12    6622.331          0                0                   .9707773                       .                     0  
    ch00              50   33233.79   42709.02    8380.141          0                0                   1.006996                       .                     0  
    ch00              51   34184.74   43209.36    6585.104          0                0                   .8317288                       .                     0  
    ch00              52   32127.58   43796.88    7482.792          0                0                   1.011738                       .                     0  
    ch00              53    31778.8   44414.81    8021.311          0                0                    1.08918                       .                     0  
    ch00              54   36907.02   44917.62    8037.545   .0148241         .0148241                   1.075388                       .                     0  
    ch00              55   32803.02    45411.9    8526.101          0                0                   1.133312                       .                     0  
    ch00              56   29212.03    45840.6    5937.146          0                0                   .8247114                       .                     0  
    ch00              57   29525.45   46256.77     6885.44          0                0                   .9655935                       .                     0  
    ch00              58   38552.61   46808.47    14939.58          0           .05545                   1.266287                       .                     0  
    ch00              59   37234.03   47387.99     6875.79   .0245068         .0245068                    1.03439                       .                     0  
    ch00              60   46711.97   47824.88    8071.372    .068508          .068508                    1.26285                       .                     0  
    ch00              61    33907.6   48290.66    7214.485          0                0                   1.003438                       .                     0  
    ch00              62   34191.34   48994.34    6386.397          0                0                     1.0082                       .                     0  
    ch00              63    39706.5   49566.89    7208.728          0                0                   .9728677                       .                     0  
    ch00              64    39551.2   50179.19    8476.535          0                0                   1.073597                       .                     0  
    ch00              65   35562.27   51013.21    7439.759          0                0                   1.180857                       .                     0  
    ch00              66   36322.84   51838.83    6611.986          0                0                   1.182202                       .                     0  
    ch00              67   31214.34   52544.66    6517.177          0                0                   1.028356                       .                     0  
    ch00              68   41866.57   53390.98     8065.49          0                0                   1.072748                       .                     0  
    ch00              69   38464.88   53988.49    7581.648          0                0                   1.120719                       .                     0  
    ch00              70   40384.73   54661.27    8456.923          0         .0236764                   1.203269                       .                     0  
    ch00              71   35212.75   55534.52    7797.778          0                0                   1.080388                       .                     0  
    ch00              72    55113.4   56351.78    8633.116   .0311006         .0311006                   1.204453                       .                     0  
    ch00              73   36776.32   57312.79    7536.353          0                0                   1.092477                       .                     0  
    ch00              74   41030.77   58262.23    9089.282          0                0                   1.162156                       .                     0  
    ch00              75   39808.53   59027.45    8679.504          0                0                    1.12231                       .                     0  
    ch00              76   36035.09   59570.17    7675.179          0                0                   .9489885                       .                     0  
    ch00              77    37310.9   60274.36    5755.764          0                0                   1.106895                       .                     0  
    ch00              78   40214.22   61457.16     8532.31          0                0                   1.220943                       .                     0  
    ch00              79   38002.64   62572.38    8803.896          0                0                   1.240893                       .                     0  
    ch00              80   46287.09   63635.93     8137.01          0                0                   1.307121                       .                     0  
    ch00              81   39355.14   64630.55    7957.794          0                0                   1.319551                       .                     0  
    ch00              82   43819.21      65723    8866.624          0                0                   1.432343                       .                     0  
    ch00              83   45837.86   67127.16    8155.218          0                0                   1.313683                       .                     0  
    ch00              84   43163.26   68278.62    10147.74          0                0                   1.479699                       .                     0  
    ch00              85      56924   69622.03    10198.12   .0452378         .0452378                   1.450058                       .                     0  
    ch00              86   41681.42   71022.55    8444.708          0                0                   1.246484                       .                     0  
    ch00              87   41925.08   72548.28    7211.371          0                0                    1.40915                       .                     0  
    ch00              88   43310.43   74014.33    9310.391          0                0                   1.294987                       .                     0  
    ch00              89      44248    75314.2    10446.77          0                0                   1.561985                       .                     0  
    ch00              90   46284.82   77128.23    9846.396          0                0                   1.488681                       .                     0  
    ch00              91   57226.86    79398.3    10150.84          0          .019578                   1.375375                       .                     0  
    ch00              92   47210.54   81889.68    8771.533          0                0                   1.475766                       .                     0  
    ch00              93   47767.04   84602.84     8969.26   .0129447         .0129447                    1.37594                       .                     0  
    ch00              94   47431.47    88149.2    8043.105          0                0                   1.459494                       .                     0  
