 ccyy dhi_quantiles hmc_q dhi_q hmchous_q prop4_q prop4_scaled_q hmc_medianized_predict_q hmc_pred_scaled_q hmc_wor_pred_scaled_q prop4_pred_scaled_q hmc_pred_heter_scaled_q
 us10 1 . 7531.113 0 1 1 .6503236 18947.25 . .2548321 18812.07
 us10 2 . 14182.42 0 1 1 .7427936 21641.38 . .0078923 20572.58
 us10 3 . 18627.8 0 1 1 .7815054 22769.25 . .0004069 21237.57
 us10 4 . 22975.44 0 1 1 .8629637 25142.54 . 0 23669.49
 us10 5 . 27724.74 0 1 1 .9416343 27434.62 . 0 25897.08
 us10 6 . 33021.24 0 1 1 1.05031 30600.89 . 0 29311.42
 us10 7 . 39129.36 0 1 1 1.171596 34134.57 . 0 33260.02
 us10 8 . 46618.08 0 1 1 1.307361 38090.11 . 0 37584.45
 us10 9 . 57720.5 0 1 1 1.508019 43936.3 . 0 44094.58
 us10 10 . 99064.74 0 1 1 1.993115 58069.62 . 0 59897.01
