    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    at13       .2804496              .                          .1426801                  .                .1481726                     .                   .3106342                         .                       .3091984                       .                     .1426801                           .                         .1481726                    .     .498194    .3676159    .3341645    .2810524                 .               .3153408                     .                   .3141902   29111.97      5923.832    272.5468          0               25290.42                 0                      24301                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824     .3480865      4.972609      .8214203      .5001544      .3493415                   .                 .3947691                       .                     .4114469  
    be97       .2496077              .                          .1387343                  .                .1382284                     .                   .2706493                         .                       .2704796                       .                     .1387343                           .                         .1382284                    .           .           .           .    .2496077                 .               .2736001                     .                   .2737017   646403.4      109852.7    3086.913          0               524301.3                 0                   497057.3                     0       54479.02           0           0           0    646403.4     .9975922     .2677873             .             .             .      .2677873                   .                  .307457                       .                     .3034812  
    cz13       .2587313              .                          .1268263                  .                .1304893                     .                    .292235                         .                       .2910362                       .                     .1268263                           .                         .1304893                    .    .4701174    .3436319    .3234977    .2587313                 .                .299052                     .                   .2981007   257867.2      49681.03    6428.209          0               241144.4                 0                   232838.3                     0       46675.68    307294.2      362929    375280.6    257867.2     .9992692     .2154581      2.356944      .6819993      .3511485      .2154581                   .                 .3526849                       .                      .346466  
    dk13       .2505052              .                          .1421071                  .                .1261818                     .                   .2918566                         .                       .2966296                       .                     .1421071                           .                         .1261818                    .    .4847886    .3476737    .2904432    .2537107                 .               .3041702                     .                   .3109951   258096.8      26010.28    2591.489          0               253810.7                 0                     231661                     0        12899.2    287665.7    347787.9    378921.3    255966.8     .9985921     .2788601      6.691142      1.493721      .3568493      .2878903                   .                 .3841538                       .                     .4042549  
    ee13       .3510275              .                          .1849455                  .                .1879839                     .                   .4052889                         .                       .4041017                       .                     .1849455                           .                         .1879839                    .    .5271606    .4220746    .4101454    .3516743                 .               .4133793                     .                   .4123873   9752.055             0    78.11605          0               9959.355                 0                   9753.203                     0       1089.327    11339.16    13004.91    13619.66     9727.44      .954864     .5385957      3.342956      .8292153      .7428913       .544292                   .                 .7497447                       .                     .7287906  
    fi13        .260871              .                          .1453649                  .                .1428289                     .                   .2954659                         .                       .2954193                       .                     .1453649                           .                         .1428289                    .    .4978559     .370591    .3231433    .2608847                 .               .3028659                     .                   .3037719   28632.07      3865.259    205.6196          0               25554.24                 0                   23716.18                     0       1962.797    33669.82    40506.61    43731.56    28638.03     .9997375     .2379965      6.262046      1.229653      .3747305      .2380372                   .                 .3686936                       .                     .3928031  
    fr10       .2868017       .1676935                          .1663899           .1900377                .1733676              .3073621                   .3075871                  .3032973                       .3061391                .1676935                     .1663899                    .1900377                         .1733676             .2868017    .5036922    .3882028    .3519119    .2868017          .3109408               .3104318              .3076713                   .3092126   24254.89             0    904.6234   18013.19               20037.99          20037.99                   19027.97              19027.97       2594.991    30223.21    36300.56    38454.18    24254.89     .9768795     .3097872      3.149966      1.111982      .4732901      .3097872            .3818097                 .3686042                .3709677                     .3655533  
    de13       .2892449              .                          .1535748                  .                .1626368                     .                   .3119969                         .                       .3103674                       .                     .1535748                           .                         .1626368                    .    .5291283    .3949061    .3564766    .2892449                 .               .3148738                     .                   .3135371   23995.86      5584.093    168.8369          0               20377.96                 0                   19015.42                     0       4449.379    28957.62    34603.93    36669.17    23995.86     .9206033      .287527      4.582183      .9566039      .4567949       .287527                   .                 .3768759                       .                     .3806168  
    gr13       .3335077              .                          .1619027                  .                 .165655                     .                   .3804863                         .                       .3792641                       .                     .1619027                           .                          .165655                    .    .5658458    .3934283    .3809656    .3335074                 .               .3861012                     .                    .385294   10580.17      5108.659    194.4134          0               11672.33                 0                   11186.98                     0       3059.824       11476    15275.68    15608.54    10579.86     .9829276     .4354347      1.344059      .5840673      .5571648      .4354178                   .                 .6821441                       .                     .6689053  
    is10       .2438957              .                          .1346294                  .                .1409824                     .                   .2801046                         .                       .2770855                       .                     .1346294                           .                         .1409824                    .    .4017136    .3222908    .2906106    .2444215                 .               .2922894                     .                   .2896376    3906905             0    61053.38          0                4767832                 0                    4494604                     0       486422.1     4737704     5359513     5665964     3895142     .9796832     .2380765       3.83223      .8002294      .3436902      .2399242                   .                 .3738282                       .                     .3690506  
