    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    us13       .3790969              .                          .1903742                  .                       .                     .                    .391365                         .                              .                       .                     .1903742                           .                                .                    .    .5211166    .4495241    .4239166    .3803546                 .               .3919601                     .                          .   39464.83             0    501.4346          0               34914.77                 0                          0                     0              0     44831.1    50572.54    52218.54    39349.66     .9940466     .6589115      2.701177        1.0398      .8092251       .667838                   .                 .6508206                       .                            .  
    ee13       .3510275              .                          .1881784                  .                .1912848                     .                   .4042386                         .                       .4030358                       .                     .1881784                           .                         .1912848                    .    .5271606    .4220746    .4101454    .3516743                 .               .4120072                     .                    .410975   9752.055             0    78.11605          0               9960.188                 0                   9754.416                     0       1089.327    11339.16    13004.91    13619.66     9727.44      .954864     .5385957      3.342956      .8292153      .7428913       .544292                   .                 .7384377                       .                     .7289183  
    es13       .3405693              .                          .1579473                  .                .1616942                     .                   .3736237                         .                       .3728063                       .                     .1579473                           .                         .1616942                    .    .5250527    .4163377     .383748    .3409735                 .               .3760195                     .                   .3753066   17535.73             0    130.3172          0                16388.5                 0                   15900.04                     0       1881.303    18878.98    23134.76    24686.86    17524.87     .9921033     .5392208      2.561726      1.037393      .6693234      .5366729                   .                 .6603036                       .                     .6488354  
    gr13       .3335077              .                          .1710108                  .                .1751527                     .                   .3780663                         .                       .3767493                       .                     .1710108                           .                         .1751527                    .    .5658458    .3934283    .3809656    .3335074                 .               .3838493                     .                   .3829605   10580.17      5108.659    194.4134          0               11687.44                 0                    11202.1                     0       3059.824       11476    15275.68    15608.54    10579.86     .9829276     .4354347      1.344059      .5840673      .5571648      .4354178                   .                  .641382                       .                     .6409668  
    uk13       .3307284              .                          .1885168                  .                .2055957                     .                    .357475                         .                       .3539123                       .                     .1885168                           .                         .2055957                    .    .5602099    .4603913    .3804558    .3307283                 .               .3605295                     .                   .3575209   22344.03             0    224.9257          0               21821.87                 0                   20247.08                     0       1078.804    22430.99    26292.67    28722.86    22344.04     .9955069     .3836067       2.43727      1.003685      .5022887      .3836057                   .                 .4772719                       .                     .4604213  
    au10       .3307087              .                          .1806596                  .                       .                     .                   .3487723                         .                              .                       .                     .1806596                           .                                .             .3308726    .4897411    .4173017    .3706866    .3273645                 .               .3499051                     .                          .   49767.94             0    738.6381          0               39877.02                 0                          0                     0              0    53172.87    58361.59    61747.46    49982.56     .9894075     .4316555      2.399247      1.172497       .540754      .4229372                   .                  .471901                       .                            .  
    ie10       .2933041              .                          .1610124                  .                .1703796                     .                   .3217689                         .                       .3194905                       .                     .1610124                           .                         .1703796                    .    .5781953    .4908323    .3650865    .3038145                 .               .3255629                     .                   .3236026   25430.46             0    227.2058          0               22572.13                 0                   21600.08                     0       2494.443    25096.88    29003.52     37415.3    29048.58     .9927444     .3603122      1.601745      1.246227       .538627       .393783                   .                 .4593613                       .                     .4351416  
    de13       .2892449              .                          .1505765                  .                 .159367                     .                   .3125536                         .                       .3109129                       .                     .1505765                           .                          .159367                    .    .5291283    .3949061    .3564766    .2892449                 .               .3155015                     .                   .3141376   23995.86      5584.093    168.8369          0               20418.37                 0                   19015.42                     0       4449.379    28957.62    34603.93    36669.17    23995.86     .9206033      .287527      4.582183      .9566039      .4567949       .287527                   .                 .3785053                       .                      .377772  
    fr10       .2868017       .1676935                           .165055           .1900377                .1719618              .3073621                   .3078175                  .3032973                       .3063787                .1676935                      .165055                    .1900377                         .1719618             .2868017    .5036922    .3882028    .3519119    .2868017          .3109408               .3106536              .3076713                   .3094451   24254.89             0    904.6234   18013.19               20037.99          20037.99                   19027.97              19027.97       2594.991    30223.21    36300.56    38454.18    24254.89     .9768795     .3097872      3.149966      1.111982      .4732901      .3097872            .3818097                 .3702886                .3709677                     .3673901  
    no13        .249955              .                          .1412243                  .                       .                     .                   .2805501                         .                              .                       .                     .1412243                           .                                .                    .    .4507438    .3349691    .3033961    .2499615                 .               .2874489                     .                          .   387624.1             0           0          0               333967.9                 0                          0                     0              0    449575.1    533678.9    570460.1    387628.2     .9964275     .4754494      5.699732      1.917103      .6032798      .4754342                   .                 .3695155                       .                            .  
    at13       .2804496              .                           .137768                  .                .1430604                     .                   .3117104                         .                       .3103095                       .                      .137768                           .                         .1430604                    .     .498194    .3676159    .3341645    .2810524                 .               .3159027                     .                   .3147624   29111.97      5923.832    272.5468          0               25290.42                 0                      24301                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824     .3480865      4.972609      .8214203      .5001544      .3493415                   .                 .3975194                       .                     .3954519  
    nl13       .2613804              .                          .1213772                  .                .1368436                     .                    .290228                         .                       .2862813                       .                     .1213772                           .                         .1368436                    .    .4763199    .3561285    .3182774    .2614244                 .               .2946571                     .                   .2909164   25810.58      4514.255    302.3761          0               23436.24                 0                   21806.44                     0       3365.906    32639.73    39334.13    41499.23    25808.13     .9919506     .2493643      4.430158      1.175146      .3728221      .2494182                   .                 .3351006                       .                     .3131865  
    fi13        .260871              .                          .1450872                  .                .1425288                     .                   .2955491                         .                       .2955071                       .                     .1450872                           .                         .1425288                    .    .4978559     .370591    .3231433    .2608847                 .                .303091                     .                   .3039423   28632.07      3865.259    205.6196          0               25554.24                 0                   23716.18                     0       1963.433    33669.82    40506.61    43731.56    28638.03     .9997375     .2379965      6.262046      1.229653      .3747305      .2380372                   .                 .3680649                       .                      .369249  
