    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    us13       .3790969              .                          .1915628                  .                       .                     .                   .3885556                         .                              .                       .                     .2379886                           .                                .                    .    .5211166    .4495241    .4239166    .3803546                 .               .3891572                     .                          .   39464.83             0    501.4346          0               34914.77                 0                          0                     0              0     44831.1    50572.54    52218.54    39349.66     .9940466     .6589115      2.701177        1.0398      .8092251       .667838                   .                 .6415297                       .                            .  
    ee13       .3510275              .                          .1880565                  .                .1911568                     .                   .4003848                         .                       .3992744                       .                     .2018055                           .                         .2046289                    .    .5271606    .4220746    .4101454    .3516743                 .               .4083475                     .                   .4074283   9752.055             0    78.11605          0               9971.559                 0                   9765.465                     0       1089.327    11339.16    13004.91    13619.66     9727.44      .954864     .5385957      3.342956      .8292153      .7428913       .544292                   .                 .7444515                       .                     .7280269  
    es13       .3405693              .                          .1556791                  .                .1593562                     .                   .3707347                         .                       .3700363                       .                     .1758891                           .                         .1789827                    .    .5250527    .4163377     .383748    .3409735                 .               .3730725                     .                   .3724779   17535.73             0    130.3172          0               16389.68                 0                   15900.04                     0       1881.303    18878.98    23134.76    24686.86    17524.87     .9921033     .5392208      2.561726      1.037393      .6693234      .5366729                   .                 .6551073                       .                     .7187904  
    gr13       .3335077              .                          .1650438                  .                .1689264                     .                    .375507                         .                       .3744421                       .                     .1821358                           .                         .1853258                    .    .5658458    .3934283    .3809656    .3335074                 .               .3808377                     .                   .3801719   10580.17      5108.659    194.4134          0               11689.56                 0                   11204.22                     0       3059.824       11476    15275.68    15608.54    10579.86     .9829276     .4354347      1.344059      .5840673      .5571648      .4354178                   .                 .6298867                       .                      .627182  
    uk13       .3307284              .                          .1883691                  .                .2054365                     .                   .3540654                         .                       .3507944                       .                     .2084267                           .                         .2240068                    .    .5602099    .4603913    .3804558    .3307283                 .               .3570192                     .                   .3542689   22344.03             0    224.9257          0               21821.87                 0                   20247.08                     0       1078.804    22430.99    26292.67    28722.86    22344.04     .9955069     .3836067       2.43727      1.003685      .5022887      .3836057                   .                 .4469571                       .                     .4491139  
    au10       .3307087              .                          .1866107                  .                       .                     .                   .3453677                         .                              .                       .                     .2109101                           .                                .             .3308726    .4897411    .4173017    .3706866    .3273645                 .                .346486                     .                          .   49767.94             0    738.6381          0               39877.02                 0                          0                     0              0    53172.87    58361.59    61747.46    49982.56     .9894075     .4316555      2.399247      1.172497       .540754      .4229372                   .                 .4511555                       .                            .  
    ie10       .2933041              .                          .1662837                  .                .1758796                     .                   .3174075                         .                       .3152523                       .                     .1825031                           .                         .1913945                    .    .5781953    .4908323    .3650865    .3038145                 .               .3206977                     .                    .318827   25430.46             0    227.2058          0               22575.71                 0                   21600.08                     0       2494.443    25096.88    29003.52     37415.3    29048.58     .9927444     .3603122      1.601745      1.246227       .538627       .393783                   .                 .4835711                       .                      .456866  
    de13       .2892449              .                          .1468494                  .                .1553047                     .                    .310122                         .                       .3087032                       .                     .1666277                           .                         .1737695                    .    .5291283    .3949061    .3564766    .2892449                 .               .3130893                     .                   .3119107   23995.86      5584.093    168.8369          0               20466.89                 0                   19015.42                     0       4449.379    28957.62    34603.93    36669.17    23995.86     .9206033      .287527      4.582183      .9566039      .4567949       .287527                   .                 .3699147                       .                     .3624712  
    fr10       .2868017       .1676935                          .1672736           .1900377                .1742982              .3044104                    .304457                  .3005267                       .3031655                .1859726                     .1857026                    .2072936                         .1919137             .2868017    .5036922    .3882028    .3519119    .2868017          .3080755               .3073937              .3050111                   .3063335   24254.89             0    904.6234   18013.19               20037.99          20037.99                   19027.97              19027.97       2594.991    30223.21    36300.56    38454.18    24254.89     .9768795     .3097872      3.149966      1.111982      .4732901      .3097872            .3679259                 .3619442                .3696734                     .3571532  
    no13        .249955              .                          .1410255                  .                       .                     .                   .2772535                         .                              .                       .                      .153672                           .                                .                    .    .4507438    .3349691    .3033961    .2499615                 .               .2842554                     .                          .   387624.1             0           0          0               333967.9                 0                          0                     0              0    449575.1    533678.9    570460.1    387628.2     .9964275     .4754494      5.699732      1.917103      .6032798      .4754342                   .                 .3620394                       .                            .  
    at13       .2804496              .                          .1396553                  .                .1450246                     .                   .3080431                         .                       .3067749                       .                     .1556059                           .                         .1603815                    .     .498194    .3676159    .3341645    .2810524                 .                .312476                     .                   .3114824   29111.97      5923.832    272.5468          0               25290.42                 0                      24301                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824     .3480865      4.972609      .8214203      .5001544      .3493415                   .                 .3803239                       .                     .4163933  
    nl13       .2613804              .                          .1134993                  .                .1283851                     .                   .2883835                         .                       .2847959                       .                     .1313826                           .                         .1452639                    .    .4763199    .3561285    .3182774    .2614244                 .               .2928375                     .                   .2894384   25810.58      4514.255    302.3761          0               23437.51                 0                   21806.44                     0       3365.906    32639.73    39334.13    41499.23    25808.13     .9919506     .2493643      4.430158      1.175146      .3728221      .2494182                   .                 .3567624                       .                     .3424871  
    fi13        .260871              .                          .1503508                  .                .1482004                     .                   .2904338                         .                        .290581                       .                     .1629566                           .                         .1601138                    .    .4978559     .370591    .3231433    .2608847                 .               .2978882                     .                     .29892   28632.07      3865.259    205.6196          0               25554.24                 0                   23716.18                     0       1963.433    33669.82    40506.61    43731.56    28638.03     .9997375     .2379965      6.262046      1.229653      .3747305      .2380372                   .                 .3560665                       .                     .3555402  
    cz13       .2587313              .                          .1310079                  .                .1348195                     .                   .2874952                         .                       .2864076                       .                      .146402                           .                         .1497516                    .    .4701174    .3436319    .3234977    .2587313                 .               .2943125                     .                   .2934693   257867.2      49681.03    6428.209          0               241138.5                 0                   232838.3                     0       46675.68    307294.2      362929    375280.6    257867.2     .9992692     .2154581      2.356944      .6819993      .3511485      .2154581                   .                 .3396719                       .                     .3355828  
    dk13       .2505052              .                          .1416806                  .                .1257145                     .                   .2878901                         .                       .2930686                       .                     .1532318                           .                         .1364845                    .    .4847886    .3476737    .2904432    .2537107                 .               .3003679                     .                   .3075776   258096.8      26010.28    2591.489          0               253810.7                 0                     231661                     0        12903.6    287665.7    347787.9    378921.3    255966.8     .9985921     .2788601      6.691142      1.493721      .3568493      .2878903                   .                 .3649422                       .                     .3875725  
    is10       .2438957              .                          .1304901                  .                .1366002                     .                   .2763857                         .                       .2737432                       .                     .1468184                           .                         .1522191                    .    .4017136    .3222908    .2906106    .2444215                 .               .2880022                     .                   .2855922    3906905             0    61053.38          0                4769216                 0                    4494604                     0       486422.1     4737704     5359513     5665964     3895142     .9796832     .2380765       3.83223      .8002294      .3436902      .2399242                   .                 .3331439                       .                     .3141468  
    se05       .2380164              .                          .1343858                  .                       .                     .                   .2648779                         .                              .                       .                     .1483666                           .                                .                    .    .4832166    .3584923    .3035725    .2387846                 .               .2726731                     .                          .   204117.6             0    1534.295          0               201328.1                 0                          0                     0              0    261871.5    312771.3    345273.1    203303.2     .9992529     .2118112      4.590845      .9111226      .3506734      .2125988                   .                 .3114136                       .                            .  

