    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    uk69       .2680688              .                          .1520256                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2631703                 .                      .                     .                          .   742.2071             0    5.555811          0                      0                 0                          0                     0              0           0           0           0    797.7289     .9995961  
    uk74       .2679904              .                           .149564                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2624477                 .                      .                     .                          .   1483.759             0    12.22465          0                      0                 0                          0                     0              0           0           0           0     1594.86     .9995257  
    uk79       .2652338              .                          .1514632                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2449101                 .                      .                     .                          .   3190.252             0    41.98004          0                      0                 0                          0                     0              0           0           0           0    3520.119     .9974337  
    uk86       .2959453        .192715                          .1671392           .1974061                       .                     .                          .                         .                              .                       .                            .                           .                                .             .2959453           .           .           .    .2902571                 .                      .                     .                          .   5787.251      943.1034    74.59073    5525.25                      0                 0                          0                     0       524.8143           0           0           0    6603.864     .9884888  
    uk91       .3380356        .249171                          .1911379           .2526245                       .                     .                          .                         .                              .                       .                            .                           .                                .             .3380356           .           .           .    .3236865                 .                      .                     .                          .   9126.484      2455.954    90.75312   8912.949                      0                 0                          0                     0       1628.539           0           0           0    10375.67     .9965879  
    uk94       .3414808              .                          .1903085                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .3303037                 .                      .                     .                          .   10626.83      1487.452     79.8514          0                      0                 0                          0                     0       1487.446           0           0           0    12308.22     .9958254  
    uk95       .3430849        .218175                          .1956974           .2460226                .2014143              .3612395                   .3645064                     .3613                       .3696713                 .218175                     .1956974                    .2460226                         .2014143             .3430849           .           .           .     .337061            .36336               .3659729              .3666055                   .3724003   10483.53      1946.756    87.45526   10171.38               9601.184          9601.184                   9057.153              9057.153       1946.699           0           0           0    12102.72      .988374  
    uk99       .3496749              .                          .1935008                  .                .2129042                     .                   .3739877                         .                        .376532                       .                     .1935008                           .                         .2129042                    .    .5514069    .4594883    .3637393    .3350298                 .               .3756844                     .                   .3796931   13318.75      763.5438    137.8387          0               12948.39                 0                    12271.1                     0       763.5356    14435.48    16579.36    19866.07    15225.89     .9946369  
    uk04        .351112              .                          .1881661                  .                .2035021                     .                   .3772137                         .                       .3788089                       .                     .1881661                           .                         .2035021                    .    .5518776      .45492    .3616485    .3372985                 .               .3790475                     .                   .3817322   17037.72      908.7405    170.2365          0               16977.44                 0                    16159.1                     0       908.7226    18494.89    21267.92    25458.22    19486.63     .9811866  
    uk07       .3398829              .                          .1888077                  .                 .202788                     .                   .3644552                         .                       .3643206                       .                     .1888077                           .                          .202788                    .    .5441563    .4564445     .386668     .339883                 .               .3664017                     .                   .3672262   19645.83             0    226.0768          0               19835.28                 0                   18773.27                     0        675.492    20709.85    23648.87    25641.41     19645.8     .9960628  
    uk10       .3348106              .                          .1858735                  .                .2018608                     .                    .357215                         .                       .3569872                       .                     .1858735                           .                         .2018608                    .     .565318    .4671777    .3861408    .3348106                 .               .3589548                     .                   .3597725   20677.85             0     248.569          0               19513.71                 0                   18248.89                     0       918.8411    21138.44    24529.81    26954.63    20677.85     .9940127  
    uk13       .3307284              .                          .1793829                  .                .1957514                     .                   .3544138                         .                       .3557362                       .                     .1793829                           .                         .1957514                    .    .5602099    .4603913    .3804558    .3307283                 .               .3562085                     .                    .359128   22344.03             0    224.9257          0               21821.87                 0                   20247.08                     0       1078.804    22430.99    26292.67    28722.86    22344.04     .9955069  
