    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_unscaled_q   hmc_scaled_unif_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    fr10               1   12077.95   8238.626     2239.59   .0768002         .0768002         11238.87            12473.72                   .7336594                16548.24              .1031396  
    fr10               2   13117.27   12810.63    2469.642   .0027241         .0027241         12233.91            13578.09                   .7381553                16430.68              .0000128  
    fr10               3   15160.63   15562.38    2681.404   .0019464         .0019464         14004.66             15543.4                   .8742177                19708.27                     0  
    fr10               4   16468.31   17943.43    2563.292   .0025724         .0025724         15125.74            16787.66                    .958476                21923.31                     0  
    fr10               5   18127.33   20138.33    2569.928   .0018642         .0018642         16484.07            18295.24                   1.050051                24192.25                     0  
    fr10               6   19218.42   22574.09    2613.987   .0000604         .0000604         17470.87            19390.46                   1.120417                25895.59                     0  
    fr10               7   21328.16   25340.06    2471.638          0                0         19179.66            21287.01                   1.222431                28531.21                     0  
    fr10               8   22869.77   28783.19    2590.538   .0013999         .0013999         20451.86            22698.99                   1.332501                31207.99                     0  
    fr10               9   26840.51    34387.2    2562.478          0                0         23636.54            26233.58                   1.552142                36741.65                     0  
    fr10              10   35882.33   56796.75    3187.906          0                0         30315.37            33646.24                   2.142576                51040.94                     0  
