    ccyy   dhi_quantiles   hmc_q      dhi_q   hmchous_q   prop4_q   prop4_scaled_q   hmc_unscaled_q   hmc_scaled_unif_q   hmc_medianized_predict_q   hmc_pred_scaled_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    us10               1       .   7531.113           0         1                1                .                   .                   .7033957            18812.07                       .              .3167607  
    us10               2       .   14182.42           0         1                1                .                   .                   .7692223            20572.58                       .              .0402083  
    us10               3       .    18627.8           0         1                1                .                   .                   .7940866            21237.57                       .              .0044955  
    us10               4       .   22975.44           0         1                1                .                   .                   .8850179            23669.49                       .              .0002214  
    us10               5       .   27724.74           0         1                1                .                   .                   .9683089            25897.08                       .                     0  
    us10               6       .   33021.24           0         1                1                .                   .                   1.095973            29311.42                       .                     0  
    us10               7       .   39129.36           0         1                1                .                   .                   1.243614            33260.02                       .                     0  
    us10               8       .   46618.08           0         1                1                .                   .                   1.405307            37584.45                       .                     0  
    us10               9       .    57720.5           0         1                1                .                   .                   1.648725            44094.58                       .                     0  
    us10              10       .   99064.74           0         1                1                .                   .                   2.239588            59897.01         
