 ccyy dhi_quantiles hmc_q dhi_q hmchous_q prop4_q prop4_scaled_q hmc_unscaled_q hmc_scaled_unif_q hmc_medianized_predict_q hmc_pred_heter_scaled_q hmc_wor_pred_scaled_q prop4_pred_scaled_q hmc_pred_scaled_q
 us10 1 . 7531.113 0 1 1 . . 0.7033957 18812.07 . 0.3167607 18947.25
 us10 2 . 14182.42 0 1 1 . . 0.7692223 20572.58 . 0.0402083 21641.38
 us10 3 . 18627.8 0 1 1 . . 0.7940866 21237.57 . 0.0044955 22769.25
 us10 4 . 22975.44 0 1 1 . . 0.8850179 23669.49 . 0.0002214 25142.54
 us10 5 . 27724.74 0 1 1 . . 0.9683089 25897.08 . 0 27434.62
 us10 6 . 33021.24 0 1 1 . . 1.095973 29311.42 . 0 30600.89
 us10 7 . 39129.36 0 1 1 . . 1.243614 33260.02 . 0 34134.57
 us10 8 . 46618.08 0 1 1 . . 1.405307 37584.45 . 0 38090.11
 us10 9 . 57720.5 0 1 1 . . 1.648725 44094.58 . 0 43936.3
 us10 10 . 99064.74 0 1 1 . . 2.239588 59897.01   58069.62
