    ccyy   conc_dhi_dhi   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc2   gini_inc3   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    au89       .3017817                  .                .2087543                         .                       .3138162                           .                         .2087543                    .           .           .                     .                   .3176615   18845.35                   14481.35                     0     .9880087     .3985514             .             .             .      .3999006                   .                 .4172322                       .                     .4179676  
    au95       .3043028                  .                .1627399                         .                       .3233004                           .                         .1627399                    .           .           .                     .                   .3272213   21207.11                    17285.6                     0     .9904961     .3934931             .             .             .      .3940854                   .                 .4292288                       .                     .4238403  
    au01       .3141239                  .                .1547263                         .                       .3376459                           .                         .1547263                    .           .           .                     .                   .3422123   27418.53                   22628.32                     0     .9914727     .4087126             .             .             .      .4101203                   .                 .4756261                       .                     .4681849  
    au03       .3098915                  .                .1525296                         .                       .3346231                           .                         .1525296                    .    .4137664    .3647899                     .                    .339665   29554.82                   25167.76                     0     .9912635     .4193283      2.052717      .9970759      .5624912      .4207237                   .                 .4798043                       .                     .4821987  
    au08       .3332253                  .                .2103841                         .                       .3481932                           .                         .2103841                    .    .4241046    .3827727                     .                   .3509721   47415.62                   36203.25                     0     .9964684     .4223786      2.101648      .9714255        .55898       .422765                   .                 .4814929                       .                     .4794502  
    au10       .3308726           .2160486                .2156767                  .3445543                       .3445987                    .2160486                         .2156767             .3308726    .4193896    .3720584              .3463735                    .347187   49668.35                   37722.94              37722.94     .5433912     .4388444      2.548992      1.243988      .5511557       .428733            .4530304                 .4463277                 .450672                     .4441606  
    at04       .2684039                  .                .1662975                         .                       .2909293                           .                         .1662975                    .    .3368939    .3101777                     .                   .3018764   22561.14                   18610.85                     0     .9995477     .2875513      4.862065      .7994221      .3902259      .2879932                   .                 .3726917                       .                     .3658184  
    at07       .2842839                  .                .1594409                         .                       .3095642                           .                         .1594409                    .    .3678367    .3380716                     .                   .3178941   24583.28                   19546.32                     0     .9984761     .3993749      4.090082      .8708128      .5480519      .3993773                   .                 .3996951                       .                     .4125667  
    at10       .2792102                  .                .1551659                         .                       .3046943                           .                         .1551659                    .           .           .                     .                    .313033   27366.04                   22318.97                     0     .9991698      .375599             .             .             .      .3753323                   .                 .3890048                       .                     .3929659  
    at13       .2804496                  .                .1447789                         .                        .309936                           .                         .1447789                    .    .3676159    .3341645                     .                   .3197837   29111.97                      24301                     0     .9996824     .3480865      4.972609      .8214203      .5001544      .3493415                   .                 .4542263                       .                     .4392207  
    be97              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    co07       .5520354                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .    6538170                          0                     0     .8846247     1.252798             .             .             .      1.252141                   .                 1.316039                       .                            .  
    cz07       .2516939                  .                .1517628                         .                       .2741442                           .                         .1517628                    .    .3475452     .324702                     .                   .2858362   218077.5                     195562                     0     .9997165     .2182502      2.001482      .5472775      .3760226      .2182502                   .                 .3481226                       .                     .3371461  
    cz10         .25633                  .                .1370433                         .                       .2824993                           .                         .1370433                    .    .3384139    .3196689                     .                   .2928764   245798.6                   214490.4                     0     .9998538     .2224106      2.276162      .5453283      .3565895      .2224106                   .                 .3605129                       .                     .3556482  
    cz13       .2587313                  .                  .14483                         .                       .2874306                           .                           .14483                    .    .3436319    .3234977                     .                   .3008857   257867.2                   232882.9                     0     .9992692     .2154581      2.356944      .6819993      .3511485      .2154581                   .                 .3540264                       .                     .3595402  
    dk04       .2284362                  .                .1832493                         .                       .2474273                           .                         .1832493                    .    .3313069    .2708351                     .                   .2898515   203321.5                   188540.7                     0     .9969199     .2044176      6.190109      1.172208      .2847647      .2123457                   .                 .4263355                       .                     .4115463  
    dk13              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    ee00       .3587848           .2891533                .2384817                  .3795723                       .3946996                    .2891533                         .2384817             .3587848           .           .              .3879763                   .4136375   46293.79                   47105.93              47105.93     .9176716     .4492163             .             .             .       .407188            .5257183                 .7138721                .5223669                     .7335713  
    ee04       .3467705                  .                .2109112                         .                       .3938572                           .                         .2109112                    .           .           .                     .                   .4133189   66962.55                   75891.85                     0     .9897961     .4720347             .             .             .      .4738244                   .                 .7664135                       .                      .746089  
    ee07       .3126858                  .                .1914362                         .                       .3569675                           .                         .1914362                    .           .           .                     .                   .3775889   112694.8                   120893.5                     0     .9937985     .4130879             .             .             .      .4133476                   .                 .7054089                       .                     .6376375  
    ee10       .3182216                  .                .1885188                         .                       .3577997                           .                         .1885188                    .    .3832677     .365808                     .                   .3727719   115067.3                   107810.7                     0     .9703515     .4141568      4.306551      .8335904      .5326118      .4141568                   .                 .6114834                       .                     .5791067  
    ee13       .3508322                  .                .1962841                         .                       .4011725                           .                         .1962841                    .    .4220587    .4103938                     .                    .416668   9759.141                   9764.912                     0     .9289116     .5387384      3.379266      .8266745      .7429628      .5445955                   .                  .744211                       .                     .7562029  
    fi91       .2087856                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   88886.86                          0                     0     .9994943     .1696403             .             .             .      .1753076                   .                        .                       .                            .  
    fi13              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    fr84       .3321258           .1968288                 .210469                  .3587496                       .3560655                    .1968288                          .210469             .3321258           .           .              .3630029                   .3638569    70209.9                   56652.45              56652.45     .9383462     .4603959             .             .             .             .            .4898441                 .5232821                .4704147                     .5313717  
    fr89       .2816572           .2334129                .2045988                  .2917046                       .2977055                    .2334129                         .2045988             .2816572           .           .              .2969515                   .3067426   82707.16                   68996.15              68996.15     .9411694     .3268004             .             .             .             .            .3326078                 .3843583                 .320581                     .3848309  
    fr00       .2770811           .2059353                 .166572                  .2912484                       .2990868                    .2059353                          .166572             .2770811    .3912527    .3492538              .2969544                   .3071263   113482.8                   91925.66              91925.66     .9986218     .2662433       2.65719      1.121687      .4396407      .2680496             .327155                 .3954208                .3102161                     .3632284  
    fr05        .280323            .194306                .1676767                  .2966019                       .3016416                     .194306                         .1676767              .280323    .3806109    .3393632              .3044147                   .3088294   19572.89                   15790.52              15790.52     .9997249     .2798579      2.674356      1.012377      .4214824      .2796991            .3849799                 .4126331                .3531902                     .3982343  
    fr10       .2859335            .185292                .2021908                  .3030901                       .3002093                     .185292                         .2021908             .2859335    .3824221    .3498489              .3074452                   .3070281   24756.43                   19421.43              19421.43     .9097843     .3109716      3.034487      1.070013      .4714454      .3109716            .3867782                 .3709375                 .371724                     .3797219  
    de84       .2530751                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .    23121.5                          0                     0      .980434     .2889802             .             .             .       .288979                   .                        .                       .                            .  
    de89       .2535397                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   27929.13                          0                     0     .9517543     .2443167             .             .             .      .2443165                   .                        .                       .                            .  
    de94       .2601657                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   32394.77                          0                     0     .8980284     .2504854             .             .             .      .2504852                   .                        .                       .                            .  
    de00       .2555656                  .                .1627155                         .                       .2702619                           .                         .1627155                    .    .3548279    .3255912                     .                   .2767188   37240.86                   29188.66                     0     .9008735     .2412237      3.933818      .8059716        .40563      .2412231                   .                 .3248374                       .                      .325722  
