    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    at13               1          .   2267.125    4348.065          1                1                   .6300222                 12327.4              .5100096  
    at13               2          .   6332.745    4584.597          1                1                   1.008773                20325.01              .3939372  
    at13               3          .   8362.104     3790.75          1                1                   .7591951                15212.43                .19282  
    at13               4          .   9592.485    3883.254          1                1                    .551607                10774.23              .0308074  
    at13               5          .    10341.8    4145.021          1                1                   .4428763                8396.944              .0525459  
    at13               6          .   11035.58    3783.926          1                1                    .737439                14751.37              .0350265  
    at13               7          .    11559.3    3753.939          1                1                   .8708227                17595.82                     0  
    at13               8          .   12035.01    4154.074          1                1                    .862006                17309.54              .0249676  
    at13               9          .   12673.22    3894.067          1                1                   .7164267                14277.26               .024786  
    at13              10          .   13229.08    3828.574          1                1                   .6381208                12627.87              .0131827  
    at13              11          .   13726.43    3545.029          1                1                    .565176                11146.32              .0093766  
    at13              12          .    14262.5    3870.861          1                1                    .721092                14382.22              .0250109  
    at13              13          .   14648.29    3792.619          1                1                   .6149055                12142.95                     0  
    at13              14          .   15103.71    3746.181          1                1                   .9319525                18897.96              .0040449  
    at13              15          .    15516.6    3433.435          1                1                   .8674426                17603.03                     0  
    at13              16          .    15813.8    4355.908          1                1                     .92702                18642.57                     0  
    at13              17          .      16223    3892.342          1                1                   .8809545                17777.17                     0  
    at13              18          .   16510.55    3413.323          1                1                   .3758111                7151.058                     0  
    at13              19          .   16776.94    3991.101          1                1                   .8052172                16141.87              .0070635  
    at13              20          .   17143.73    4022.375          1                1                    .742072                14791.06                     0  
    at13              21          .   17484.54    3954.908          1                1                   .8507886                 17120.1                     0  
    at13              22          .   17849.56    3720.635          1                1                   .8892379                17995.73                     0  
    at13              23          .   18157.09    3462.056          1                1                   .8009343                16181.34              .0067471  
    at13              24          .   18463.57    3780.049          1                1                   1.033333                21045.96                     0  
    at13              25          .   18776.34    3582.182          1                1                   .8491372                17176.96                     0  
    at13              26          .    19074.6    3552.022          1                1                   .8079633                16308.64                     0  
    at13              27          .   19351.15    4043.296          1                1                   .7371716                14681.67                     0  
    at13              28          .   19622.42    3522.593          1                1                   .9003388                18280.72                     0  
    at13              29          .   19917.88    3610.038          1                1                   .9834379                20026.65                     0  
    at13              30          .   20247.97     3490.18          1                1                    .592924                11750.05                     0  
    at13              31          .   20517.83     3340.76          1                1                   1.214565                25009.15                     0  
    at13              32          .   20744.04    3656.827          1                1                   1.004191                20456.52                     0  
    at13              33          .   20980.97     3880.96          1                1                    1.16944                23916.02                     0  
    at13              34          .   21241.58     3308.25          1                1                   .8837531                17980.84                     0  
    at13              35          .   21507.07    3579.655          1                1                   1.017944                20768.09                     0  
    at13              36          .   21785.78    3416.375          1                1                   1.004385                20519.98                     0  
    at13              37          .   22060.79    3393.176          1                1                   .9992753                20417.03                     0  
    at13              38          .   22292.04    3261.215          1                1                   1.241313                25597.71                     0  
    at13              39          .   22589.04    3744.026          1                1                   1.075345                21948.43                     0  
    at13              40          .   22877.01    3459.487          1                1                   1.060286                21698.34                     0  
    at13              41          .    23224.9    3460.659          1                1                    .924167                18802.83                     0  
    at13              42          .   23492.58    3318.459          1                1                   1.022089                20920.71                     0  
    at13              43          .   23716.53    4027.604          1                1                   .8733392                17581.81                     0  
    at13              44          .   24027.52    3295.391          1                1                   .9632162                19674.19                     0  
    at13              45          .   24292.38    4256.966          1                1                   1.146478                23334.83                     0  
    at13              46          .   24568.36    3938.458          1                1                   1.091487                22243.79                     0  
    at13              47          .   24859.07    3215.136          1                1                   .9756406                19958.26                     0  
    at13              48          .   25135.98    3155.276          1                1                   .7001532                14113.45                     0  
    at13              49          .   25315.82    3687.375          1                1                   1.261861                25929.58                     0  
    at13              50          .   25563.69    3757.625          1                1                   1.192135                24429.18                     0  
    at13              51          .   25944.28    3905.803          1                1                   1.043351                21227.99                     0  
    at13              52          .   26362.06    3742.825          1                1                   1.105275                22585.34                     0  
    at13              53          .   26630.58     4019.38          1                1                   1.026891                20849.86                     0  
    at13              54          .   26893.98    3318.927          1                1                   1.062419                21778.41                     0  
    at13              55          .   27261.69    3586.735          1                1                   1.297825                26719.38                     0  
