    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    au81       .2806993              .                          .1720233                  .                       .                     .                    .293411                         .                              .                       .                     .1720233                           .                                .                    .           .           .           .    .2812441                 .               .2969081                     .                          .   9810.939             0     13.3462          0               7508.565                 0                          0                     0              0           0           0           0    9756.727     .9983251     .3726687             .             .             .      .3809644                   .                 .3994651                       .                            .  
    au85       .2915426              .                          .1693321                  .                       .                     .                    .308755                         .                              .                       .                     .1693321                           .                                .                    .           .           .           .    .2936599                 .               .3135439                     .                          .    13353.7             0     34.9305          0                10561.2                 0                          0                     0              0           0           0           0    13281.35     .9979807     .3987153             .             .             .      .4047365                   .                 .4379402                       .                            .  
    au89       .3024854              .                          .1779051                  .                .1793841                     .                   .3188523                         .                       .3183769                       .                     .1779051                           .                         .1793841                    .           .           .           .    .3028251                 .                .322942                     .                   .3228534   18798.42      6057.038    52.16582          0               15245.96                 0                   14418.39                     0       2363.814           0           0           0    18764.26     .9979368     .4034372             .             .             .      .4047595                   .                 .4332621                       .                     .4362063  
    au95       .3043028              .                          .1874793                  .                .1961573                     .                   .3200964                         .                       .3187352                       .                     .1874793                           .                         .1961573                    .           .           .           .    .3049238                 .               .3247669                     .                   .3238161   21207.11      1416.435    119.8809          0                18070.6                 0                   17200.88                     0       1416.407           0           0           0    21097.89     .9904961     .3934931             .             .             .      .3940854                   .                 .4304143                       .                       .42584  
    au01       .3141239              .                          .1995999                  .                .2082784                     .                   .3309416                         .                       .3295933                       .                     .1995999                           .                         .2082784                    .           .           .           .    .3146903                 .               .3363829                     .                   .3356164   27418.53      1820.453    188.1917          0               23567.48                 0                   22438.68                     0       1820.434           0           0           0       27386     .9914727     .4087126             .             .             .      .4101203                   .                 .4667063                       .                     .4448717  
    au03       .3098915              .                           .195136                  .                .2024659                     .                   .3278978                         .                       .3266857                       .                      .195136                           .                         .2024659                    .    .4835178    .4137664    .3647899    .3105161                 .                .333738                     .                   .3331093   29554.82      2059.311    219.0015          0               26226.45                 0                   25052.73                     0       2059.293    33524.25    36530.58    38699.15    29495.79     .9912635     .4193283      2.052717      .9970759      .5624912      .4207237                   .                 .4758661                       .                     .4683772  
    au08       .3332253              .                          .1913115                  .                .1994159                     .                   .3505837                         .                       .3494984                       .                     .1913115                           .                         .1994159                    .    .4886345    .4241046    .3827727    .3332824                 .                .354258                     .                   .3535458   47415.62      10360.25    761.3362          0               37935.37                 0                   36141.46                     0       2975.538    52442.39    57042.71     59977.3    47412.06     .9964684     .4223786      2.101648      .9714255        .55898       .422765                   .                 .4852532                       .                     .4903902  
    au10       .3308726       .1968332                          .2006999           .2160486                .2090534              .3469453                   .3464269                  .3445866                       .3453157                .1968332                     .2006999                    .2160486                         .2090534             .3308726    .4927183    .4193896    .3720584    .3273597          .3485223               .3497965               .346414                   .3490225   49668.35       13018.7    798.0413    36222.3               39533.11          39657.45                    37555.4              37802.38       4000.719    53160.88    58420.54     61824.4    49892.57     .5433912     .4388444      2.548992      1.243988      .5511557       .428733            .4517499                 .4661295                .4549931                     .4668232  
    at87       .2272546              .                          .1402249                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   172301.5             0           0          0                      0                 0                          0                     0              0           0           0           0           0            1     .1869338             .             .             .             .                   .                        .                       .                            .  
    at97       .2655513              .                          .1527106                  .                       .                     .                   .2906038                         .                              .                       .                     .1527106                           .                                .                    .           .           .           .           .                 .               .3044626                     .                          .   241983.7             0    3184.322          0               201776.4                 0                          0                     0              0           0           0           0           0     .9010766     .2859122             .             .             .             .                   .                 .4188752                       .                            .  
    at00       .2562159              .                          .1657181                  .                .1704668                     .                   .2758712                         .                       .2748274                       .                     .1657181                           .                         .1704668                    .           .           .           .           .                 .               .2893591                     .                   .2891791   263713.9      12453.82    3418.961          0               219767.4                 0                     213822                     0       12453.43           0           0           0           0     .9076501     .2477573             .             .             .             .                   .                 .3878545                       .                      .328603  
    at04       .2684039              .                          .1518099                  .                .1557875                     .                   .2939972                         .                       .2930416                       .                     .1518099                           .                         .1557875                    .    .4578143    .3368939    .3101777    .2686187                 .               .3075059                     .                   .3073197   22561.14      5805.177    181.0898          0               19047.03                 0                   18484.03                     0       2787.795    27525.01    33867.86    35750.75    22549.44     .9995477     .2875513      4.862065      .7994221      .3902259      .2879932                   .                 .4192207                       .                     .4133227  
    at07       .2842349              .                          .1692624                  .                       .                     .                   .3074213                         .                              .                       .                     .1692624                           .                                .                    .     .483887    .3677845    .3380315    .2844316                 .               .3171863                     .                          .   24575.44             0    238.8732          0               20039.73                 0                          0                     0              0    31037.16    36969.54    39148.21    24506.15     .9996731     .3990022      4.095367      .8699362      .5475757      .3990032                   .                 .4157232                       .                            .  
    at10       .2792102              .                          .1547183                  .                .1597119                     .                   .3045985                         .                       .3034548                       .                     .1547183                           .                         .1597119                    .           .           .           .    .2792113                 .                .315385                     .                   .3149432   27366.04      5921.444    263.4007          0               22893.05                 0                   22088.01                     0       3491.274           0           0           0    27313.22     .9991698      .375599             .             .             .      .3753323                   .                 .4203957                       .                     .4282907  
    at13       .2804496              .                            .16426                  .                .1702413                     .                   .3057737                         .                       .3043471                       .                       .16426                           .                         .1702413                    .     .498194    .3676159    .3341645    .2810524                 .               .3181143                     .                   .3175638   29111.97      5923.832    272.5468          0               25182.37                 0                   24255.22                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824     .3480865      4.972609      .8214203      .5001544      .3493415                   .                  .409689                       .                     .4094827  
    be85       .2264945              .                          .1438714                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .     395384             0    1300.301          0                      0                 0                          0                     0              0           0           0           0           0     .9981444     .1895359             .             .             .             .                   .                        .                       .                            .  
    be88        .232142              .                          .1435133                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   432344.6             0    1369.518          0                      0                 0                          0                     0              0           0           0           0           0     .9960505     .2136673             .             .             .             .                   .                        .                       .                            .  
    be92       .2224754              .                          .1354765                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2226235                 .                      .                     .                          .   515853.7       1726.52    2732.714          0                      0                 0                          0                     0       1726.097           0           0           0    514776.7     .9916937     .1815444             .             .             .      .1820742                   .                        .                       .                            .  
    be97       .2496077              .                          .1580285                  .                 .158575                     .                   .2667747                         .                       .2664684                       .                     .1580285                           .                          .158575                    .           .           .           .    .2496077                 .               .2765152                     .                   .2771332   646403.4      109852.7    3086.913          0                 518891                 0                   492180.7                     0       8280.255           0           0           0    646403.4     .9975922     .2677873             .             .             .      .2677873                   .                 .3270869                       .                      .325756  
    br06       .5021761              .                          .2994036                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .5021751                 .                      .                     .                          .   10596.18             0    66.96161          0                      0                 0                          0                     0              0           0           0           0    10596.19     .9714159     .8747472             .             .             .      .8747435                   .                        .                       .                            .  
    br09       .4783285              .                          .2834602                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .4783275                 .                      .                     .                          .   13462.18             0    51.51075          0                      0                 0                          0                     0              0           0           0           0     13462.2     .9676905     .7997648             .             .             .      .7997625                   .                        .                       .                            .  
    br11       .4693674              .                          .2771498                  .                       .                     .                   .5227676                         .                              .                       .                     .2771498                           .                                .                    .           .           .           .     .469367                 .               .5360726                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .     .9448823     .8089101             .             .             .      .8089095                   .                 1.107119                       .                            .  
    br13        .460147              .                          .2712792                  .                       .                     .                   .5093912                         .                              .                       .                     .2712792                           .                                .                    .           .           .           .    .4601468                 .               .5214163                     .                          .   19519.09             0     41.3748          0               17814.99                 0                          0                     0              0           0           0           0    19519.09     .9448287     .7377231             .             .             .       .737722                   .                  1.05826                       .                            .  
    ca71       .3151157              .                          .1923629                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .3172926                 .                      .                     .                          .   4330.802             0           0          0                      0                 0                          0                     0              0           0           0           0    4295.719     .9882671     .5220268             .             .             .      .5352672                   .                        .                       .                            .  
    ca75       .2880325              .                          .1744836                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2902107                 .                      .                     .                          .   7433.257             0           0          0                      0                 0                          0                     0              0           0           0           0    7392.979     .9929141     .3893622             .             .             .      .4042193                   .                        .                       .                            .  
    ca81       .2830675              .                          .1731811                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2859991                 .                      .                     .                          .   13848.72             0           0          0                      0                 0                          0                     0              0           0           0           0    13728.17     .9961444     .3526039             .             .             .      .3797416                   .                        .                       .                            .  
    ca87       .2821398              .                          .1801967                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2849627                 .                      .                     .                          .   19785.42             0           0          0                      0                 0                          0                     0              0           0           0           0    19538.78     .9982343     .3160414             .             .             .       .344754                   .                        .                       .                            .  
    ca91         .28056              .                          .1681914                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2843475                 .                      .                     .                          .   23927.44             0           0          0                      0                 0                          0                     0              0           0           0           0    23664.53     .9975114     .3051365             .             .             .      .3271787                   .                        .                       .                            .  
    ca94       .2835518              .                          .1703331                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2872933                 .                      .                     .                          .   24793.41             0           0          0                      0                 0                          0                     0              0           0           0           0    24372.82     .9976541     .3112271             .             .             .      .3474539                   .                        .                       .                            .  
    ca97       .2911792              .                          .1739211                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2961511                 .                      .                     .                          .   26064.89             0           0          0                      0                 0                          0                     0              0           0           0           0    25628.79     .9986725     .3996487             .             .             .      .4424238                   .                        .                       .                            .  
    ca98       .3109312              .                          .1849652                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .3123245                 .                      .                     .                          .   27416.64             0    87.59022          0                      0                 0                          0                     0              0           0           0           0    26865.94      .997718     .4301728             .             .             .       .452298                   .                        .                       .                            .  
    ca00       .3159964              .                          .1863043                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .3177643                 .                      .                     .                          .   29007.09             0    149.7799          0                      0                 0                          0                     0              0           0           0           0    28432.82     .9974259     .4092468             .             .             .      .4309207                   .                        .                       .                            .  
    ca04       .3190819              .                          .1914364                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .      .48013    .3990295    .3631638      .32128                 .                      .                     .                          .   33925.97             0    146.5004          0                      0                 0                          0                     0              0    38081.71    43155.89    45380.42    33186.99     .9984719     .4149117      1.998605      .8385125      .5735897      .4393767                   .                        .                       .                            .  
    ca07       .3177467              .                          .1879739                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4770752    .3968613    .3613323    .3188173                 .                      .                     .                          .   39348.68             0    181.6757          0                      0                 0                          0                     0              0    43428.83     49224.3    51764.52    38457.95     .9993745     .3990252      1.859419      .7728031      .5448707       .420094                   .                        .                       .                            .  
    ca10       .3172654              .                          .1800374                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4834074    .4067698    .3588648    .3175303                 .                      .                     .                          .   42085.06             0    169.6618          0                      0                 0                          0                     0              0    45014.21    50797.02    54424.31    41259.66     .9990181     .4061388      2.059263       .884204      .5376476      .4187974                   .                        .                       .                            .  
    ca13       .3208294              .                          .1889029                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4772426    .4003378    .3576802    .3208265                 .                      .                     .                          .   46155.26             0    180.6037          0                      0                 0                          0                     0              0     49861.7    56765.16    60237.28    45369.05     .9993991       .45987      2.286431      .9498194      .6047087      .4788743                   .                        .                       .                            .  
    cn02       .4152188       .3518681                           .250148           .3492178                       .                     .                          .                         .                              .                       .                            .                           .                                .             .4152188           .           .           .           .                 .                      .                     .                          .   9213.396      582.0296    320.3727   6148.756                      0                 0                          0                     0       149.3766           0           0           0           0     .9988706     .5936992             .             .             .             .                   .                        .                       .                            .  
    co07       .5514781              .                          .3222344                  .                       .                     .                   .5833079                         .                              .                       .                     .3222344                           .                                .                    .           .           .           .    .5515708                 .               .5864083                     .                          .    6536154             0    361595.6          0                6265766                 0                          0                     0              0           0           0           0     6529464     .8888903     1.252235             .             .             .      1.251583                   .                 1.317307                       .                            .  
    cz92       .2057225              .                           .125171                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2071944                 .                      .                     .                          .   55501.32             0           0          0                      0                 0                          0                     0              0           0           0           0    54638.35     .9999313     .1344307             .             .             .      .1398505                   .                        .                       .                            .  
    cz96       .2563807              .                          .1563486                  .                       .                     .                   .2779947                         .                              .                       .                     .1563486                           .                                .                    .           .           .           .    .2563807                 .               .2912514                     .                          .   107160.5             0           0          0                97379.8                 0                          0                     0              0           0           0           0    107160.5     .9996461         .212             .             .             .          .212                   .                  .327461                       .                            .  
    cz02        .255491              .                          .1659966                  .                       .                     .                   .2724439                         .                              .                       .                     .1659966                           .                                .                    .    .4752629    .3629814    .3307831    .2556057                 .               .2830038                     .                          .   155257.8             0    2450.519          0                 141677                 0                          0                     0              0    193667.5    223957.8    235020.5    155185.3     .9999153     .2026164      2.204665       .698769       .359644      .2039974                   .                 .2808759                       .                            .  
