    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    at13       .2804496              .                          .1516628                  .                .1597227                     .                   .3082988                         .                       .3057919                       .                     .1516628                           .                         .1597227                    .     .498194    .3676159    .3341645    .2810524                 .               .3088168                     .                   .3062832   29111.97      5923.832    272.5468          0               25019.74                 0                   23614.96                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824     .3480865      4.972609      .8214203      .5001544      .3493415                   .                 .3520546                       .                     .3449554  
    cz13       .2587313              .                          .1407202                  .                .1457247                     .                   .2881873                         .                       .2861123                       .                     .1407202                           .                         .1457247                    .    .4701174    .3436319    .3234977    .2587313                 .               .2892081                     .                   .2869522   257867.2      49681.03    6428.209          0               237805.3                 0                   225687.8                     0       46675.68    307294.2      362929    375280.6    257867.2     .9992692     .2154581      2.356944      .6819993      .3511485      .2154581                   .                 .3270822                       .                     .3036101  
    dk13              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    ee13       .3508322              .                          .2007611                  .                 .204458                     .                   .3983688                         .                       .3965065                       .                     .2007611                           .                          .204458                    .    .5290836    .4220587    .4103938    .3514928                 .                .399986                     .                   .3980062   9759.141       1731.51    71.26691          0                9735.99                 0                   9452.152                     0       1066.085    11323.79     13014.3    13623.88    9733.896     .9289116     .5387384      3.379266      .8266745      .7429628      .5445955                   .                  .666166                       .                     .6470049  
    fi13              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    fr10       .2859335       .1831056                          .1899609           .2190077                .2014338              .3037727                    .302444                  .2976213                       .2999005                .1831056                     .1899609                    .2190077                         .2014338             .2859335    .4984899    .3824221    .3498489    .2859335          .3083552               .3029507              .3045025                    .300471   24756.43      7114.379    932.8526   20539.84               20393.06          20539.84                   18914.87              19825.46       2494.914     31093.8    37321.72    39379.88    24756.43     .9097843     .3109716      3.034487      1.070013      .4714454      .3109716             .384836                 .3651898                .3661886                      .357302  
    de13       .2892449              .                          .1686878                  .                .1814656                     .                   .3090798                         .                       .3060685                       .                     .1686878                           .                         .1814656                    .    .5291283    .3949061    .3564766    .2892449                 .               .3097082                     .                   .3064824   23995.86      5584.093    168.8369          0               20046.82                 0                   17956.53                     0       4449.379    28957.62    34603.93    36669.17    23995.86     .9206033      .287527      4.582183      .9566039      .4567949       .287527                   .                 .3518028                       .                     .3409546  
    gr13       .3335077              .                          .1826647                  .                .1897659                     .                   .3746224                         .                       .3713797                       .                     .1826647                           .                         .1897659                    .    .5658458    .3934283    .3809656    .3335074                 .               .3752267                     .                   .3719637   10580.17      5108.659    194.4134          0               11632.31                 0                   10890.56                     0       3059.824       11476    15275.68    15608.54    10579.86     .9829276     .4354347      1.344059      .5840673      .5571648      .4354178                   .                  .621668                       .                     .6293835  
    is10              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    ie10              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    nl13       .2613804              .                          .1257183                  .                .1460219                     .                   .2884962                         .                       .2829309                       .                     .1257183                           .                         .1460219                    .    .4763199    .3561285    .3182774    .2614244                 .               .2892295                     .                   .2833756   25810.58      4514.255    302.3761          0               22851.15                 0                   20599.41                     0       3365.906    32639.73    39334.13    41499.23    25808.13     .9919506     .2493643      4.430158      1.175146      .3728221      .2494182                   .                 .3269125                       .                     .3078009  
    es13       .3406728              .                           .173889                  .                .1806536                     .                   .3703761                         .                       .3684855                       .                      .173889                           .                         .1806536                    .    .5257772    .4163807    .3839227    .3410795                 .               .3705918                     .                   .3686942   17556.52      4759.512    130.6037          0               16184.47                 0                   15436.41                     0       1883.058    18889.04    23164.04    24713.59    17545.59     .9845782     .5396023       2.57564       1.03904      .6700701       .537031                   .                 .6150196                       .                     .6150941  
    uk13              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
