    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    at13               1          .   2267.125    4348.065          1                1                   .4392382                8719.066              .5777676  
    at13               2          .   6332.745    4584.597          1                1                   .6274818                 12857.3                     0  
    at13               3          .   8362.104     3790.75          1                1                   .6777821                14174.58                     0  
    at13               4          .   9592.485    3883.254          1                1                   .7024621                14701.96                     0  
    at13               5          .    10341.8    4145.021          1                1                   .7149222                14915.13                     0  
    at13               6          .   11035.58    3783.926          1                1                   .7297119                15333.96                     0  
    at13               7          .    11559.3    3753.939          1                1                   .7422318                15620.48                     0  
    at13               8          .   12035.01    4154.074          1                1                   .7460113                15605.98                     0  
    at13               9          .   12673.22    3894.067          1                1                   .7562006                15897.31                     0  
    at13              10          .   13229.08    3828.574          1                1                   .7652519                16115.26                     0  
    at13              11          .   13726.43    3545.029          1                1                   .7686364                16260.69                     0  
    at13              12          .    14262.5    3870.861          1                1                   .7866294                 16581.4                     0  
    at13              13          .   14648.29    3792.619          1                1                   .7867802                16604.07                     0  
    at13              14          .   15103.71    3746.181          1                1                   .7932765                16760.36                     0  
    at13              15          .    15516.6    3433.435          1                1                   .7984961                 16953.9                     0  
    at13              16          .    15813.8    4355.908          1                1                   .8155637                17106.74                     0  
    at13              17          .      16223    3892.342          1                1                   .8247911                17426.85                     0  
    at13              18          .   16510.55    3413.323          1                1                   .8237518                17521.91                     0  
    at13              19          .   16776.94    3991.101          1                1                   .8294102                17505.46                     0  
    at13              20          .   17143.73    4022.375          1                1                   .8547261                18062.12                     0  
    at13              21          .   17484.54    3954.908          1                1                   .8636719                 18278.2                     0  
    at13              22          .   17849.56    3720.635          1                1                   .8708318                18495.64                     0  
    at13              23          .   18157.09    3462.056          1                1                   .8806419                18778.16                     0  
    at13              24          .   18463.57    3780.049          1                1                    .889418                18895.33                     0  
    at13              25          .   18776.34    3582.182          1                1                   .8978575                19132.31                     0  
    at13              26          .    19074.6    3552.022          1                1                   .9089976                 19388.1                     0  
    at13              27          .   19351.15    4043.296          1                1                   .9147594                19395.31                     0  
    at13              28          .   19622.42    3522.593          1                1                    .929461                19851.56                     0  
    at13              29          .   19917.88    3610.038          1                1                   .9288238                19815.78                     0  
    at13              30          .   20247.97     3490.18          1                1                   .9452513                20211.58                     0  
    at13              31          .   20517.83     3340.76          1                1                   .9428607                20195.16                     0  
    at13              32          .   20744.04    3656.827          1                1                   .9562801                20416.33                     0  
    at13              33          .   20980.97     3880.96          1                1                   .9637491                20527.52                     0  
    at13              34          .   21241.58     3308.25          1                1                   .9682608                20769.45                     0  
    at13              35          .   21507.07    3579.655          1                1                   .9786486                20934.04                     0  
    at13              36          .   21785.78    3416.375          1                1                   .9873547                21168.43                     0  
    at13              37          .   22060.79    3393.176          1                1                   .9843963                 21108.2                     0  
    at13              38          .   22292.04    3261.215          1                1                   .9942436                 21360.3                     0  
    at13              39          .   22589.04    3744.026          1                1                   .9988425                21343.67                     0  
    at13              40          .   22877.01    3459.487          1                1                    1.01304                21730.41                     0  
    at13              41          .    23224.9    3460.659          1                1                   1.018028                21841.31                     0  
    at13              42          .   23492.58    3318.459          1                1                    1.02484                22028.28                     0  
    at13              43          .   23716.53    4027.604          1                1                   1.036159                22105.61                     0  
    at13              44          .   24027.52    3295.391          1                1                   1.042869                22435.88                     0  
    at13              45          .   24292.38    4256.966          1                1                   1.042423                22188.64                     0  
    at13              46          .   24568.36    3938.458          1                1                   1.048529                22403.37                     0  
    at13              47          .   24859.07    3215.136          1                1                   1.060329                22844.94                     0  
    at13              48          .   25135.98    3155.276          1                1                   1.070064                23076.74                     0  
    at13              49          .   25315.82    3687.375          1                1                   1.066353                22862.69                     0  
    at13              50          .   25563.69    3757.625          1                1                   1.080548                23161.81                     0  
    at13              51          .   25944.28    3905.803          1                1                   1.090677                23351.05                     0  
    at13              52          .   26362.06    3742.825          1                1                   1.100897                23619.12                     0  
    at13              53          .   26630.58     4019.38          1                1                   1.095821                23437.71                     0  
    at13              54          .   26893.98    3318.927          1                1                   1.099385                23690.03                     0  
    at13              55          .   27261.69    3586.735          1                1                   1.122456                24138.26                     0  
    at13              56          .   27568.35    3068.674          1                1                    1.13106                24457.93                     0  
    at13              57          .   27927.12    3439.018          1                1                   1.139328                24550.86                     0  
    at13              58          .   28258.01    3048.542          1                1                   1.146107                24798.35                     0  
    at13              59          .   28587.36    3424.156          1                1                   1.139987                24569.21                     0  
    at13              60          .    29008.3    3767.713          1                1                   1.159274                24914.41                     0  
    at13              61          .   29399.77    3890.088          1                1                   1.170529                25135.12                     0  
    at13              62          .   29765.72    3705.534          1                1                   1.184226                25486.01                     0  
    at13              63          .    30105.2     4369.78          1                1                   1.191571                25485.82                     0  
    at13              64          .   30513.19    3808.614          1                1                     1.1994                25798.86                     0  
    at13              65          .   30863.74     3597.39          1                1                   1.203133                 25934.2                     0  
    at13              66          .   31217.94    3486.131          1                1                   1.207677                26062.96                     0  
    at13              67          .    31527.7    3664.673          1                1                   1.225723                26421.22                     0  
    at13              68          .   31938.63    3994.006          1                1                   1.224528                 26313.3                     0  
    at13              69          .   32289.75    3500.354          1                1                   1.218374                26297.93                     0  
    at13              70          .   32656.07    3574.386          1                1                   1.236854                26691.64                     0  
    at13              71          .   33112.67    3668.994          1                1                    1.25383                27046.74                     0  
    at13              72          .   33526.91    3675.418          1                1                   1.264094                27273.98                     0  
    at13              73          .   33954.62    3671.002          1                1                   1.265537                27307.25                     0  
    at13              74          .   34372.57    3332.077          1                1                   1.278278                27674.92                     0  
    at13              75          .    34774.9    3755.808          1                1                    1.28604                 27743.4                     0  
    at13              76          .   35359.34    3853.541          1                1                   1.297605                27977.09                     0  
    at13              77          .   35889.99      3329.3          1                1                   1.321991                28650.13                     0  
    at13              78          .   36366.48    3537.428          1                1                   1.321543                28588.77                     0  
    at13              79          .    36959.2    3930.943          1                1                   1.335038                 28792.5                     0  
    at13              80          .   37646.64    3176.272          1                1                   1.333634                28947.45                     0  
