    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    au81              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    au85              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    au89       .3017817              .                          .1783833                  .                .1800572                     .                   .3180287                         .                       .3175286                       .                     .1783833                           .                         .1800572                    .           .           .           .    .3021271                 .                .319958                     .                   .3194883   18845.35      6117.478    52.15847          0               15313.45                 0                   14481.35                     0       2387.499           0           0           0    18810.85     .9880087     .3985514             .             .             .      .3999006                   .                  .425249                       .                     .4295638  
    au95       .3043028              .                          .1400752                  .                .1468507                     .                   .3267254                         .                       .3254327                       .                     .1400752                           .                         .1468507                    .           .           .           .    .3049238                 .               .3295358                     .                   .3279884   21207.11      1416.435    119.8809          0                18228.4                 0                    17285.6                     0       1416.407           0           0           0    21097.89     .9904961     .3934931             .             .             .      .3940854                   .                 .4246396                       .                     .4226181  
    au01       .3141239              .                          .1469887                  .                .1534249                     .                   .3389971                         .                       .3378379                       .                     .1469887                           .                         .1534249                    .           .           .           .    .3146903                 .                .342081                     .                   .3406605   27418.53      1820.453    188.1917          0               23842.95                 0                   22628.32                     0       1820.434           0           0           0       27386     .9914727     .4087126             .             .             .      .4101203                   .                 .4586261                       .                     .4537221  
    au03       .3098915              .                          .1460394                  .                .1514612                     .                   .3358426                         .                        .334791                       .                     .1460394                           .                         .1514612                    .    .4835178    .4137664    .3647899    .3105161                 .               .3392802                     .                   .3379497   29554.82      2059.311    219.0015          0               26438.74                 0                   25167.76                     0       2059.293    33524.25    36530.58    38699.15    29495.79     .9912635     .4193283      2.052717      .9970759      .5624912      .4207237                   .                 .4637977                       .                     .4500424  
    au08       .3332253              .                          .1767622                  .                .1846342                     .                   .3524676                         .                       .3513308                       .                     .1767622                           .                         .1846342                    .    .4886345    .4241046    .3827727    .3332824                 .               .3537214                     .                   .3527124   47415.62      10360.25    761.3362          0               38119.43                 0                   36203.25                     0       2975.538    52442.39    57042.71     59977.3    47412.06     .9964684     .4223786      2.101648      .9714255        .55898       .422765                   .                 .4568571                       .                     .4542237  
    au10       .3308726       .1968332                          .1820088           .2160486                .1897034              .3470088                   .3487934                  .3445543                       .3476934                .1968332                     .1820088                    .2160486                         .1897034             .3308726    .4927183    .4193896    .3720584    .3273597          .3485977                .349951              .3463735                   .3489545   49668.35       13018.7    798.0413    36222.3               39797.23          39797.23                   37722.94              37722.94       4000.719    53160.88    58420.54     61824.4    49892.57     .5433912     .4388444      2.548992      1.243988      .5511557       .428733            .4530304                 .4614846                 .450672                      .463157  
    at87              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    at97              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
