    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    at13       .2804496              .                          .1829539                  .                .1928512                     .                   .3015911                         .                       .3101943                       .                     .1829539                           .                         .1928512                    .     .498194    .3676159    .3341645    .2810524                 .               .3139908                     .                   .3420943   29111.97      5923.832    272.5468          0               25077.04                 0                   34502.59                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824     .3480865      4.972609      .8214203      .5001544      .3493415                   .                  .425063                       .                     .5392992  
    cz13       .2587139              .                          .1699214                  .                       .                     .                   .2811132                         .                              .                       .                     .1699214                           .                                .                    .    .4701374    .3435986    .3234764    .2587139                 .               .2989595                     .                          .   257817.8             0    6427.753          0               239784.8                 0                          0                     0              0    307207.5    362850.9    375197.5    257817.8            1     .2154142      2.356415      .6816555      .3510765      .2154142                   .                 .3660257                       .                            .  
    dk13       .2505052              .                          .1513362                  .                       .                     .                   .2876135                         .                              .                       .                     .1513362                           .                                .                    .    .4847886    .3476737    .2904432    .2537107                 .               .3253016                     .                          .   258096.8      26010.28    2591.489          0               250283.8                 0                          0                     0        12903.6    287665.7    347787.9    378921.3    255966.8     .9985921     .2788601      6.691142      1.493721      .3568493      .2878903                   .                 .4744265                       .                            .  
    ee13       .3510239              .                          .2091059                  .                       .                     .                   .3966196                         .                              .                       .                     .2091059                           .                                .                    .    .5271519    .4220707    .4101429    .3516705                 .               .4169419                     .                          .   9751.798             0    78.11062          0               9833.768                 0                          0                     0              0    11338.89    13004.52    13619.23    9727.186     .9549304     .5385627      3.342704      .8291608      .7428449      .5442584                   .                 .7933131                       .                            .  
    fi13        .260871              .                          .1612451                  .                       .                     .                   .2902979                         .                              .                       .                     .1612451                           .                                .                    .    .4978559     .370591    .3231433    .2608847                 .               .3138993                     .                          .   28632.07      3865.259    205.6196          0                  25282                 0                          0                     0       1963.433    33669.82    40506.61    43731.56    28638.03     .9997375     .2379965      6.262046      1.229653      .3747305      .2380372                   .                 .4314829                       .                            .  
    fr10       .2868017       .1846008                          .1665156           .2249723                .1766262              .3045158                   .3075603                  .2976072                       .3157983                .1846008                     .1665156                    .2249723                         .1766262             .2868017    .5036922    .3882028    .3519119    .2868017          .3089683               .3154401                .30457                   .3361923   24254.89             0    904.6234   20107.91               20033.79          20107.91                   27220.43              19435.61       2594.991    30223.21    36300.56    38454.18    24254.89     .9768795     .3097872      3.149966      1.111982      .4732901      .3097872            .3800768                 .3954219                .3604208                     .4887139  
    de13       .2916366              .                          .1680882                  .                       .                     .                    .312211                         .                              .                       .                     .1680882                           .                                .                    .    .5282162    .3947708    .3585769    .2916366                 .               .3193473                     .                          .   24305.99             0    164.2897          0               20517.76                 0                          0                     0              0    29590.45    35241.23    37256.43    24305.99      .998818     .2895501      4.605841      .9272143      .4588213      .2895501                   .                 .3965808                       .                            .  
    gr13       .3335077              .                          .1927318                  .                .2004554                     .                   .3722537                         .                       .3986818                       .                     .1927318                           .                         .2004554                    .    .5658458    .3934283    .3809656    .3335074                 .               .3871793                     .                   .4466801   10580.17      5108.659    194.4134          0               11721.54                 0                   17170.94                     0       3059.824       11476    15275.68    15608.54    10579.86     .9829276     .4354347      1.344059      .5840673      .5571648      .4354178                   .                 .6993908                       .                     .8196182  
    is10       .2455378              .                          .1540684                  .                       .                     .                   .2754559                         .                              .                       .                     .1540684                           .                                .                    .    .4038374    .3240428    .2923678    .2460416                 .               .3069766                     .                          .    3888528             0    60623.36          0                4699026                 0                          0                     0              0     4708085     5328620     5634431     3876983     .9988746     .2667855      3.914093      .8283916      .3757754      .2685671                   .                 .4085256                       .                            .  
    ie10       .2942292              .                           .185008                  .                       .                     .                   .3175686                         .                              .                       .                      .185008                           .                                .                    .    .5791812    .4920239    .3660443    .3047962                 .               .3286694                     .                          .    25385.8             0    226.6691          0               22404.98                 0                          0                     0              0    25037.88    28935.29    37342.36    28995.38     .9950947     .3643841      1.601705      1.246208      .5444129       .398566                   .                 .4437414                       .                            .  
