    ccyy   dhi_quantiles   hmc_q      dhi_q   hmchous_q   prop4_q   prop4_scaled_q   hmc_unscaled_q   hmc_scaled_unif_q   hmc_medianized_predict_q   hmc_pred_scaled_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    us10               1       .   7531.113           0         1                1                .                   .                   .6464732            16857.79                       .              .2718397  
    us10               2       .   14182.42           0         1                1                .                   .                   .7609791             19843.7                       .              .0358845  
    us10               3       .    18627.8           0         1                1                .                   .                    .832019            21696.18                       .               .005501  
    us10               4       .   22975.44           0         1                1                .                   .                   .9222956            24050.28                       .              .0007005  
    us10               5       .   27724.74           0         1                1                .                   .                   1.065036            27772.44                       .                     0  
    us10               6       .   33021.24           0         1                1                .                   .                   1.172903            30585.24                       .                     0  
    us10               7       .   39129.36           0         1                1                .                   .                   1.334288            34793.62                       .                     0  
    us10               8       .   46618.08           0         1                1                .                   .                   1.484632            38714.05                       .                     0  
    us10               9       .    57720.5           0         1                1                .                   .                   1.689413            44054.05                       .                     0  
    us10              10       .   99064.74           0         1                1                .                   .                   2.368898            61772.67                       .                     0  
