    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_unscaled_q   hmc_scaled_unif_q   hmc_medianized_predict_q   hmc_pred_scaled_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    fr10               1   12251.64   8381.101    2164.747   .0797338         .0797338          11358.1            12681.54                   .7308117             12437.5                16481.55               .072986  
    fr10               2   13530.88   13163.76    2400.241   .0016829         .0016829         12575.58            14040.88                   .7885894             13420.8                17683.23                     0  
    fr10               3   15523.54   15959.58    2517.693   .0037109         .0037109         14250.64            15911.11                   .8264481            14065.11                18531.61                     0  
    fr10               4   16719.89   18353.35    2450.935   .0011396         .0011396         15299.72            17082.43                   .9798993            16676.66                22497.67                     0  
    fr10               5   18753.82   20584.32    2453.452   .0020021         .0020021          16944.6            18918.97                   1.080316            18385.63                24967.13                     0  
    fr10               6   19656.13   23046.87    2393.182   .0000649         .0000649         17738.68            19805.57                   1.162469            19783.77                27033.62                     0  
    fr10               7   21802.13   25836.63    2325.616   .0015003         .0015003         19469.57            21738.14                   1.254537            21350.65                29410.31                     0  
    fr10               8   23471.34   29311.87    2568.596          0                0         20847.96            23277.14                   1.389106            23640.85                 32581.5                     0  
    fr10               9   27076.85   35045.64    2521.215          0                0         23716.94             26480.4                   1.570833            26733.62                37195.84                     0  
    fr10              10   36628.56   57918.04    3154.365          0                0         30671.28            34245.06                   2.186184            37206.12                52120.32                     0  
