    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    at13               1          .   2267.125    4348.065          1                1                    .665689                14159.84              .6527617  
    at13               2          .   6332.745    4584.597          1                1                   .7317129                15615.51              .1724949  
    at13               3          .   8362.104     3790.75          1                1                   .7363099                15930.28              .0318852  
    at13               4          .   9592.485    3883.254          1                1                   .8792936                19193.29              .0089435  
    at13               5          .    10341.8    4145.021          1                1                   .5912233                12501.26                     0  
    at13               6          .   11035.58    3783.926          1                1                   .7551824                16365.98                     0  
    at13               7          .    11559.3    3753.939          1                1                   .7198818                15562.27              .0186294  
    at13               8          .   12035.01    4154.074          1                1                   .8502432                18454.05                     0  
    at13               9          .   12673.22    3894.067          1                1                   .7362203                15901.01                     0  
    at13              10          .   13229.08    3828.574          1                1                   .7322707                15827.45                     0  
    at13              11          .   13726.43    3545.029          1                1                   .7665746                16690.82                     0  
    at13              12          .    14262.5    3870.861          1                1                   .8194572                17820.84                     0  
    at13              13          .   14648.29    3792.619          1                1                   .7482502                16204.31                     0  
    at13              14          .   15103.71    3746.181          1                1                   .7067226                15261.77                     0  
    at13              15          .    15516.6    3433.435          1                1                   .8138642                17807.45                     0  
    at13              16          .    15813.8    4355.908          1                1                   .7231007                15477.74                     0  
    at13              17          .      16223    3892.342          1                1                   .8859971                19345.01                     0  
    at13              18          .   16510.55    3413.323          1                1                   .7711053                16829.67                     0  
    at13              19          .   16776.94    3991.101          1                1                   .7819607                16927.08                     0  
    at13              20          .   17143.73    4022.375          1                1                   .8470266                18414.79                     0  
    at13              21          .   17484.54    3954.908          1                1                   .8456403                18400.68                     0  
    at13              22          .   17849.56    3720.635          1                1                   .9739069                21411.39                     0  
    at13              23          .   18157.09    3462.056          1                1                   .9174064                20180.48                     0  
    at13              24          .   18463.57    3780.049          1                1                    .884424                19338.42                     0  
    at13              25          .   18776.34    3582.182          1                1                   .8659898                18966.71                     0  
    at13              26          .    19074.6    3552.022          1                1                   .8212911                17946.98                     0  
    at13              27          .   19351.15    4043.296          1                1                   .8176829                17734.63                     0  
    at13              28          .   19622.42    3522.593          1                1                   .8995968                19755.07                     0  
    at13              29          .   19917.88    3610.038          1                1                   .8277016                18079.08                     0  
    at13              30          .   20247.97     3490.18          1                1                   .9233909                20310.66                     0  
    at13              31          .   20517.83     3340.76          1                1                   .7954471                17408.43                     0  
    at13              32          .   20744.04    3656.827          1                1                   .9886423                21766.98                     0  
    at13              33          .   20980.97     3880.96          1                1                   .9776013                 21454.1                     0  
    at13              34          .   21241.58     3308.25          1                1                    .931321                 20540.9                     0  
    at13              35          .   21507.07    3579.655          1                1                   .9819916                 21634.4                     0  
    at13              36          .   21785.78    3416.375          1                1                   1.002469                22148.19                     0  
    at13              37          .   22060.79    3393.176          1                1                   .8166143                17881.29                     0  
    at13              38          .   22292.04    3261.215          1                1                   .9195365                20282.35                     0  
    at13              39          .   22589.04    3744.026          1                1                   1.066615                 23536.7                     0  
    at13              40          .   22877.01    3459.487          1                1                   1.017612                22485.01                     0  
    at13              41          .    23224.9    3460.659          1                1                   .9744894                21493.25                     0  
    at13              42          .   23492.58    3318.459          1                1                   1.147214                25501.84                     0  
    at13              43          .   23716.53    4027.604          1                1                   .9566735                20934.33                     0  
    at13              44          .   24027.52    3295.391          1                1                    .985877                 21798.6                     0  
    at13              45          .   24292.38    4256.966          1                1                   .9439311                20580.96                     0  
    at13              46          .   24568.36    3938.458          1                1                   1.093247                24097.79                     0  
    at13              47          .   24859.07    3215.136          1                1                   1.121613                24940.46                     0  
    at13              48          .   25135.98    3155.276          1                1                   1.049221                23291.85                     0  
    at13              49          .   25315.82    3687.375          1                1                   1.101606                24356.11                     0  
    at13              50          .   25563.69    3757.625          1                1                   1.100145                24304.02                     0  
    at13              51          .   25944.28    3905.803          1                1                   1.020041                 22423.3                     0  
    at13              52          .   26362.06    3742.825          1                1                     .99832                21966.83                     0  
    at13              53          .   26630.58     4019.38          1                1                    1.16388                25700.42                     0  
    at13              54          .   26893.98    3318.927          1                1                   1.086718                24110.86                     0  
    at13              55          .   27261.69    3586.735          1                1                   1.194513                26518.65                     0  
    at13              56          .   27568.35    3068.674          1                1                   1.120698                   24958                     0  
    at13              57          .   27927.12    3439.018          1                1                   1.115399                24738.64                     0  
    at13              58          .   28258.01    3048.542          1                1                   1.036479                23027.02                     0  
    at13              59          .   28587.36    3424.156          1                1                    1.00753                 22262.5                     0  
    at13              60          .    29008.3    3767.713          1                1                    1.04018                22922.69                     0  
    at13              61          .   29399.77    3890.088          1                1                   1.223241                27099.26                     0  
    at13              62          .   29765.72    3705.534          1                1                    1.14017                25237.95                     0  
    at13              63          .    30105.2     4369.78          1                1                   1.269066                28026.49                     0  
    at13              64          .   30513.19    3808.614          1                1                   1.255322                 27858.3                     0  
    at13              65          .   30863.74     3597.39          1                1                   1.101631                24380.39                     0  
    at13              66          .   31217.94    3486.131          1                1                   1.179244                26194.11                     0  
    at13              67          .    31527.7    3664.673          1                1                    1.27999                28463.34                     0  
    at13              68          .   31938.63    3994.006          1                1                   1.189948                26306.44                     0  
    at13              69          .   32289.75    3500.354          1                1                   1.141359                25319.32                     0  
    at13              70          .   32656.07    3574.386          1                1                   1.224709                27216.16                     0  
    at13              71          .   33112.67    3668.994          1                1                   1.272542                28290.98                     0  
    at13              72          .   33526.91    3675.418          1                1                   1.221331                27111.89                     0  
    at13              73          .   33954.62    3671.002          1                1                    1.16111                25728.49                     0  
    at13              74          .   34372.57    3332.077          1                1                   1.283819                28638.99                     0  
    at13              75          .    34774.9    3755.808          1                1                   1.219155                27040.68                     0  
    at13              76          .   35359.34    3853.541          1                1                   1.286553                28564.49                     0  
    at13              77          .   35889.99      3329.3          1                1                   1.232571                27461.46                     0  
    at13              78          .   36366.48    3537.428          1                1                   1.202876                26723.93                     0  
    at13              79          .    36959.2    3930.943          1                1                   1.328087                29499.02                     0  
    at13              80          .   37646.64    3176.272          1                1                   1.306327                29197.49                     0  
    at13              81          .   38224.92    3290.287          1                1                   1.429522                31999.88                     0  
    at13              82          .   38884.07    4072.534          1                1                   1.331251                29534.49                     0  
    at13              83          .   39584.43    3539.515          1                1                   1.289922                28724.66                     0  
    at13              84          .   40375.78    4031.666          1                1                   1.260905                 27927.9                     0  
    at13              85          .   41191.04    3560.178          1                1                   1.485677                33219.86                     0  
    at13              86          .   41836.87     3487.26          1                1                   1.458854                32622.39                     0  
    at13              87          .   42555.23    3245.293          1                1                   1.421874                31835.89                     0  
    at13              88          .   43401.45    3686.114          1                1                   1.361589                30333.77                     0  
    at13              89          .    44469.3    4371.963          1                1                   1.429409                31712.39                     0  
    at13              90          .   45628.72    3571.117          1                1                   1.351738                30137.56                     0  
    at13              91          .   46958.15    3604.041          1                1                   1.337219                29795.09                     0  
    at13              92          .   48394.22     3862.52          1                1                   1.567995                35032.83                     0  
    at13              93          .   50601.39    4075.662          1                1                   1.520415                33882.76                     0  
    at13              94          .   53049.49    3965.811          1                1                   1.482229                33033.75                     0  
    at13              95          .   55650.28    4323.415          1                1                   1.598112                35603.88                     0  
    at13              96          .   58871.79    4167.349          1                1                   1.650348                36845.93                     0  
    at13              97          .   62873.71    4644.156          1                1                   1.823092                40691.96                     0  
    at13              98          .   67515.63    4168.351          1                1                   1.582805                35292.79                     0  
    at13              99          .   76814.66     4935.05          1                1                   1.882639                 41984.4                     0  
    at13             100          .   136418.6    6238.786          1                1                   2.466339                55061.01                     0  
    au10               1   28063.68   3440.795    3366.562   .8313571         .8469284                   .5978405                24142.79              .6682763  
    au10               2   23488.59   9528.612    5181.142   .4964584         .5094401                   .7842069                25857.77              .2303983  
    au10               3   22565.69   12430.78    3690.045   .5193995         .5245132                   .6780092                22761.98              .0179019  
    au10               4   22846.34    14480.7    3926.124   .4459604         .4585197                   .7350364                25841.96              .0080099  
    au10               5   18895.28   15755.66     3649.62   .4842972         .4842972                   .7029629                23680.58              .0079419  
    au10               6    22764.7   16631.79    4035.115   .4184311         .4184311                   .7202016                23751.89                     0  
    au10               7   20579.48   17335.77    2784.145   .4594749         .4619969                   .7201884                22266.06                     0  
    au10               8   19389.11    17904.2     2966.68   .4438896         .4447213                   .7281928                22204.65                     0  
    au10               9   19755.16   18376.37    3155.425   .3842306         .3848311                   .7668005                25279.09                     0  
    au10              10   20250.16   18824.77    3511.422   .4510908         .4528705                   .7869828                22963.86                     0  
    au10              11   21682.95   19320.44    3338.556   .5082183         .5082183                     .83512                   26473                     0  
    au10              12   22578.39   19866.08    3846.918   .4359057         .4359057                   .7913738                26045.24                     0  
    au10              13   22632.91   20384.88    3467.509   .4590605         .4590605                   .8042339                26736.67              .0002212  
    au10              14   21548.72   20886.36     3433.92   .4297116         .4297116                   .7277891                23941.22                     0  
    au10              15   20450.19   21512.33    3507.583   .4113969         .4113969                   .8114926                27382.34                     0  
    au10              16   20758.22   22107.29    3037.685   .4082437         .4091276                   .8035741                25176.93                     0  
    au10              17   21726.25   22688.05    4511.422   .4206601         .4206601                   .7229961                21583.55                     0  
    au10              18   24290.25   23196.51    4354.803   .4416214         .4416214                   .7340088                25208.09                     0  
    au10              19   21280.96   23721.05    2761.018    .546353          .546353                   .8114361                28352.33                     0  
    au10              20   26403.16   24285.52    4566.623   .4160174         .4216178                   .7362955                23741.75                     0  
