    ccyy   dhi_quantiles   hmc_q      dhi_q   hmchous_q   prop4_q   prop4_scaled_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    us10               1       .   7531.113           0         1                1                   .5961821                       .              .1834964  
    us10               2       .   14182.42           0         1                1                    .743179                       .              .0012644  
    us10               3       .    18627.8           0         1                1                   .8209044                       .                     0  
    us10               4       .   22975.44           0         1                1                   .9113935                       .                     0  
    us10               5       .   27724.74           0         1                1                   1.029454                       .                     0  
    us10               6       .   33021.24           0         1                1                   1.129414                       .                     0  
    us10               7       .   39129.36           0         1                1                   1.260277                       .                     0  
    us10               8       .   46618.08           0         1                1                   1.390551                       .                     0  
    us10               9       .    57720.5           0         1                1                   1.565718                       .                     0  
    us10              10       .   99064.74           0         1                1                   2.109277                       .                     0  
