    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    au10               1   27893.77   3433.401    3378.276   .6854965          .713672                   .7686729                24501.83              .9254755  
    au10               2   24389.65   9186.863     5537.32   .2140542         .2378953                    .793191                24219.81              .1271533  
    au10               3   22234.41   12258.33    3433.132   .0554645          .064722                   .7502983                23845.82                     0  
    au10               4   22380.16   14403.68    4033.292   .0351437         .0577772                   .7922279                24966.72                     0  
    au10               5   19526.21   15667.17    3703.202   .0037038         .0037038                   .7657016                24231.89                     0  
    au10               6   21179.99   16552.72    3680.279   .0245009         .0245009                   .7495907                23693.52                     0  
    au10               7   22663.05   17230.15    3166.612   .0788523         .0834823                   .7416444                23688.44                     0  
    au10               8    17716.7   17807.81     3342.59   .0069246         .0084184                   .7349486                23368.51                     0  
    au10               9   22345.73   18286.15    2540.896   .0203574         .0214079                   .7547048                24458.93                     0  
    au10              10   18568.54   18669.86    3654.255          0         .0033953                   .7639607                 24197.8                     0  
    au10              11   20284.39   19153.05    3785.544   .0011878         .0011878                   .7721266                24408.63                     0  
    au10              12   22486.26   19718.75    3485.028          0                0                   .7913116                25219.69                     0  
    au10              13   23003.65   20267.89    3451.137   .0065895         .0065895                   .8085884                25827.34                     0  
    au10              14   20901.56   20715.54    3717.392   .0004115         .0004115                   .7730504                24475.52                     0  
    au10              15   20978.28   21326.21    3326.868          0                0                   .7568641                24125.17                     0  
    au10              16   23152.27   21880.67    3112.059   .0195403         .0195403                   .7695776                24670.76                     0  
    au10              17   20073.42   22391.03    3716.332          0         .0016115                   .7822648                24790.78                     0  
    au10              18   22387.09   22915.13    4309.667   .0125275         .0125275                   .7659764                23926.83                     0  
    au10              19   23653.74   23449.14    3762.573          0                0                   .7921867                25105.68                     0  
    au10              20   23648.86   24049.03    4469.383          0                0                   .7959484                24867.69                     0  
    au10              21   25247.75   24596.98     4205.64          0         .0102155                    .824047                25964.12                     0  
    au10              22   25384.74   25189.37    4018.261   .0071321         .0071321                   .7835667                 24678.7                     0  
    au10              23   22248.96   25806.97    4241.273          0                0                   .8018882                25188.83                     0  
    au10              24   25834.15   26464.11    3426.129          0                0                   .8242568                26375.45                     0  
    au10              25   25158.73   27010.84    3594.747   .0074352         .0074352                   .8529351                27267.51                     0  
    au10              26   24711.13   27583.48    4022.716          0                0                   .8368177                26495.14                     0  
    au10              27   23596.71   28157.03    3121.565   .0005618         .0005618                   .8560119                27617.93                     0  
    au10              28   26118.19   28823.48    3509.607          0                0                   .8496209                27198.46                     0  
    au10              29   28489.05   29465.97    3074.147          0                0                   .8589246                27741.99                     0  
    au10              30   28463.93   30025.33    3689.636   .0157885         .0157885                   .9045413                28980.88                     0  
    au10              31   31065.45   30623.11    3337.551   .0163875         .0163875                   .8858495                28525.02                     0  
    au10              32   26965.92   31267.82    3141.496          0                0                   .8935436                28889.46                     0  
    au10              33   26704.96   31921.11    4865.094          0                0                    .904476                 28369.2                     0  
    au10              34   26112.67   32425.69    4746.947          0                0                   .9114641                28669.13                     0  
    au10              35   31768.09   32911.45    4510.893   .0390306         .0390306                    .924238                 29227.8                     0  
    au10              36   30932.03   33576.16    3533.775   .0180216         .0180216                   .9369014                30166.92                     0  
    au10              37   27167.53   34150.49    3014.601          0                0                    .945187                30719.09                     0  
    au10              38   30701.63   34747.85    4222.912          0                0                   .9620478                30668.47                     0  
    au10              39   31900.24   35330.13    4497.556          0                0                   .9657013                30650.86                     0  
    au10              40   29231.35      35858    3223.778          0                0                   1.033291                33619.77                     0  
    au10              41    27172.4   36432.98    3783.192          0                0                   .9468324                30376.79                     0  
    au10              42    30546.9   37040.88    4851.663          0                0                   1.003166                31746.85                     0  
    au10              43   30631.39   37642.52    4144.519          0                0                   1.026946                32925.66                     0  
    au10              44   30620.08   38073.02    3902.007          0                0                   1.024726                32975.58                     0  
    au10              45      29626   38543.68    3509.194          0                0                   1.011025                32711.31                     0  
    au10              46   34160.09   39099.25    4368.308          0                0                   1.030797                32941.18                     0  
    au10              47   31541.42   39715.95    4271.428          0         .0028281                   1.033758                33092.51                     0  
    au10              48   29695.49    40463.9    3437.313          0                0                   1.050669                34102.58                     0  
    au10              49   32508.74      41246    3049.217          0                0                   1.037578                33856.68                     0  
    au10              50   35706.45   41871.46    4146.544          0                0                   1.066708                34282.64                     0  
    au10              51   33376.74   42619.48    4382.367          0                0                   1.096759                35186.76                     0  
    au10              52   33263.41   43334.77    3740.574          0                0                   1.099771                35622.39                     0  
    au10              53   29759.27   43944.89    3055.845          0                0                   1.047447                34190.32                     0  
    au10              54    37962.3   44463.08    4591.452          0                0                   1.120813                35899.89                     0  
    au10              55   32091.95   45082.44    3096.967          0                0                    1.06151                 34649.3                     0  
    au10              56   34677.73    45673.6    3589.909          0                0                   1.098992                35673.91                     0  
    au10              57    36619.6   46472.54    4134.059          0                0                   1.104356                35574.98                     0  
    au10              58   36104.66   47220.09    3061.631          0                0                   1.164107                38171.75                     0  
    au10              59   41724.87   48026.17    5509.379          0                0                   1.203786                38257.86                     0  
    au10              60   36902.94   48950.98    2923.458          0                0                   1.152487                37846.51                     0  
    au10              61   33571.33   49574.38    2183.511          0                0                   1.154941                38313.96                     0  
    au10              62   36656.73   50361.29    4327.125          0                0                   1.205997                38946.31                     0  
    au10              63   40734.41   51237.36    4250.721          0                0                   1.231585                39859.87                     0  
    au10              64   40128.15   52224.71    3586.053          0                0                   1.250771                40859.79                     0  
    au10              65   41246.52   53011.67    3851.596          0                0                   1.239936                40352.04                     0  
    au10              66    40080.8   53766.27    2643.668          0                0                   1.222538                40384.12                     0  
    au10              67   40836.94   54641.92    5399.154          0                0                   1.266633                40461.48                     0  
    au10              68    46201.5      55500    7988.821          0         .0049169                   1.281236                39617.56                     0  
    au10              69    41871.6   56342.49    5257.949          0                0                   1.282179                41065.64                     0  
    au10              70   43903.98   57344.23    3842.815          0                0                   1.237293                40266.32                     0  
    au10              71    41796.7   58263.38    3330.889          0                0                   1.313923                43148.97                     0  
    au10              72   38742.83   59184.21    3550.891          0                0                   1.236872                40403.29                     0  
    au10              73   38666.01   60361.59    4287.576          0         .0012494                   1.319003                42826.46                     0  
    au10              74   39081.17   61372.87     3500.58          0                0                   1.330019                43610.73                     0  
    au10              75   40356.43      62370     3994.38          0                0                   1.386561                45285.87                     0  
    au10              76   42787.69   63160.23    2162.646          0                0                   1.318675                43916.98                     0  
    au10              77   43030.29   64019.36    4225.695          0                0                   1.359765                44250.75                     0  
    au10              78   47178.93   64997.68    4503.884          0                0                   1.373797                44585.76                     0  
    au10              79    50252.6   66328.51    5192.763          0                0                   1.412441                45548.44                     0  
    au10              80   45474.38   67477.52    4441.265          0                0                   1.447227                47126.18                     0  
    au10              81   47791.85   68864.64    2681.251          0                0                   1.412638                46857.34                     0  
    au10              82   42248.46   70129.97    4270.744          0                0                   1.443508                47087.54                     0  
    au10              83   41164.79   71144.88     5655.94          0                0                   1.401309                44928.09                     0  
    au10              84   47680.03   72433.31    4978.277          0                0                   1.503363                48765.02                     0  
    au10              85   51057.42   74076.77    2787.358          0                0                   1.484855                49268.84                     0  
    au10              86   47455.61   76013.77    3628.109          0                0                   1.566145                51609.32                     0  
    au10              87   53797.82   78000.48    3451.349          0                0                   1.587048                52414.89                     0  
    au10              88   49852.91   80384.02     4543.66          0                0                   1.609966                 52631.3                     0  
    au10              89   47511.75   82663.35    4486.525          0                0                   1.585997                51842.28                     0  
    au10              90   59106.29   84945.91    4414.619          0                0                   1.672439                54831.91                     0  
    au10              91   49412.38   87762.45    5035.191          0                0                   1.691153                55149.32                     0  
    au10              92   56899.71   90451.13    5615.333          0                0                   1.667287                 54033.4                     0  
    au10              93   56231.64   94573.13    3853.445          0                0                   1.765004                58284.34                     0  
    au10              94   60234.11   98911.97    8592.665          0                0                   1.908066                60713.32                     0  
    au10              95   58698.14   103785.7    5294.959          0                0                   1.929446                63153.35                     0  
    au10              96   61742.55   109510.4    5192.188          0                0                    1.97729                64840.69                     0  
    au10              97   67806.57   117584.5    3602.783          0                0                   1.972745                65509.55                     0  
    au10              98   70085.35   128707.8    4534.058          0                0                    2.20823                73069.48                     0  
    au10              99    69893.5     149507     3998.64          0                0                   2.395467                79742.02                     0  
    au10             100   99790.33   258800.3    3845.249          0                0                   3.347899                112351.1                     0  
    ch04               1   28443.68   5784.436    6276.615   .5881651         .6643118                          .                       .                     1  
    ch04               2   23289.64   12584.41    7651.591   .0250664         .0621976                          .                       .                     1  
    ch04               3   21443.94   16115.95    4952.283          0         .0270859                          .                       .                     1  
    ch04               4   24895.07   17872.99    7219.516   .0293875         .0293875                          .                       .                     1  
    ch04               5   22468.02   19445.49    6110.704          0         .0248593                          .                       .                     1  
    ch04               6   24262.57   20877.02    7151.923          0                0                          .                       .                     1  
    ch04               7    24449.2   21826.87     7600.31          0                0                          .                       .                     1  
    ch04               8   23203.94   22723.22    7253.707          0                0                          .                       .                     1  
    ch04               9   24334.06   23628.08    5433.872   .0322897         .0322897                          .                       .                     1  
    ch04              10   29954.62    24389.6    9052.713   .0356017         .0654625                          .                       .                     1  
    ch04              11   24677.57   25207.26    6590.017          0                0                          .                       .                     1  
    ch04              12   27437.08    25732.8    6631.646          0                0                          .                       .                     1  
    ch04              13   22765.74   26353.98     4925.99          0                0                          .                       .                     1  
    ch04              14   23117.41   26883.36    6828.447          0                0                          .                       .                     1  
    ch04              15    27816.4   27344.27    6917.648          0          .032586                          .                       .                     1  
    ch04              16   25399.42   28066.72    5841.907          0                0                          .                       .                     1  
    ch04              17    23423.5   28616.27    5866.847          0                0                          .                       .                     1  
    ch04              18   27396.62   29126.78    7786.869          0                0                          .                       .                     1  
    ch04              19   31556.14   30063.65     6444.41          0                0                          .                       .                     1  
    ch04              20   23009.59   30762.61    5826.974          0                0                          .                       .                     1  
    ch04              21   30929.07   31329.61    7745.281          0                0                          .                       .                     1  
    ch04              22   27819.78   31785.33    6968.227          0                0                          .                       .                     1  
    ch04              23   25072.79   32228.84     7346.92          0                0                          .                       .                     1  
    ch04              24   39908.72   32792.31    8744.533   .1099636         .1099636                          .                       .                     1  
    ch04              25   24437.77    33285.6    6522.515          0                0                          .                       .                     1  
    ch04              26   27367.87   33761.24    7767.367          0                0                          .                       .                     1  
    ch04              27   35060.96    34248.5    8295.768          0                0                          .                       .                     1  
    ch04              28   28677.09   34731.46    7618.787          0                0                          .                       .                     1  
    ch04              29   29882.71   35254.77    5321.904      .0185            .0185                          .                       .                     1  
    ch04              30   31068.46   35746.22    8122.496          0                0                          .                       .                     1  
    ch04              31   29465.85   36169.75    5447.324          0                0                          .                       .                     1  
    ch04              32   32118.14   36713.71    8128.215   .0200414         .0200414                          .                       .                     1  
    ch04              33   31943.51   37242.35    9114.205          0                0                          .                       .                     1  
    ch04              34   26752.32    37687.5    7401.703          0                0                          .                       .                     1  
    ch04              35   43846.71   38264.71     8098.47   .0369994         .0369994                          .                       .                     1  
    ch04              36   29656.93   38866.63    5743.124          0                0                          .                       .                     1  
    ch04              37   26796.28   39258.21    5591.799          0                0                          .                       .                     1  
    ch04              38   30891.12   39730.49    6914.336          0                0                          .                       .                     1  
    ch04              39   34916.62   40216.23    5821.334          0                0                          .                       .                     1  
    ch04              40   32727.36   40547.84    8241.191          0                0                          .                       .                     1  
    ch04              41   32084.98   41040.66    7634.627          0                0                          .                       .                     1  
    ch04              42   27992.26    41465.6    6936.476          0                0                          .                       .                     1  
    ch04              43   31410.28    41913.5    6637.573          0                0                          .                       .                     1  
    ch04              44   30678.18   42316.55    6406.113          0                0                          .                       .                     1  
    ch04              45   37654.43   42711.93      6377.1          0                0                          .                       .                     1  
    ch04              46   41056.54   43178.84    7604.945          0                0                          .                       .                     1  
    ch04              47   31019.09   43596.96    6912.638          0                0                          .                       .                     1  
    ch04              48    39305.5   43988.39    7506.216          0                0                          .                       .                     1  
    ch04              49   28125.44   44487.66    4885.869          0                0                          .                       .                     1  
    ch04              50   51452.38   45179.02    20783.71   .0299969         .0299969                          .                       .                     1  
    ch04              51   29029.87   45579.05    7717.974          0                0                          .                       .                     1  
    ch04              52   34047.05   46032.24    5992.445          0                0                          .                       .                     1  
    ch04              53   30900.14    46571.3    6541.507          0                0                          .                       .                     1  
    ch04              54   34757.65   47270.87    9478.251          0                0                          .                       .                     1  
    ch04              55   30564.34   48004.67    7516.789          0                0                          .                       .                     1  
    ch04              56   31338.77   48483.78     6553.57          0         .0109292                          .                       .                     1  
    ch04              57    34636.2   48905.79    7522.658          0                0                          .                       .                     1  
    ch04              58   36733.47   49334.58    8457.764          0                0                          .                       .                     1  
    ch04              59   41506.91    49801.4     6507.25          0         .0240969                          .                       .                     1  
    ch04              60   34348.66   50271.98    7553.283          0                0                          .                       .                     1  
    ch04              61   40572.41   51044.75     7345.22   .0112734         .0184628                          .                       .                     1  
    ch04              62   36155.28   51639.14    8226.394          0                0                          .                       .                     1  
    ch04              63   35647.24   52118.76    5940.846          0                0                          .                       .                     1  
    ch04              64   37942.13   52823.47    8412.849          0                0                          .                       .                     1  
    ch04              65   36728.38    53534.3    9462.428          0                0                          .                       .                     1  
    ch04              66   32973.69   54041.73    8652.473          0                0                          .                       .                     1  
    ch04              67   41635.43   54522.98    8684.863          0                0                          .                       .                     1  
    ch04              68   40632.68   55203.91    8497.366          0                0                          .                       .                     1  
    ch04              69   37214.83   55918.38    8602.738          0                0                          .                       .                     1  
    ch04              70   38309.48   56603.96    6548.646          0                0                          .                       .                     1  
    ch04              71   38380.95   57484.83    8168.725          0                0                          .                       .                     1  
    ch04              72   41960.91   58265.17    9824.251          0                0                          .                       .                     1  
    ch04              73   41206.93   59161.29    6314.494          0                0                          .                       .                     1  
    ch04              74   41978.91   60278.32     8995.48          0                0                          .                       .                     1  
    ch04              75   43505.39   61371.37    9003.941          0                0                          .                       .                     1  
    ch04              76   48040.54   62220.57     8841.74          0                0                          .                       .                     1  
    ch04              77   40489.05   63148.45    11711.63          0                0                          .                       .                     1  
    ch04              78   46131.79   63970.21    8994.403          0         .0131508                          .                       .                     1  
    ch04              79   51186.38   64826.41    11926.57          0                0                          .                       .                     1  
    ch04              80   42777.86   65651.16     8050.25          0                0                          .                       .                     1  
    ch04              81   39404.06    66726.8    5897.173          0                0                          .                       .                     1  
    ch04              82   36857.54    67933.7    8080.888          0                0                          .                       .                     1  
    ch04              83   40512.47   69304.66    10840.79          0                0                          .                       .                     1  
    ch04              84   40289.35   70716.42    7854.421          0                0                          .                       .                     1  
    ch04              85   43723.02    71809.5    9239.757          0                0                          .                       .                     1  
    ch04              86   46111.69   73375.16    8474.955          0                0                          .                       .                     1  
    ch04              87   41775.73   74964.28     7392.84          0                0                          .                       .                     1  
    ch04              88   48469.02   76491.47    8100.601          0                0                          .                       .                     1  
    ch04              89   43915.49   77910.41    8247.139          0                0                          .                       .                     1  
    ch04              90   45463.98   79169.88    4297.001          0                0                          .                       .                     1  
