
    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    fr10               1    11358.1   8381.101    2164.747    .063336         .0799679                    .733285                 12184.5              .0537917  
    fr10               2   12575.58   13163.76    2400.241   .0011961         .0016829                   .8023517                13319.07                     0  
    fr10               3   14250.64   15959.58    2517.693   .0006819         .0023243                   .8514512                14146.29                     0  
    fr10               4   15299.72   18353.35    2450.935   .0005921         .0006427                   .9681764                 16255.8                     0  
    fr10               5    16944.6   20584.32    2453.452   .0004053         .0020021                   1.052396                17756.91                     0  
    fr10               6   17738.68   23046.87    2393.182   .0000649         .0000649                   1.125749                19090.14                     0  
    fr10               7   19469.57   25836.63    2325.616          0                0                   1.202188                20481.43                     0  
    fr10               8   20847.96   29311.87    2568.596          0                0                   1.316359                22417.41                     0  
    fr10               9   23716.94   35045.64    2521.215          0                0                   1.459492                24989.93                     0  
    fr10              10   30671.28   57918.04    3154.365          0                0                   1.956134                33586.49                     0  
