ccyy,scope,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,inc1_mean,inc2_mean,inc3_mean,inc4_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
au81,.9983251,.,5562.8017,.,.,.,.,11235.844,11960.637,12437.544,9743.3808,.,4276.2011,.31211276,.,.,.,.,.,.,.14687711,.,.14687711,.,.33153585,.,.,.,.40440541,.35367443,.32757131,.2822265,.33161288,.,.
au85,.99798074,.,7817.8192,.,.,.,.,15239.655,16360.475,17074.495,13246.419,.,6213.8992,.32362822,.,.,.,.,.,.,.15097319,.,.15097319,.,.34808413,.,.,.,.43905703,.37891359,.34918647,.29531632,.34820465,.,.
au89,.99793677,.,10964.158,2363.8144,6057.0383,.,.,21557.791,22911.909,23873.218,18712.095,8425.1939,8909.3069,.33016825,.,.,.,.,.,.,.15754099,.15888119,.15754099,.15888119,.35289684,.35232677,.,.,.43853642,.38740007,.35523459,.30474321,.3529984,.35247101,.
au95,.99049611,.,12281.119,1416.4067,1416.4345,.,.,22671.295,24572.917,26267.584,20978.005,10010.159,10556.14,.32329047,.,.,.,.,.,.,.15635525,.16091283,.15635525,.16091283,.34608286,.34508142,.,.,.47788987,.4114231,.35719355,.30837649,.346202,.34527711,.
au01,.99147268,.,16246.105,1820.4336,1820.4526,.,.,28873.689,31429.674,33577.773,27197.804,13407.794,14127.491,.33209047,.,.,.,.,.,.,.16226017,.16706854,.16226017,.16706854,.35736474,.3564424,.,.,.49405331,.42413769,.36786775,.31920675,.35750869,.35667677,.
au03,.99126352,.,17742.085,2059.2933,2059.3111,.,.,33524.251,36311.576,38480.151,29276.787,15108.485,15871.467,.33181305,.,.,.,.,.,.,.16058041,.16390592,.16058041,.16390592,.35893313,.35820197,.,.,.48351779,.41853742,.36895246,.31522866,.35909929,.35846777,.
au08,.99646838,.,28295.514,2975.5382,10360.246,.,.,52442.394,56281.37,59215.964,46650.725,21604.474,22747.964,.3529966,.,.,.,.,.,.,.171776,.17706704,.171776,.17706704,.37528365,.37443324,.,.,.48863452,.43223505,.38990669,.34081043,.37538138,.37459428,.
au10,.98940748,36222.306,29520.786,4000.7195,13018.701,22420.935,23653.804,53172.871,57622.946,61008.828,49243.919,22420.935,23653.802,.34547054,.18155532,.19575826,.18155532,.19575826,.36650781,.3646047,.17023101,.17696803,.17023101,.17696803,.36656659,.36685271,.3682847,.36668748,.48974105,.42492694,.37729335,.3343382,.36666073,.36699847,.34656291
at87,1,.,107967.34,.,.,.,.,.,.,.,.,.,.,.23045189,.,.,.,.,.,.,.10490215,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at97,.90107658,.,147776.26,18566.976,18567.22,.,.,172535.72,219659.01,237568.77,.,119449.31,123482.58,.30129001,.,.,.,.,.,.,.13051493,.13004499,.13051493,.13004499,.33930297,.33919679,.,.,.43592801,.31178453,.27219441,.,.33963038,.33959139,.
