quantile,ccyy,hmc,dhi,hmchous,hmc_medianized_predict,hmc_wor_pred_scaled
1,at04,.,2701.0801,3159.8352,.7743085,12658.889
2,at04,.,5560.0498,2860.5647,.74720263,12256.435
3,at04,.,7117.3589,2942.3289,.75466502,12367.368
4,at04,.,8103.9097,2880.8494,.76404369,12542.212
5,at04,.,8969.1094,2683.5291,.72155744,11852.783
6,at04,.,9497.584,3085.4507,.75240463,12297.555
7,at04,.,9956.5381,2483.8069,.73235184,12081.835
8,at04,.,10245.012,2443.6951,.72459257,11956.804
9,at04,.,10626.401,2953.908,.80613309,13251.604
10,at04,.,10951.394,2769.0457,.78539521,12934.188
11,at04,.,11273.616,2592.8584,.75336951,12420.423
12,at04,.,11607.331,2627.5486,.79063904,13055.051
13,at04,.,11900.905,2417.4004,.80227596,13300.867
14,at04,.,12140.968,2612.4714,.78812265,13014.949
15,at04,.,12424.119,2640.0488,.79166746,13070.074
16,at04,.,12667.545,2757.51,.79686487,13134.284
17,at04,.,12953.521,2566.8398,.84384042,13984.743
18,at04,.,13245.979,2591.1858,.83650225,13853.063
19,at04,.,13466.165,2612.2542,.79767978,13179.653
20,at04,.,13712.746,2555.0579,.88224304,14648.916
21,at04,.,13932.884,2794.6445,.87165791,14414.87
22,at04,.,14129.015,2799.5811,.86444491,14289.534
23,at04,.,14343.742,2788.1047,.89917827,14890.425
24,at04,.,14558.099,2669.0271,.89145988,14783.129
25,at04,.,14818.075,2151.2397,.8754226,14618.506
26,at04,.,15050.637,2661.1672,.89362347,14822.101
27,at04,.,15283.171,2565.6506,.95524263,15904.328
28,at04,.,15498.77,2802.3572,.9317221,15448.043
29,at04,.,15731.49,2415.7512,.90213931,15021.751
30,at04,.,15948.836,2940.4392,.91223532,15082.525
31,at04,.,16169.846,2402.3579,.97567284,16291.536
32,at04,.,16394.807,2590.3396,.92616153,15397.97
33,at04,.,16576.738,2705.9265,.92434371,15341.72
34,at04,.,16781.318,2734.4634,.96159893,15977.429
35,at04,.,16939.545,2719.8354,.97169089,16154.456
36,at04,.,17095.199,2756.4678,1.0028301,16683.049
37,at04,.,17258.795,2724.4463,.94585282,15708.302
