    ccyy     av_hmc   av_hmc_wor   av_hmc_wor_scaled   av_hmc_scaled   av_tax_eff_ours   av_tax_eff_ours_wor   av_inc_5_ours   av_inc_5_ours_wor    av_inc1    av_inc2    av_inc3    av_inc4   av_inc_5_ours_pred   av_inc_5_ours_wor_pred  
    at00          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    1                        1  
    at04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    at07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9991236  
    at10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    at13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    at87          0            0                   0               0                 0                     0               0                   0          0          0          0          0                    0                        0  
    at97          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    1                 .9910247  
    au01          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    au03          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    au08          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    au10   .5417411     .5417411            .5417411        .5417411          .5417411              .5417411        .5417411            .5417411          1          1          1          1                    1                 .5417411  
    au81          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    au85          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    au89          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    au95          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    be85          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    be88          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    be92          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    be97          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    br06          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    br09          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    br11          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    br13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    ca00          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    ca04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    ca07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    ca10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    ca13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    ca71          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    ca75          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    ca81          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    ca87          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    ca91          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    ca94          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    ca97          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    ca98          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    ch00          1            1                   0               1                 1                     0               1                   0          1          1          1          1                    1                        0  
    ch02          1            1                   0               1                 1                     0               1                   0          1          1          1          1                    1                        0  
    ch04          1            1                   0               1                 1                     0               1                   0          1          1          1          1                    1                        0  
    ch07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    ch10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    ch13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    ch82          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    ch92          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    cn02          1            1                   0               0                 0                     0               0                   0   .9909372   .9909372   .9909372   .9909372                    0                        0  
    co07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    cz02          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    cz04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    cz07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    cz10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    cz13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9988824  
    cz92          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    cz96          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    1                        0  
    de00          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9096462  
    de04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .8988655  
    de07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                  .890519  
    de10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9073952  
    de13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9387127  
    de73          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    de78          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    de81          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    de83          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    de84          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    de89          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    de94          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    dk00          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .3887356  
    dk04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    dk07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    dk10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    dk13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    dk87          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    dk92          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    dk95          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .3936964  
    do07          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    ee00          1            1                   1               1                 1                     1               1                   1          1          1          1          1                    1                        1  
    ee04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9949251  
    ee07          0            0                   0               0                 0                     0               0                   0   .9848037   .9848037   .9848037   .9848037                    1                        1  
    ee10          0            0                   0               0                 0                     0               0                   0   .9867576   .9867576   .9867576   .9867576                    1                 .9997994  
    ee13          0            0                   0               0                 0                     0               0                   0   .9879812   .9879812   .9879812   .9879812                    1                 .9998258  
    eg12          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    es00          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    1                        1  
    es04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .8215201  
    es07          0            0                   0               0                 0                     0               0                   0   .9921175   .9921175   .9921175   .9921175                    1                 .9981453  
    es10          0            0                   0               0                 0                     0               0                   0   .9834999   .9834999   .9834999   .9834999                    1                 .9990704  
    es13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9998314  
    es80          1            1                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    es85          1            1                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
