ccyy,scope,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,inc1_mean,inc2_mean,inc3_mean,inc4_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
au81,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au85,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au89,.82318842,.,11745.422,2689.0081,6334.5393,.,.,25393.454,25905.206,26705.909,20619.342,9025.5421,9544.1512,.31523811,.,.,.,.,.,.,.1447939,.14665982,.1447939,.14665982,.33767928,.33704622,.,.,.34371106,.33409943,.31262338,.26881278,.33853816,.33782203,.
au95,.77000245,.,13630.73,1412.8494,1412.8728,.,.,28729.546,29427.604,30683.955,23999.296,11110.206,11716.187,.30730131,.,.,.,.,.,.,.13655936,.13727086,.13655936,.13727086,.33061344,.33011926,.,.,.34399434,.33235434,.30367819,.26440736,.33254505,.33168896,.
au01,.7693673,.,18075.94,1833.2882,1833.3029,.,.,36709.516,37669.731,39322.993,31161.387,14917.943,15718.701,.31335699,.,.,.,.,.,.,.13539104,.13614372,.13539104,.13614373,.33984201,.33950797,.,.,.36213655,.34823875,.31493023,.27488692,.34209792,.34135431,.
au03,.78045047,.,19526.003,2103.4057,2103.4187,.,.,41936.918,42990.064,44710.953,33198.379,16627.6,17467.298,.31394306,.,.,.,.,.,.,.13647222,.13692692,.13647222,.13692692,.34205115,.34176358,.,.,.35874181,.34602168,.31474604,.27211055,.34451459,.34380065,.
au08,.81662837,.,30807.46,3075.2234,10263.161,.,.,62991.699,64589.145,67159.246,52036.031,23522.421,24767.425,.33592663,.,.,.,.,.,.,.15715918,.16122224,.15715918,.16122224,.35791198,.35721398,.,.,.38787064,.37648756,.34472873,.3035228,.35817217,.35749945,.
au10,.43562935,39346.656,32378.536,4134.4059,13015.047,24591.388,25943.603,65548.856,67365.072,70128.062,55285.285,24591.388,25943.603,.32521667,.15880743,.16835538,.15880743,.16835538,.3452497,.3439073,.15406716,.15827801,.15406716,.15827802,.34582035,.34510806,.34682905,.34573313,.37793865,.36329231,.33130384,.29514268,.34604899,.34534707,.32521667
at87,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at97,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at00,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at04,.81151249,.,13826.354,2735.369,5730.4892,.,.,33760.57,36463.619,38557.403,23320.943,11405.458,11773.952,.29934114,.,.,.,.,.,.,.11885544,.12034928,.11885544,.12034928,.33937865,.33882795,.,.,.33719738,.31692312,.28839605,.2625861,.3403978,.33989763,.
