"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,9573,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,10182,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,10495,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,11212,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,12177,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,13202,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,14064,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,15209,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,16566,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,18029,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,19951,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,21968,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,24306,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,27097,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,32274,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,39798,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,46469,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,54524,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,60746,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,67246,,
"AUS","Australia","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,75232,,
