"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,21311.58,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,21763.04,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,21803.79,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,22478.1,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,23409.04,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,23817.41,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,24255.58,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,24767.56,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,25377.66,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,26201.52,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,27929.44,,
"AUT","Austria","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,28997.82,,
