"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,220,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,250,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,276,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,303,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,331,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,359,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,393,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,443,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,503,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,574,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,668,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,790,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,905,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,1018,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,1168,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,1410,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,1712,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,2046,,
