"COU","Country","GOV","Level of government","VAR","Indicator","TAX","Revenue category","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1997","1997","IDR","Rupiah","9","Billions",,,20351.2,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1998","1998","IDR","Rupiah","9","Billions",,,25198.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1999","1999","IDR","Rupiah","9","Billions",,,27803.2,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2000","2000","IDR","Rupiah","9","Billions",,,35231.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2001","2001","IDR","Rupiah","9","Billions",,,55957,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2002","2002","IDR","Rupiah","9","Billions",,,65153,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2003","2003","IDR","Rupiah","9","Billions",,,77081.5,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2004","2004","IDR","Rupiah","9","Billions",,,102572.7,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2005","2005","IDR","Rupiah","9","Billions",,,101295.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2006","2006","IDR","Rupiah","9","Billions",,,123035.9,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2007","2007","IDR","Rupiah","9","Billions",,,154526.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2008","2008","IDR","Rupiah","9","Billions",,,209647.4,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2009","2009","IDR","Rupiah","9","Billions",,,193067.5,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2010","2010","IDR","Rupiah","9","Billions",,,230604.9,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2011","2011","IDR","Rupiah","9","Billions",,,277800.1,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2012","2012","IDR","Rupiah","9","Billions",,,337584.6,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2013","2013","IDR","Rupiah","9","Billions",,,384713.5,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2014","2014","IDR","Rupiah","9","Billions",,,409181.6,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2015","2015","IDR","Rupiah","9","Billions",,,423710.8,,
