"COU","Country","GOV","Government","TAX","Tax","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1990","1990","ARS","Argentine Peso","6","Millions",,,2384.298,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1991","1991","ARS","Argentine Peso","6","Millions",,,8735.041,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1992","1992","ARS","Argentine Peso","6","Millions",,,17410.595,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1993","1993","ARS","Argentine Peso","6","Millions",,,21291.47,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1994","1994","ARS","Argentine Peso","6","Millions",,,22875.448,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1995","1995","ARS","Argentine Peso","6","Millions",,,22662.71,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1996","1996","ARS","Argentine Peso","6","Millions",,,24312.094,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1997","1997","ARS","Argentine Peso","6","Millions",,,26484.513,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1998","1998","ARS","Argentine Peso","6","Millions",,,27408.943,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","1999","1999","ARS","Argentine Peso","6","Millions",,,25016.51,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2000","2000","ARS","Argentine Peso","6","Millions",,,25122.742,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2001","2001","ARS","Argentine Peso","6","Millions",,,20943.817,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2002","2002","ARS","Argentine Peso","6","Millions",,,21386.687,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2003","2003","ARS","Argentine Peso","6","Millions",,,29826.587,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2004","2004","ARS","Argentine Peso","6","Millions",,,42571.781,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2005","2005","ARS","Argentine Peso","6","Millions",,,51466.618,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2006","2006","ARS","Argentine Peso","6","Millions",,,65575.835,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2007","2007","ARS","Argentine Peso","6","Millions",,,86803.402,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2008","2008","ARS","Argentine Peso","6","Millions",,,113105.647,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2009","2009","ARS","Argentine Peso","6","Millions",,,126858.125,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2010","2010","ARS","Argentine Peso","6","Millions",,,167533.739,,
