"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1965","1965","AUD","Australian Dollar","9","Billions",,,0.37,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1966","1966","AUD","Australian Dollar","9","Billions",,,0.381,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1967","1967","AUD","Australian Dollar","9","Billions",,,0.417,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1968","1968","AUD","Australian Dollar","9","Billions",,,0.494,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1969","1969","AUD","Australian Dollar","9","Billions",,,0.569,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1970","1970","AUD","Australian Dollar","9","Billions",,,0.633,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1971","1971","AUD","Australian Dollar","9","Billions",,,0.681,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1972","1972","AUD","Australian Dollar","9","Billions",,,0.765,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1973","1973","AUD","Australian Dollar","9","Billions",,,0.969,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1974","1974","AUD","Australian Dollar","9","Billions",,,1.154,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1975","1975","AUD","Australian Dollar","9","Billions",,,1.408,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1976","1976","AUD","Australian Dollar","9","Billions",,,1.65,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1977","1977","AUD","Australian Dollar","9","Billions",,,1.758,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1978","1978","AUD","Australian Dollar","9","Billions",,,1.77,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1979","1979","AUD","Australian Dollar","9","Billions",,,1.865,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1980","1980","AUD","Australian Dollar","9","Billions",,,2.102,,
