"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,43983,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,52557,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,60302,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,69416,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,76590,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,85999,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,95674,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1980","1980","AUD","Australian Dollar","6","Millions",,,108248,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1981","1981","AUD","Australian Dollar","6","Millions",,,123943,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1982","1982","AUD","Australian Dollar","6","Millions",,,136330,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1983","1983","AUD","Australian Dollar","6","Millions",,,151550,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1984","1984","AUD","Australian Dollar","6","Millions",,,163531,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1985","1985","AUD","Australian Dollar","6","Millions",,,179313,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1986","1986","AUD","Australian Dollar","6","Millions",,,193953,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,212624,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,240806,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,267532,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,280944,,
