"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,31988,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,39427,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,46032,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,54040,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,60211,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,66667,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,74632,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1980","1980","AUD","Australian Dollar","6","Millions",,,84691,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1981","1981","AUD","Australian Dollar","6","Millions",,,97868,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1982","1982","AUD","Australian Dollar","6","Millions",,,111058,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1983","1983","AUD","Australian Dollar","6","Millions",,,120702,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1984","1984","AUD","Australian Dollar","6","Millions",,,129167,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1985","1985","AUD","Australian Dollar","6","Millions",,,146119,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1986","1986","AUD","Australian Dollar","6","Millions",,,161983,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,179245,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,200294,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,222599,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,237167,,
"AUS","Australia","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1991","1991","AUD","Australian Dollar","6","Millions",,,249343,,
