"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,49831,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,60374,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,71277,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,83377,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,96236,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,105094,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,118789,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,134654,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1980","1980","AUD","Australian Dollar","6","Millions",,,152410,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1981","1981","AUD","Australian Dollar","6","Millions",,,175917,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1982","1982","AUD","Australian Dollar","6","Millions",,,189481,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1983","1983","AUD","Australian Dollar","6","Millions",,,213766,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1984","1984","AUD","Australian Dollar","6","Millions",,,235414,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1985","1985","AUD","Australian Dollar","6","Millions",,,260714,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1986","1986","AUD","Australian Dollar","6","Millions",,,286222,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,324449,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,368145,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,404569,,
